"team","fpi"
"Georgia",2.5603
"Alabama",2.2993
"Ohio State",2.1427
"Michigan",1.5685
"Oklahoma",1.4989
"Oklahoma State",1.3858
"Pittsburgh",1.2988
"Iowa State",1.2988
"Notre Dame",1.2901
"Wisconsin",1.2727
"Clemson",1.2205
"Cincinnati",1.2031
"Ole Miss",1.1683
"Texas A&M",1.1422
"Penn State",1.1248
"NC State",1.1248
"Utah",1.1161
"Michigan State",1.0552
"Oregon",1.0465
"Baylor",1.0204
"Auburn",1.0117
"Florida",0.9247
"Mississippi State",0.9247
"Wake Forest",0.8986
"Texas",0.8812
"Iowa",0.8464
"Miami",0.8116
"Nebraska",0.8029
"North Carolina",0.7942
"Tennessee",0.7768
"Appalachian State",0.7507
"Arkansas",0.742
"LSU",0.6985
"SMU",0.6985
"Purdue",0.6985
"Arizona State",0.6811
"Boise State",0.6463
"Louisville",0.6202
"Kentucky",0.6202
"Kansas State",0.6028
"Minnesota",0.5854
"Houston",0.5854
"Coastal Carolina",0.5767
"BYU",0.5767
"UCLA",0.568
"Virginia",0.5419
"Virginia Tech",0.4114
"USC",0.4027
"UT San Antonio",0.4027
"West Virginia",0.3853
"Oregon State",0.3505
"Washington",0.3505
"Liberty",0.3331
"Florida State",0.3244
"Louisiana",0.2983
"Boston College",0.2548
"Texas Tech",0.2374
"TCU",0.2287
"Western Kentucky",0.22
"Army",0.2113
"UCF",0.2113
"Marshall",0.2026
"Fresno State",0.2026
"Toledo",0.1678
"Nevada",0.133
"Washington State",0.0895
"UAB",0.0721
"Georgia Tech",0.0547
"Syracuse",0.0547
"San Diego State",0.046
"Rutgers",0.0112
"Air Force",-0.041
"South Carolina",-0.0497
"California",-0.0584
"Illinois",-0.0758
"Memphis",-0.1454
"East Carolina",-0.1628
"Stanford",-0.1889
"Maryland",-0.1976
"Indiana",-0.2236
"Missouri",-0.2236
"Utah State",-0.2323
"Tulsa",-0.2584
"Florida Atlantic",-0.3454
"Western Michigan",-0.3454
"Middle Tennessee",-0.3715
"Miami (OH)",-0.4063
"Eastern Michigan",-0.4063
"Northwestern",-0.4237
"Central Michigan",-0.4324
"Troy",-0.4759
"Colorado State",-0.4759
"Colorado",-0.502
"Georgia State",-0.5194
"Wyoming",-0.5194
"Ball State",-0.5281
"Tulane",-0.5803
"Louisiana Tech",-0.6325
"Buffalo",-0.6412
"Northern Illinois",-0.6586
"Kent State",-0.8413
"Arizona",-0.8587
"San Jose State",-0.8848
"South Florida",-0.9022
"South Alabama",-0.9196
"Navy",-0.9718
"Duke",-0.9718
"North Texas",-0.9805
"Old Dominion",-0.9979
"Hawai'i",-1.0066
"UTEP",-1.0675
"UNLV",-1.1371
"Georgia Southern",-1.1806
"Charlotte",-1.2328
"Ohio",-1.2415
"Arkansas State",-1.3981
"Kansas",-1.4416
"Texas State",-1.4938
"Vanderbilt",-1.5547
"Southern Mississippi",-1.5721
"Louisiana Monroe",-1.5895
"Bowling Green",-1.5982
"Rice",-1.6591
"New Mexico",-1.7287
"Temple",-1.8331
"Florida International",-1.8853
"Akron",-2.0419
"New Mexico State",-2.2507
"Connecticut",-2.2942
"UMass",-2.7031
