"team","fpi"
"Georgia",2.4055
"Alabama",2.3615
"Oklahoma",1.71
"Ohio State",1.71
"Clemson",1.6836
"Florida",1.6044
"Michigan",1.5604
"Texas",1.4284
"Ole Miss",1.4284
"Oregon",1.2435
"Penn State",1.2259
"Iowa State",1.1907
"Notre Dame",1.1819
"Arkansas",1.1643
"Michigan State",1.1027
"Pittsburgh",1.085
"Cincinnati",1.0762
"NC State",1.0762
"Auburn",1.0322
"Texas A&M",1.0322
"Iowa",1.0234
"LSU",0.8474
"North Carolina",0.8474
"Miami",0.8298
"UCLA",0.8298
"Nebraska",0.7417
"Wisconsin",0.7417
"SMU",0.7329
"West Virginia",0.7329
"Mississippi State",0.7329
"Baylor",0.7241
"Wake Forest",0.6977
"Georgia Tech",0.6713
"Coastal Carolina",0.6625
"Rutgers",0.6097
"TCU",0.5833
"Virginia Tech",0.5833
"Oklahoma State",0.5657
"USC",0.5657
"Boise State",0.5481
"Appalachian State",0.5481
"Washington",0.5481
"Maryland",0.5393
"Arizona State",0.5305
"Purdue",0.5305
"Boston College",0.5217
"UCF",0.5129
"Oregon State",0.4865
"Utah",0.4777
"Virginia",0.4512
"Kentucky",0.4424
"Fresno State",0.4072
"BYU",0.3896
"Tennessee",0.372
"Indiana",0.3632
"Texas Tech",0.3632
"Kansas State",0.284
"Louisville",0.2752
"UAB",0.2664
"Stanford",0.2312
"UT San Antonio",0.2048
"Missouri",0.1872
"Minnesota",0.1608
"Memphis",0.152
"Army",0.1167
"Western Michigan",0.1079
"Liberty",0.0903
"South Carolina",0.0639
"Northwestern",0.0463
"San Diego State",0.0463
"Toledo",0.0375
"Houston",0.0023
"Louisiana",-0.0153
"Tulsa",-0.0329
"Marshall",-0.0681
"Duke",-0.0857
"Tulane",-0.0857
"Syracuse",-0.1473
"California",-0.165
"Western Kentucky",-0.1738
"Florida State",-0.1914
"Buffalo",-0.1914
"Illinois",-0.1914
"Nevada",-0.2354
"Eastern Michigan",-0.2618
"Florida Atlantic",-0.2794
"Wyoming",-0.3146
"Troy",-0.3498
"Louisiana Tech",-0.429
"Colorado",-0.429
"Air Force",-0.4907
"Central Michigan",-0.5259
"Kent State",-0.5699
"Utah State",-0.6051
"Middle Tennessee",-0.6051
"Colorado State",-0.6403
"Washington State",-0.6491
"San Jose State",-0.7195
"Miami (OH)",-0.7371
"Northern Illinois",-0.7723
"East Carolina",-0.7988
"Georgia State",-0.8516
"Charlotte",-0.9044
"Arkansas State",-0.9132
"South Florida",-0.9396
"Hawai'i",-0.9484
"Arizona",-0.966
"South Alabama",-0.9924
"North Texas",-1.0188
"Ball State",-1.054
"Southern Mississippi",-1.1509
"Florida International",-1.2125
"Georgia Southern",-1.2477
"Temple",-1.2741
"Texas State",-1.3093
"Kansas",-1.415
"UNLV",-1.4326
"Old Dominion",-1.459
"Bowling Green",-1.503
"UTEP",-1.5118
"Vanderbilt",-1.5294
"Louisiana Monroe",-1.6086
"New Mexico",-1.679
"Navy",-1.7319
"Ohio",-1.7935
"Rice",-1.8463
"UMass",-2.0752
"Connecticut",-2.3833
"Akron",-2.3921
"New Mexico State",-2.4273
