"team","fpi"
"Georgia",2.5058
"Alabama",2.4012
"Ohio State",1.8695
"Oklahoma",1.6429
"Michigan",1.6081
"Florida",1.5296
"Clemson",1.5209
"Texas",1.4425
"Iowa State",1.425
"Pittsburgh",1.4163
"Penn State",1.3117
"Iowa",1.2856
"Ole Miss",1.2594
"Cincinnati",1.2507
"Oregon",1.1026
"Auburn",1.0677
"Michigan State",1.0503
"Notre Dame",1.0154
"Arkansas",0.998
"North Carolina",0.998
"Nebraska",0.9457
"NC State",0.937
"Texas A&M",0.8498
"Coastal Carolina",0.8411
"Mississippi State",0.8149
"Tennessee",0.8149
"Arizona State",0.7888
"Miami",0.7801
"Appalachian State",0.7626
"LSU",0.7365
"USC",0.7278
"SMU",0.7191
"Wake Forest",0.6232
"Oklahoma State",0.6145
"Baylor",0.6145
"Wisconsin",0.597
"TCU",0.5883
"West Virginia",0.5796
"UCLA",0.5709
"Virginia Tech",0.5622
"Boston College",0.5622
"Virginia",0.5447
"Utah",0.5447
"Kentucky",0.5186
"Washington",0.5099
"BYU",0.5012
"Texas Tech",0.4924
"Oregon State",0.475
"Houston",0.4227
"Georgia Tech",0.4227
"Purdue",0.3791
"Liberty",0.3704
"Stanford",0.3443
"Rutgers",0.3356
"Kansas State",0.3268
"Indiana",0.3268
"Minnesota",0.3268
"Boise State",0.3181
"Louisville",0.292
"Fresno State",0.2571
"UCF",0.2484
"Maryland",0.2048
"Toledo",0.1874
"Western Michigan",0.1612
"South Carolina",0.1089
"San Diego State",0.0828
"UT San Antonio",0.0479
"Florida Atlantic",0.0479
"Louisiana",-0.0044
"Memphis",-0.0479
"UAB",-0.0479
"Marshall",-0.0567
"Nevada",-0.0567
"Army",-0.0828
"Syracuse",-0.1438
"Missouri",-0.1525
"Western Kentucky",-0.1874
"Buffalo",-0.2048
"Florida State",-0.2135
"Illinois",-0.2397
"Air Force",-0.2484
"Wyoming",-0.2571
"Louisiana Tech",-0.292
"Northwestern",-0.3268
"Troy",-0.3268
"Duke",-0.3443
"Washington State",-0.3791
"Tulane",-0.3791
"Eastern Michigan",-0.3879
"Tulsa",-0.3879
"California",-0.3966
"Middle Tennessee",-0.5186
"East Carolina",-0.5186
"Colorado",-0.5535
"Colorado State",-0.5883
"Utah State",-0.6232
"Kent State",-0.6319
"Miami (OH)",-0.6493
"Central Michigan",-0.6929
"Northern Illinois",-0.7016
"Ball State",-0.8062
"San Jose State",-0.8149
"Hawai'i",-0.8324
"South Florida",-0.9108
"South Alabama",-0.9282
"Arizona",-0.937
"Charlotte",-0.9631
"Georgia State",-0.998
"Georgia Southern",-1.0154
"North Texas",-1.0415
"Temple",-1.1723
"Southern Mississippi",-1.181
"Arkansas State",-1.1984
"UNLV",-1.2333
"Texas State",-1.3553
"Bowling Green",-1.364
"Florida International",-1.364
"Navy",-1.4163
"UTEP",-1.4686
"Old Dominion",-1.4686
"Kansas",-1.5732
"Vanderbilt",-1.5819
"Ohio",-1.6429
"Rice",-1.7039
"New Mexico",-1.8347
"Louisiana Monroe",-1.8434
"UMass",-2.1833
"New Mexico State",-2.253
"Connecticut",-2.3228
"Akron",-2.4797
