"team","fpi"
"Alabama",2.3259
"Georgia",2.0235
"Oklahoma",2.0057
"Clemson",1.9079
"Ohio State",1.7122
"Florida",1.4009
"Oregon",1.3564
"Penn State",1.3475
"Texas A&M",1.2941
"Auburn",1.2675
"North Carolina",1.2408
"Michigan",1.1874
"Iowa",1.0985
"Ole Miss",1.0629
"Wisconsin",0.9828
"Notre Dame",0.9739
"Pittsburgh",0.9562
"Texas",0.9206
"Virginia Tech",0.9028
"Miami",0.9028
"Cincinnati",0.8672
"Arkansas",0.8583
"Iowa State",0.8405
"Virginia",0.8138
"UCLA",0.7694
"Michigan State",0.7516
"NC State",0.716
"TCU",0.6537
"Appalachian State",0.636
"Kentucky",0.6271
"SMU",0.5915
"Utah",0.5381
"USC",0.5381
"Mississippi State",0.5292
"UCF",0.5292
"LSU",0.5203
"Purdue",0.5203
"Nebraska",0.5025
"Indiana",0.4936
"Arizona State",0.4847
"Baylor",0.4581
"West Virginia",0.4492
"Fresno State",0.4403
"Coastal Carolina",0.4225
"Rutgers",0.3602
"Boston College",0.3513
"Boise State",0.3513
"Tulane",0.3424
"Texas Tech",0.3246
"BYU",0.3158
"Maryland",0.3069
"Memphis",0.2802
"Stanford",0.2446
"Missouri",0.2357
"Washington",0.1912
"Colorado",0.1912
"Oklahoma State",0.1912
"Toledo",0.1912
"Tennessee",0.1734
"Minnesota",0.1557
"South Carolina",0.1201
"Houston",0.1112
"Wake Forest",0.1112
"Kansas State",0.0934
"UT San Antonio",0.0133
"Army",-0.0133
"Northwestern",-0.0133
"Florida Atlantic",-0.0133
"Florida State",-0.04
"Georgia Tech",-0.0578
"Louisville",-0.0667
"Marshall",-0.0667
"San Diego State",-0.0667
"Nevada",-0.1023
"California",-0.1023
"Troy",-0.1112
"Buffalo",-0.1201
"Oregon State",-0.1468
"Liberty",-0.1645
"Tulsa",-0.1912
"Central Michigan",-0.2179
"Duke",-0.2357
"Louisiana",-0.3069
"UAB",-0.3069
"Western Kentucky",-0.3246
"Western Michigan",-0.3958
"Illinois",-0.3958
"Washington State",-0.4136
"Wyoming",-0.4403
"Arkansas State",-0.5025
"Syracuse",-0.5114
"Kent State",-0.5203
"Middle Tennessee",-0.5292
"Utah State",-0.6093
"San Jose State",-0.6537
"East Carolina",-0.6982
"Eastern Michigan",-0.6982
"Northern Illinois",-0.7071
"Louisiana Tech",-0.7071
"Ball State",-0.716
"Texas State",-0.7249
"North Texas",-0.7605
"Miami (OH)",-0.8583
"Air Force",-0.8583
"South Alabama",-0.9206
"Arizona",-0.9295
"Charlotte",-1.0095
"Southern Mississippi",-1.0451
"Hawai'i",-1.0896
"Florida International",-1.1074
"South Florida",-1.1518
"Georgia State",-1.2586
"Temple",-1.303
"Kansas",-1.3208
"Colorado State",-1.3386
"Georgia Southern",-1.3386
"Rice",-1.4987
"UNLV",-1.5165
"Vanderbilt",-1.5699
"UTEP",-1.641
"Ohio",-1.6766
"New Mexico",-1.6855
"Old Dominion",-1.7745
"Louisiana Monroe",-1.8545
"UMass",-1.9879
"Bowling Green",-2.0769
"Navy",-2.1035
"New Mexico State",-2.4593
"Akron",-2.5216
"Connecticut",-2.8596
