"team","fpi"
"Georgia",2.5876
"Alabama",2.2298
"Ohio State",2.0553
"Oklahoma",1.6452
"Michigan",1.6103
"Florida",1.5318
"Clemson",1.4881
"Iowa State",1.462
"Texas",1.427
"Cincinnati",1.4096
"Pittsburgh",1.4009
"Penn State",1.3398
"Iowa",1.2874
"Michigan State",1.1915
"Oregon",1.1042
"Ole Miss",1.078
"Notre Dame",1.0518
"Arkansas",1.0344
"Texas A&M",1.0082
"Auburn",0.9995
"NC State",0.9559
"Nebraska",0.9559
"Tennessee",0.9384
"Coastal Carolina",0.921
"Arizona State",0.8686
"Baylor",0.8163
"Mississippi State",0.8075
"TCU",0.7901
"Appalachian State",0.7813
"Wisconsin",0.7813
"North Carolina",0.7813
"Miami",0.7726
"Utah",0.7028
"Kentucky",0.6505
"Wake Forest",0.6505
"Oklahoma State",0.6505
"SMU",0.6156
"UCLA",0.5719
"LSU",0.5545
"Boston College",0.5458
"USC",0.5283
"Virginia",0.5109
"Houston",0.5109
"Liberty",0.5021
"Virginia Tech",0.5021
"Boise State",0.476
"Washington",0.4672
"BYU",0.4061
"Georgia Tech",0.38
"Indiana",0.3451
"Kansas State",0.3363
"Purdue",0.3363
"Oregon State",0.3363
"West Virginia",0.3276
"Minnesota",0.3189
"Louisville",0.284
"Texas Tech",0.2753
"Fresno State",0.2404
"Stanford",0.2316
"Rutgers",0.2229
"UCF",0.1618
"San Diego State",0.1357
"Toledo",0.1269
"UAB",0.0833
"UT San Antonio",0.0746
"Florida State",0.0484
"South Carolina",-0.0127
"Louisiana",-0.0127
"Nevada",-0.0214
"Army",-0.0214
"Maryland",-0.0389
"Florida Atlantic",-0.0563
"Syracuse",-0.065
"Memphis",-0.1261
"Missouri",-0.1348
"Western Kentucky",-0.161
"Air Force",-0.1872
"Marshall",-0.1959
"Western Michigan",-0.2221
"Wyoming",-0.2396
"Washington State",-0.257
"Northwestern",-0.2832
"Louisiana Tech",-0.2832
"Buffalo",-0.3268
"Duke",-0.3355
"California",-0.3443
"Tulsa",-0.353
"Eastern Michigan",-0.3792
"Illinois",-0.3966
"Ball State",-0.4577
"Troy",-0.4577
"Tulane",-0.5013
"East Carolina",-0.5188
"Colorado State",-0.5188
"Kent State",-0.545
"Colorado",-0.5624
"Northern Illinois",-0.5886
"Utah State",-0.5973
"Miami (OH)",-0.606
"Middle Tennessee",-0.6235
"Central Michigan",-0.7369
"Georgia State",-0.7805
"Hawai'i",-0.8591
"Charlotte",-0.894
"South Florida",-0.9027
"San Jose State",-0.9551
"Georgia Southern",-0.9725
"Arizona",-0.9725
"South Alabama",-1.0074
"North Texas",-1.0336
"UNLV",-1.1994
"UTEP",-1.2866
"Navy",-1.3215
"Temple",-1.3215
"Arkansas State",-1.3215
"Old Dominion",-1.3303
"Texas State",-1.339
"Southern Mississippi",-1.4088
"Florida International",-1.4873
"Kansas",-1.5397
"Ohio",-1.5571
"Vanderbilt",-1.5746
"Bowling Green",-1.6095
"Rice",-1.7055
"New Mexico",-1.7753
"Louisiana Monroe",-1.9672
"UMass",-2.0981
"Akron",-2.1766
"New Mexico State",-2.2552
"Connecticut",-2.4035
