"team","fpi"
"Georgia",2.4842
"Alabama",2.4667
"Ohio State",2.2306
"Michigan",1.6357
"Oklahoma",1.5308
"Pittsburgh",1.5133
"Florida",1.4608
"Iowa State",1.3995
"Cincinnati",1.3296
"Clemson",1.3296
"Texas",1.2421
"Ole Miss",1.2158
"Texas A&M",1.1634
"Michigan State",1.1284
"Notre Dame",1.1196
"Auburn",1.1196
"Penn State",1.1109
"NC State",1.0671
"Oregon",1.0409
"Iowa",1.0234
"Nebraska",0.9184
"Baylor",0.9097
"Coastal Carolina",0.8922
"Oklahoma State",0.8922
"Tennessee",0.8484
"Miami",0.8135
"Virginia",0.8047
"Wisconsin",0.796
"North Carolina",0.796
"Utah",0.7872
"Arizona State",0.7697
"Kentucky",0.7697
"Arkansas",0.7435
"Mississippi State",0.726
"Wake Forest",0.7085
"LSU",0.6735
"SMU",0.656
"UCLA",0.6298
"Minnesota",0.5598
"Appalachian State",0.551
"TCU",0.5423
"USC",0.5248
"Purdue",0.4985
"West Virginia",0.4985
"Houston",0.4548
"Louisville",0.4461
"UT San Antonio",0.4286
"Oregon State",0.4023
"Kansas State",0.3761
"Boise State",0.3673
"Georgia Tech",0.3586
"BYU",0.3586
"Washington",0.3498
"Florida State",0.3148
"Virginia Tech",0.2973
"Texas Tech",0.2886
"Fresno State",0.2886
"Liberty",0.2011
"Stanford",0.1836
"Boston College",0.1574
"Toledo",0.1574
"San Diego State",0.1574
"Louisiana",0.1486
"Syracuse",0.1311
"UCF",0.1137
"Rutgers",0.0962
"Florida Atlantic",0.0962
"Nevada",0.0962
"Indiana",0.0437
"Army",0.0437
"Marshall",-0.0263
"Western Kentucky",-0.0438
"UAB",-0.0438
"California",-0.07
"Western Michigan",-0.0875
"Maryland",-0.0963
"Air Force",-0.105
"Washington State",-0.1663
"Illinois",-0.1663
"Memphis",-0.175
"Northwestern",-0.2013
"Missouri",-0.2537
"South Carolina",-0.2887
"Colorado State",-0.3062
"Tulsa",-0.315
"Buffalo",-0.3325
"Eastern Michigan",-0.3675
"Colorado",-0.4724
"Ball State",-0.4987
"East Carolina",-0.5162
"Middle Tennessee",-0.5162
"Troy",-0.5162
"Miami (OH)",-0.5424
"Utah State",-0.5949
"Wyoming",-0.6124
"Duke",-0.6211
"Tulane",-0.6386
"Louisiana Tech",-0.6561
"Northern Illinois",-0.6649
"Central Michigan",-0.6736
"Kent State",-0.7086
"Georgia State",-0.7436
"San Jose State",-0.8223
"South Florida",-0.8398
"Hawai'i",-0.8661
"South Alabama",-0.9361
"Charlotte",-1.0673
"Arizona",-1.1285
"Navy",-1.146
"UTEP",-1.1547
"Georgia Southern",-1.1722
"North Texas",-1.2335
"UNLV",-1.2335
"Arkansas State",-1.2422
"Texas State",-1.2772
"Old Dominion",-1.4172
"Ohio",-1.4347
"Kansas",-1.4609
"Temple",-1.4697
"Florida International",-1.4872
"Louisiana Monroe",-1.5309
"Southern Mississippi",-1.5309
"Vanderbilt",-1.5834
"New Mexico",-1.6359
"Rice",-1.6621
"Bowling Green",-1.7146
"New Mexico State",-2.1957
"Akron",-2.2307
"UMass",-2.3707
"Connecticut",-2.4144
