"team","fpi"
"Georgia",2.5183
"Alabama",2.4401
"Ohio State",2.1967
"Oklahoma",1.6143
"Michigan",1.5621
"Pittsburgh",1.3535
"Cincinnati",1.3361
"Florida",1.31
"Iowa State",1.2926
"Clemson",1.2753
"Texas",1.2057
"Auburn",1.1796
"Texas A&M",1.1623
"Notre Dame",1.1536
"Michigan State",1.1536
"Ole Miss",1.1188
"Penn State",1.1101
"NC State",1.084
"Oklahoma State",1.0406
"Oregon",1.0232
"Baylor",0.9797
"Wisconsin",0.9363
"Miami",0.9276
"Utah",0.9015
"Iowa",0.8928
"Wake Forest",0.8493
"Tennessee",0.8232
"Mississippi State",0.8146
"Nebraska",0.8059
"North Carolina",0.7711
"Arkansas",0.7363
"Coastal Carolina",0.7276
"Minnesota",0.7102
"Kentucky",0.6668
"LSU",0.6581
"Virginia",0.6581
"SMU",0.6146
"West Virginia",0.6059
"Appalachian State",0.6059
"Purdue",0.6059
"Arizona State",0.5799
"Kansas State",0.5103
"UCLA",0.5016
"Houston",0.4929
"BYU",0.4842
"Boise State",0.4755
"USC",0.4408
"Louisville",0.4234
"Virginia Tech",0.4234
"UT San Antonio",0.4234
"Washington",0.4147
"TCU",0.406
"UCF",0.3539
"Fresno State",0.3452
"Louisiana",0.3278
"Liberty",0.3278
"Florida State",0.3191
"Oregon State",0.3104
"Syracuse",0.2148
"Nevada",0.2148
"Texas Tech",0.1887
"Georgia Tech",0.1626
"Marshall",0.1452
"Stanford",0.1018
"Rutgers",0.1018
"San Diego State",0.0931
"Western Kentucky",0.0844
"Toledo",0.0757
"Army",0.0583
"California",0.0496
"Boston College",0.0409
"Indiana",0.0409
"Washington State",0.0322
"Florida Atlantic",-0.0547
"UAB",-0.0547
"Maryland",-0.0895
"Air Force",-0.0982
"Memphis",-0.1677
"Illinois",-0.2199
"Western Michigan",-0.2546
"Missouri",-0.272
"South Carolina",-0.2807
"Eastern Michigan",-0.2981
"Colorado State",-0.3242
"Northwestern",-0.385
"East Carolina",-0.3937
"Middle Tennessee",-0.4198
"Troy",-0.4198
"Tulsa",-0.4285
"Utah State",-0.4806
"Colorado",-0.4893
"Buffalo",-0.498
"Central Michigan",-0.5589
"Miami (OH)",-0.5589
"Ball State",-0.5676
"Tulane",-0.6197
"Wyoming",-0.6458
"Northern Illinois",-0.6545
"Louisiana Tech",-0.6892
"Kent State",-0.6979
"Georgia State",-0.724
"San Jose State",-0.8109
"South Alabama",-0.8283
"Duke",-0.8718
"South Florida",-0.9239
"Hawai'i",-0.9413
"Navy",-0.9761
"Arizona",-1.0109
"UTEP",-1.0283
"North Texas",-1.176
"Georgia Southern",-1.1934
"Charlotte",-1.2282
"Old Dominion",-1.3151
"Arkansas State",-1.3238
"UNLV",-1.3238
"Ohio",-1.376
"Texas State",-1.4281
"Bowling Green",-1.4716
"Southern Mississippi",-1.515
"Louisiana Monroe",-1.5324
"Vanderbilt",-1.5672
"Florida International",-1.6107
"New Mexico",-1.6193
"Kansas",-1.6454
"Rice",-1.6454
"Temple",-1.6628
"Akron",-2.1496
"New Mexico State",-2.1757
"Connecticut",-2.3843
"UMass",-2.506
