"team","fpi"
"Georgia",2.5229
"Alabama",2.2888
"Ohio State",2.1415
"Oklahoma",1.5953
"Michigan",1.5433
"Iowa State",1.3525
"Pittsburgh",1.3265
"Clemson",1.2745
"Cincinnati",1.2312
"Wisconsin",1.2225
"Texas A&M",1.2052
"Oklahoma State",1.1878
"Penn State",1.1878
"Notre Dame",1.1705
"Utah",1.1358
"NC State",1.1358
"Ole Miss",1.1098
"Auburn",1.1011
"Texas",1.0751
"Florida",1.0491
"Oregon",1.0491
"Michigan State",1.0405
"Baylor",0.9278
"Iowa",0.8931
"Miami",0.8584
"Wake Forest",0.8411
"Tennessee",0.8324
"Mississippi State",0.8324
"Nebraska",0.8151
"North Carolina",0.7804
"LSU",0.7457
"Purdue",0.7284
"Arkansas",0.7197
"Appalachian State",0.7023
"Coastal Carolina",0.685
"Arizona State",0.6677
"Boise State",0.659
"Kentucky",0.659
"Virginia",0.6417
"SMU",0.581
"Minnesota",0.5723
"BYU",0.555
"Houston",0.5376
"Kansas State",0.529
"UCLA",0.503
"UT San Antonio",0.4769
"West Virginia",0.4596
"Louisville",0.4249
"TCU",0.4163
"USC",0.3989
"Washington",0.3382
"Liberty",0.3296
"Virginia Tech",0.3209
"UCF",0.2949
"Oregon State",0.2776
"Marshall",0.2689
"Florida State",0.2689
"Louisiana",0.2602
"Georgia Tech",0.2082
"Syracuse",0.1995
"Western Kentucky",0.1822
"Fresno State",0.1822
"Toledo",0.1649
"Texas Tech",0.1649
"Army",0.1562
"Nevada",0.1302
"Boston College",0.1302
"San Diego State",0.0695
"Washington State",0.0608
"Indiana",0.0261
"South Carolina",-0.0172
"UAB",-0.0259
"California",-0.0606
"Illinois",-0.0779
"Memphis",-0.1212
"Stanford",-0.1299
"Air Force",-0.1386
"Maryland",-0.1386
"Florida Atlantic",-0.1819
"Rutgers",-0.1819
"East Carolina",-0.1993
"Missouri",-0.2426
"Tulsa",-0.3206
"Western Michigan",-0.338
"Northwestern",-0.3726
"Colorado State",-0.39
"Miami (OH)",-0.3987
"Eastern Michigan",-0.3987
"Central Michigan",-0.4073
"Troy",-0.416
"Utah State",-0.4247
"Colorado",-0.442
"Middle Tennessee",-0.5287
"Ball State",-0.5287
"Tulane",-0.5374
"Wyoming",-0.5634
"Buffalo",-0.6414
"Georgia State",-0.6414
"Northern Illinois",-0.6587
"Louisiana Tech",-0.6587
"San Jose State",-0.7454
"Kent State",-0.8235
"South Alabama",-0.8755
"Duke",-0.9015
"Arizona",-0.9015
"Hawai'i",-0.9275
"South Florida",-0.9535
"Navy",-0.9882
"North Texas",-1.0142
"UTEP",-1.0749
"Old Dominion",-1.1442
"UNLV",-1.2136
"Georgia Southern",-1.2222
"Ohio",-1.2222
"Charlotte",-1.2309
"Arkansas State",-1.413
"Texas State",-1.4216
"Louisiana Monroe",-1.543
"Vanderbilt",-1.5864
"Bowling Green",-1.595
"Rice",-1.6384
"Kansas",-1.6557
"Southern Mississippi",-1.673
"New Mexico",-1.7164
"Florida International",-1.7251
"Temple",-1.8291
"Akron",-2.0372
"New Mexico State",-2.2279
"Connecticut",-2.3666
"UMass",-2.5747
