"team","fpi"
"Georgia",2.5173
"Ohio State",2.2486
"Alabama",2.2139
"Michigan",1.6764
"Oklahoma",1.5116
"Notre Dame",1.4423
"Oklahoma State",1.4163
"Cincinnati",1.3643
"Clemson",1.2949
"Iowa State",1.2949
"Wisconsin",1.2862
"Pittsburgh",1.2602
"Utah",1.2255
"Penn State",1.1822
"Texas A&M",1.1822
"NC State",1.1735
"Baylor",1.0782
"Ole Miss",1.0435
"Oregon",0.9395
"Auburn",0.9221
"Appalachian State",0.9221
"Mississippi State",0.9048
"Tennessee",0.8874
"Michigan State",0.8701
"Iowa",0.8354
"Florida",0.8354
"Texas",0.8267
"Nebraska",0.8181
"Miami",0.8007
"Arkansas",0.7921
"Wake Forest",0.7834
"Purdue",0.7487
"Louisville",0.6967
"Minnesota",0.6967
"UCLA",0.6707
"Boise State",0.6534
"Kentucky",0.6447
"North Carolina",0.636
"Houston",0.6013
"LSU",0.6013
"Arizona State",0.6013
"BYU",0.5667
"SMU",0.558
"Virginia",0.5406
"Coastal Carolina",0.532
"Kansas State",0.5233
"West Virginia",0.4453
"Louisiana",0.4453
"Oregon State",0.4279
"UT San Antonio",0.3586
"Florida State",0.3586
"Virginia Tech",0.3586
"Washington",0.3239
"Western Kentucky",0.3152
"Marshall",0.2719
"Boston College",0.2459
"USC",0.2285
"UCF",0.2199
"Fresno State",0.2112
"Toledo",0.1939
"Liberty",0.1679
"Washington State",0.1418
"California",0.1418
"TCU",0.1332
"Texas Tech",0.1245
"Nevada",0.1158
"UAB",0.1072
"Army",0.0898
"San Diego State",0.0465
"South Carolina",0.0378
"Syracuse",-0.0055
"Air Force",-0.0315
"Illinois",-0.0489
"Rutgers",-0.0576
"Missouri",-0.1009
"East Carolina",-0.1442
"Memphis",-0.1703
"Tulsa",-0.1703
"Georgia Tech",-0.1703
"Western Michigan",-0.2136
"Central Michigan",-0.2656
"Indiana",-0.2743
"Maryland",-0.2916
"Wyoming",-0.335
"Miami (OH)",-0.3523
"Stanford",-0.361
"Eastern Michigan",-0.4043
"Utah State",-0.4303
"Colorado",-0.439
"Tulane",-0.4477
"Northwestern",-0.4477
"Middle Tennessee",-0.4997
"Colorado State",-0.517
"Florida Atlantic",-0.5257
"Georgia State",-0.5431
"Ball State",-0.6037
"Troy",-0.6124
"Kent State",-0.6731
"Northern Illinois",-0.6904
"North Texas",-0.7338
"Buffalo",-0.7338
"Louisiana Tech",-0.7858
"San Jose State",-0.8812
"Arizona",-0.9158
"Navy",-0.9158
"Old Dominion",-0.9419
"Hawai'i",-0.9679
"South Florida",-1.0025
"South Alabama",-1.0199
"UTEP",-1.0546
"Duke",-1.0979
"UNLV",-1.1499
"Georgia Southern",-1.1759
"Ohio",-1.1933
"Charlotte",-1.2886
"Kansas",-1.3493
"Arkansas State",-1.3493
"Southern Mississippi",-1.4013
"Texas State",-1.4187
"Vanderbilt",-1.436
"Louisiana Monroe",-1.4967
"Rice",-1.6181
"Bowling Green",-1.6441
"New Mexico",-1.7134
"Temple",-1.9042
"Florida International",-2.0949
"Akron",-2.1296
"Connecticut",-2.2596
"New Mexico State",-2.2596
"UMass",-2.5717
