"team","fpi"
<<<<<<< Updated upstream
"Georgia",2.5669
"Alabama",2.3479
"Ohio State",2.0675
"Oklahoma",1.6646
"Michigan",1.6032
"Cincinnati",1.5419
"Pittsburgh",1.5244
"Florida",1.4543
"Iowa State",1.4543
"Clemson",1.3842
"Penn State",1.3404
"Texas",1.2441
"Auburn",1.174
"Michigan State",1.1652
"Ole Miss",1.1214
"Iowa",1.0864
"NC State",1.0864
"Notre Dame",1.0864
"Texas A&M",1.0601
"Oregon",0.9988
"Tennessee",0.9024
"Nebraska",0.9024
"Coastal Carolina",0.8761
"Baylor",0.8761
"Utah",0.8498
"Arkansas",0.8323
"Arizona State",0.806
"Miami",0.7885
"Oklahoma State",0.7885
"Virginia",0.771
"North Carolina",0.7447
"Kentucky",0.7359
"Wisconsin",0.7359
"TCU",0.7359
"LSU",0.7009
"Wake Forest",0.6746
"Purdue",0.6483
"UCLA",0.6483
"USC",0.5783
"SMU",0.552
"Mississippi State",0.5432
"Appalachian State",0.5432
"Houston",0.5082
"Minnesota",0.4907
"Virginia Tech",0.3943
"Washington",0.3855
"Fresno State",0.3592
"BYU",0.3505
"Oregon State",0.3505
"Georgia Tech",0.3417
"Boise State",0.3417
"Indiana",0.333
"Kansas State",0.3242
"Texas Tech",0.3242
"Louisville",0.3154
"West Virginia",0.3067
"Louisiana",0.2804
"Boston College",0.2804
"UT San Antonio",0.2541
"Liberty",0.2541
"Stanford",0.2016
"UAB",0.184
"Rutgers",0.0789
"Toledo",0.0702
"Army",0.0614
"Florida State",0.0614
"San Diego State",0.0614
"UCF",0.0176
"Syracuse",0.0088
"Western Michigan",0.0088
"Nevada",0.0088
"Western Kentucky",-0.035
"Florida Atlantic",-0.0525
"Air Force",-0.07
"Maryland",-0.0788
"Marshall",-0.0788
"Memphis",-0.1489
"Washington State",-0.1664
"South Carolina",-0.1751
"Northwestern",-0.1839
"California",-0.2277
"Missouri",-0.2627
"Colorado State",-0.3328
"Wyoming",-0.3416
"Illinois",-0.3416
"Tulsa",-0.3504
"Ball State",-0.3504
"Colorado",-0.3504
"Buffalo",-0.4467
"Eastern Michigan",-0.473
"Troy",-0.4993
"Tulane",-0.508
"Louisiana Tech",-0.5431
"East Carolina",-0.5431
"Utah State",-0.5869
"Middle Tennessee",-0.6132
"Duke",-0.6219
"Miami (OH)",-0.6482
"Central Michigan",-0.6657
"Northern Illinois",-0.6745
"Kent State",-0.7271
"South Alabama",-0.7621
"Georgia State",-0.7796
"Hawai'i",-0.8672
"San Jose State",-0.8847
"Charlotte",-0.9198
"South Florida",-0.9285
"UNLV",-1.1563
"Georgia Southern",-1.1651
"UTEP",-1.1738
"Arizona",-1.1914
"Texas State",-1.2527
"North Texas",-1.2614
"Navy",-1.3315
"Temple",-1.349
"Arkansas State",-1.3753
"Ohio",-1.3841
"Vanderbilt",-1.4104
"Old Dominion",-1.4542
"Florida International",-1.4805
"Bowling Green",-1.5155
"Southern Mississippi",-1.533
"Kansas",-1.6381
"Louisiana Monroe",-1.6907
"New Mexico",-1.8834
"Rice",-1.901
"Akron",-2.0849
"UMass",-2.1375
"New Mexico State",-2.2689
"Connecticut",-2.2864
=======
"Georgia",2.5554
"Alabama",2.3454
"Ohio State",2.0654
"Oklahoma",1.6455
"Michigan",1.593
"Cincinnati",1.5492
"Pittsburgh",1.523
"Florida",1.4705
"Iowa State",1.4442
"Clemson",1.383
"Penn State",1.3392
"Texas",1.2255
"Auburn",1.1643
"Michigan State",1.1643
"Ole Miss",1.1118
"Iowa",1.0943
"NC State",1.0855
"Notre Dame",1.0855
"Texas A&M",1.0593
"Oregon",1.0068
"Tennessee",0.9018
"Nebraska",0.893
"Coastal Carolina",0.8843
"Baylor",0.8755
"Utah",0.8493
"Arkansas",0.823
"Arizona State",0.7968
"Miami",0.788
"Oklahoma State",0.788
"Virginia",0.7705
"North Carolina",0.7443
"TCU",0.7443
"Kentucky",0.7355
"Wisconsin",0.7268
"LSU",0.7093
"Wake Forest",0.6743
"SMU",0.6656
"UCLA",0.6393
"Purdue",0.6393
"USC",0.5868
"Mississippi State",0.5431
"Appalachian State",0.5343
"Houston",0.4906
"Minnesota",0.4906
"Virginia Tech",0.4031
"BYU",0.3506
"Boise State",0.3506
"Fresno State",0.3418
"Oregon State",0.3418
"Georgia Tech",0.3331
"Indiana",0.3331
"Louisville",0.3243
"Kansas State",0.3243
"Washington",0.3243
"Texas Tech",0.3156
"West Virginia",0.3068
"Boston College",0.2806
"Liberty",0.2631
"UT San Antonio",0.2543
"Stanford",0.2018
"UAB",0.1931
"Louisiana",0.1581
"Florida Atlantic",0.1318
"UCF",0.1143
"Rutgers",0.0793
"San Diego State",0.0706
"Toledo",0.0619
"Florida State",0.0619
"Army",0.0444
"Western Michigan",0.0181
"Syracuse",0.0094
"Nevada",0.0094
"Western Kentucky",-0.0344
"Air Force",-0.0519
"Marshall",-0.0694
"Maryland",-0.0781
"Washington State",-0.1744
"South Carolina",-0.1744
"Northwestern",-0.1919
"Memphis",-0.2269
"California",-0.2356
"Missouri",-0.2531
"Colorado State",-0.2969
"Tulsa",-0.3406
