"team","tr"
"Georgia",2.3487
"Alabama",2.1532
"Oklahoma",1.7848
"Michigan",1.7096
"Ohio State",1.6945
"Clemson",1.6419
"Iowa",1.4765
"Penn State",1.4464
"Ole Miss",1.4464
"North Carolina",1.3411
"Florida",1.3111
"Cincinnati",1.3036
"Auburn",1.296
"Oregon",1.281
"Wisconsin",1.2359
"Texas A&M",1.2359
"Texas",1.2058
"LSU",0.9276
"West Virginia",0.905
"Arkansas",0.89
"UCLA",0.89
"USC",0.8524
"Iowa State",0.8299
"Notre Dame",0.8073
"TCU",0.7998
"Nebraska",0.7772
"Virginia Tech",0.7697
"Maryland",0.7622
"Minnesota",0.7622
"UCF",0.7246
"Michigan State",0.6795
"NC State",0.6494
"Virginia",0.6268
"Washington",0.6043
"Liberty",0.5893
"Boise State",0.5893
"Baylor",0.5817
"Appalachian State",0.5742
"Wake Forest",0.5441
"Indiana",0.5291
"Purdue",0.5291
"Fresno State",0.5065
"Pittsburgh",0.5065
"Kansas State",0.4539
"Mississippi State",0.4464
"Miami",0.4314
"Utah",0.4088
"Boston College",0.4013
"Oklahoma State",0.3938
"Rutgers",0.3862
"BYU",0.3787
"Coastal Carolina",0.3562
"Stanford",0.3411
"Louisville",0.3261
"Arizona State",0.3186
"Houston",0.3111
"Tennessee",0.281
"Tulane",0.2735
"Texas Tech",0.2659
"Missouri",0.2434
"Louisiana",0.2133
"Army",0.1983
"Marshall",0.1832
"South Carolina",0.1757
"SMU",0.1757
"UAB",0.1757
"Memphis",0.1456
"UT San Antonio",0.1381
"Oregon State",0.1381
"Kentucky",0.108
"Troy",0.1005
"Georgia Tech",0.0178
"Nevada",0.0103
"California",-0.0198
"Buffalo",-0.0273
"Florida Atlantic",-0.095
"Colorado",-0.095
"Tulsa",-0.1175
"Toledo",-0.125
"East Carolina",-0.125
"Western Michigan",-0.1326
"San Diego State",-0.1326
"Illinois",-0.1401
"Wyoming",-0.1551
"Syracuse",-0.1927
"San Jose State",-0.2604
"Northwestern",-0.2679
"Central Michigan",-0.2679
"Florida State",-0.298
"Kent State",-0.313
"Western Kentucky",-0.3581
"Miami (OH)",-0.486
"Duke",-0.4935
"Air Force",-0.5235
"Washington State",-0.5536
"Eastern Michigan",-0.6739
"Louisiana Tech",-0.6965
"Middle Tennessee",-0.7266
"Utah State",-0.8168
"Ball State",-0.8469
"Georgia State",-0.9446
"South Florida",-0.9596
"Hawai'i",-0.9672
"Colorado State",-0.9747
"Charlotte",-0.9747
"Northern Illinois",-0.9822
"South Alabama",-0.9897
"Southern Mississippi",-1.0273
"Arkansas State",-1.095
"Arizona",-1.11
"Texas State",-1.11
"Old Dominion",-1.2754
"Vanderbilt",-1.2754
"Ohio",-1.298
"Georgia Southern",-1.313
"Florida International",-1.3356
"North Texas",-1.3431
"Temple",-1.3957
"New Mexico",-1.4183
"Rice",-1.4333
"Navy",-1.4709
"UTEP",-1.5988
"Kansas",-1.7341
"Bowling Green",-1.8694
"Louisiana Monroe",-2.0649
"Akron",-2.08
"UNLV",-2.095
"UMass",-2.11
"New Mexico State",-2.3281
"Connecticut",-2.4033
