"team","tr"
"Georgia",2.6226
"Ohio State",2.3954
"Alabama",2.1525
"Michigan",1.706
"Notre Dame",1.5336
"Cincinnati",1.4788
"Wisconsin",1.4239
"Oklahoma State",1.3534
"Oklahoma",1.3221
"Texas A&M",1.2516
"Penn State",1.2437
"Clemson",1.2359
"Ole Miss",1.1419
"Utah",1.1262
"Iowa State",1.1184
"Pittsburgh",1.0871
"NC State",1.0557
"Baylor",1.0322
"Auburn",0.9695
"Iowa",0.9695
"Nebraska",0.9304
"Wake Forest",0.9069
"Arkansas",0.899
"Oregon",0.8677
"Tennessee",0.8364
"Purdue",0.8285
"Minnesota",0.7658
"Florida",0.7658
"Michigan State",0.758
"Appalachian State",0.758
"Texas",0.758
"Mississippi State",0.758
"UCLA",0.7423
"Louisville",0.7423
"Boise State",0.7267
"Miami",0.6797
"Houston",0.6483
"LSU",0.6483
"North Carolina",0.6405
"Arizona State",0.5935
"Kentucky",0.5543
"Kansas State",0.5386
"BYU",0.5151
"SMU",0.4838
"West Virginia",0.4838
"Louisiana",0.476
"Coastal Carolina",0.4525
"Virginia",0.4446
"Oregon State",0.4446
"UT San Antonio",0.3506
"Marshall",0.335
"UCF",0.3271
"Florida State",0.3271
"Liberty",0.3036
"Washington",0.2723
"Army",0.2253
"Virginia Tech",0.2174
"USC",0.2018
"California",0.1783
"Boston College",0.1704
"Western Kentucky",0.1548
"Air Force",0.1469
"Fresno State",0.1469
"Washington State",0.1469
"Nevada",0.1391
"UAB",0.1234
"TCU",0.1156
"Toledo",0.1078
"East Carolina",0.0921
"South Carolina",0.0921
"Illinois",0.0372
"Rutgers",0.0372
"Syracuse",0.0059
"San Diego State",-0.0568
"Texas Tech",-0.0568
"Missouri",-0.0803
"Tulsa",-0.1194
"Memphis",-0.1273
"Maryland",-0.1273
"Indiana",-0.19
"Georgia Tech",-0.2526
"Tulane",-0.2605
"Central Michigan",-0.2683
"Miami (OH)",-0.2996
"Colorado",-0.2996
"Western Michigan",-0.3153
"Stanford",-0.3388
"Northwestern",-0.3936
"Wyoming",-0.425
"Eastern Michigan",-0.4642
"Ball State",-0.5347
"Navy",-0.5503
"Georgia State",-0.5503
"Utah State",-0.5738
"Florida Atlantic",-0.5973
"Colorado State",-0.6052
"Middle Tennessee",-0.66
"Troy",-0.66
"Kent State",-0.7305
"Northern Illinois",-0.7619
"Buffalo",-0.801
"South Florida",-0.8559
"Arizona",-0.8715
"San Jose State",-0.8951
"North Texas",-0.9029
"Old Dominion",-0.9029
"Louisiana Tech",-0.9499
"South Alabama",-0.9734
"Hawai'i",-1.0204
"Ohio",-1.0282
"UTEP",-1.0987
"Georgia Southern",-1.1693
"Duke",-1.2163
"Charlotte",-1.2868
"UNLV",-1.3181
"Vanderbilt",-1.3808
"Arkansas State",-1.3965
"Texas State",-1.467
"Kansas",-1.467
"Southern Mississippi",-1.4748
"Rice",-1.4826
"Louisiana Monroe",-1.5766
"Bowling Green",-1.6315
"New Mexico",-1.6393
"Temple",-1.8038
"Akron",-2.031
"Florida International",-2.1486
"New Mexico State",-2.2191
"Connecticut",-2.2739
"UMass",-2.5403
