"team","tr"
"Georgia",2.6537
"Alabama",2.3952
"Ohio State",2.262
"Michigan",1.5961
"Cincinnati",1.5256
"Oklahoma",1.4394
"Auburn",1.2592
"Ole Miss",1.2279
"Florida",1.2279
"Clemson",1.2122
"Notre Dame",1.2044
"Texas A&M",1.1887
"Penn State",1.1652
"Pittsburgh",1.1574
"Texas",1.1574
"Wisconsin",1.1104
"Iowa",1.079
"Iowa State",1.0477
"Wake Forest",1.0164
"Oregon",1.0007
"Michigan State",0.985
"Oklahoma State",0.9224
"NC State",0.9224
"Baylor",0.9224
"Nebraska",0.891
"Arkansas",0.8754
"Minnesota",0.8205
"Utah",0.8049
"Miami",0.8049
"Tennessee",0.75
"North Carolina",0.7265
"LSU",0.7108
"Purdue",0.703
"West Virginia",0.6717
"Coastal Carolina",0.6403
"Mississippi State",0.6247
"Boise State",0.5855
"Houston",0.5777
"Kentucky",0.5777
"Arizona State",0.562
"UCLA",0.5542
"Virginia",0.5542
"UCF",0.5228
"Kansas State",0.5228
"Appalachian State",0.4993
"SMU",0.4993
"Liberty",0.4758
"TCU",0.4523
"Louisville",0.4445
"BYU",0.4367
"UT San Antonio",0.3975
"USC",0.3897
"Washington",0.3818
"Louisiana",0.3426
"Oregon State",0.3426
"Virginia Tech",0.3113
"Marshall",0.3035
"Florida State",0.2956
"Nevada",0.2643
"Syracuse",0.2565
"Fresno State",0.2251
"California",0.1546
"Army",0.1468
"Indiana",0.1311
"Rutgers",0.1311
"Stanford",0.1233
"Maryland",0.1076
"Air Force",0.0998
"Washington State",0.0841
"Boston College",0.0371
"UAB",0.0293
"Georgia Tech",-0.002
"Toledo",-0.002
"San Diego State",-0.0177
"Texas Tech",-0.0334
"Western Kentucky",-0.0726
"East Carolina",-0.0804
"Illinois",-0.1274
"Memphis",-0.1509
"Florida Atlantic",-0.1901
"South Carolina",-0.2371
"Missouri",-0.2762
"Western Michigan",-0.3076
"Colorado",-0.3624
"Eastern Michigan",-0.3781
"Northwestern",-0.4094
"Tulane",-0.4173
"Tulsa",-0.4329
"Colorado State",-0.4408
"Miami (OH)",-0.4799
"Troy",-0.5034
"Central Michigan",-0.5191
"Ball State",-0.5269
"Buffalo",-0.5426
"Middle Tennessee",-0.5896
"Navy",-0.5974
"Utah State",-0.6444
"Georgia State",-0.7306
"Kent State",-0.7384
"Wyoming",-0.7463
"Northern Illinois",-0.7698
"San Jose State",-0.7933
"South Florida",-0.809
"South Alabama",-0.8403
"Louisiana Tech",-0.8795
"Hawai'i",-0.9891
"Duke",-1.0048
"Arizona",-1.0205
"UTEP",-1.0753
"Ohio",-1.1458
"Old Dominion",-1.1537
"Georgia Southern",-1.1928
"Charlotte",-1.2085
"North Texas",-1.2477
"Arkansas State",-1.4043
"Bowling Green",-1.4513
"Rice",-1.4592
"Texas State",-1.514
"New Mexico",-1.5219
"Vanderbilt",-1.5375
"UNLV",-1.5532
"Temple",-1.5845
"Southern Mississippi",-1.5845
"Louisiana Monroe",-1.6394
"Florida International",-1.7334
"Kansas",-1.8587
"Akron",-1.9527
"New Mexico State",-2.1486
"Connecticut",-2.4149
"UMass",-2.4776
