"team","tr"
"Georgia",2.6011
"Alabama",2.4196
"Ohio State",2.317
"Michigan",1.7016
"Cincinnati",1.5517
"Oklahoma",1.3939
"Florida",1.3308
"Ole Miss",1.315
"Pittsburgh",1.2992
"Clemson",1.2756
"Iowa",1.2203
"Texas",1.2203
"Texas A&M",1.1967
"Notre Dame",1.1888
"Auburn",1.173
"Iowa State",1.1335
"Penn State",1.1178
"Nebraska",0.9994
"Oregon",0.9679
"Wisconsin",0.96
"Wake Forest",0.9442
"Michigan State",0.9126
"Arkansas",0.889
"NC State",0.8811
"Baylor",0.8653
"Oklahoma State",0.8022
"Coastal Carolina",0.7785
"North Carolina",0.7706
"Tennessee",0.7627
"Arizona State",0.739
"LSU",0.7233
"Miami",0.7154
"Virginia",0.6996
"Minnesota",0.6996
"Utah",0.6917
"Kentucky",0.6838
"UCLA",0.6759
"Purdue",0.6207
"West Virginia",0.6049
"TCU",0.5734
"Houston",0.5576
"Mississippi State",0.526
"SMU",0.526
"Boise State",0.5181
"Louisville",0.5024
"USC",0.4866
"Appalachian State",0.455
"Oregon State",0.4313
"Liberty",0.4077
"UT San Antonio",0.3919
"Kansas State",0.3919
"UCF",0.3603
"Washington",0.3446
"BYU",0.2735
"Florida State",0.2578
"Virginia Tech",0.2341
"Nevada",0.1946
"Louisiana",0.1789
"Marshall",0.1789
"Fresno State",0.1789
"Stanford",0.171
"Syracuse",0.1552
"Boston College",0.1552
"Indiana",0.1315
"Army",0.1236
"Georgia Tech",0.1157
"Rutgers",0.1157
"Maryland",0.1079
"Toledo",0.1
"Air Force",0.0921
"Texas Tech",0.0605
"San Diego State",0.0368
"UAB",0.029
"California",0.0211
"Florida Atlantic",-0.0578
"Illinois",-0.0815
"Washington State",-0.1052
"Western Michigan",-0.1131
"East Carolina",-0.1525
"Memphis",-0.1604
"Western Kentucky",-0.2077
"Missouri",-0.2314
"South Carolina",-0.2551
"Northwestern",-0.2709
"Buffalo",-0.3182
"Colorado",-0.3577
"Tulsa",-0.3734
"Ball State",-0.4444
"Colorado State",-0.4523
"Tulane",-0.4523
"Miami (OH)",-0.4523
"Eastern Michigan",-0.4681
"Troy",-0.5786
"Central Michigan",-0.6338
"Middle Tennessee",-0.689
"Navy",-0.6969
"Wyoming",-0.7127
"Kent State",-0.7364
"Georgia State",-0.7443
"Northern Illinois",-0.76
"San Jose State",-0.7758
"South Florida",-0.7758
"Utah State",-0.8074
"Duke",-0.8468
"Louisiana Tech",-0.8863
"Hawai'i",-0.8863
"South Alabama",-0.9336
"Charlotte",-1.0599
"Arizona",-1.1545
"Georgia Southern",-1.1782
"UTEP",-1.1861
"Ohio",-1.2177
"Old Dominion",-1.2334
"North Texas",-1.3202
"Arkansas State",-1.3439
"Texas State",-1.3834
"Rice",-1.4149
"Temple",-1.4307
"UNLV",-1.5096
"New Mexico",-1.5333
"Southern Mississippi",-1.5333
"Vanderbilt",-1.5885
"Florida International",-1.6358
"Louisiana Monroe",-1.6358
"Bowling Green",-1.6911
"Kansas",-1.7147
"Akron",-2.0303
"New Mexico State",-2.1487
"UMass",-2.4169
"Connecticut",-2.4485
