"team","tr"
"Georgia",2.6127
"Alabama",2.3388
"Oklahoma",1.7048
"Michigan",1.6892
"Clemson",1.6344
"Ohio State",1.6344
"Ole Miss",1.4935
"Florida",1.4701
"Texas",1.4701
"Cincinnati",1.3448
"Iowa",1.2431
"Notre Dame",1.2118
"Oregon",1.1413
"Arkansas",1.11
"Penn State",1.1022
"Texas A&M",1.0709
"Auburn",1.0318
"West Virginia",1.0083
"UCLA",0.9457
"LSU",0.9379
"NC State",0.9065
"North Carolina",0.9065
"Wisconsin",0.8596
"Wake Forest",0.8518
"Maryland",0.8439
"Iowa State",0.8439
"Pittsburgh",0.8361
"Michigan State",0.797
"UCF",0.7891
"Nebraska",0.7657
"Miami",0.75
"Boise State",0.7344
"Purdue",0.6091
"Baylor",0.6091
"TCU",0.6013
"Rutgers",0.5935
"Washington",0.5778
"Appalachian State",0.5387
"Coastal Carolina",0.5309
"USC",0.523
"Oklahoma State",0.5074
"Mississippi State",0.4996
"Arizona State",0.4996
"Oregon State",0.4683
"Boston College",0.4604
"Liberty",0.4604
"Georgia Tech",0.4448
"Virginia Tech",0.4448
"Indiana",0.4448
"SMU",0.3978
"Louisville",0.39
"Utah",0.3509
"Kansas State",0.343
"UAB",0.343
"Virginia",0.3352
"Tennessee",0.3352
"BYU",0.3117
"Minnesota",0.3039
"Kentucky",0.2883
"Army",0.2883
"Fresno State",0.2726
"Marshall",0.2726
"Missouri",0.2413
"UT San Antonio",0.21
"Stanford",0.1943
"Tulane",0.1552
"Louisiana",0.1317
"Memphis",0.1161
"Houston",0.1082
"South Carolina",0.0848
"Western Michigan",0.0613
"Texas Tech",0.0378
"Toledo",-0.0013
"Nevada",-0.0092
"California",-0.0248
"Syracuse",-0.0796
"Illinois",-0.0952
"Northwestern",-0.1187
"San Diego State",-0.1657
"Buffalo",-0.1735
"Air Force",-0.2048
"Tulsa",-0.2126
"Florida State",-0.2205
"Western Kentucky",-0.2674
"Troy",-0.3379
"Florida Atlantic",-0.3457
"Colorado",-0.3535
"East Carolina",-0.3848
"Central Michigan",-0.4318
"Wyoming",-0.4396
"Kent State",-0.4474
"Eastern Michigan",-0.4631
"Duke",-0.4709
"San Jose State",-0.4709
"Miami (OH)",-0.5883
"Washington State",-0.5883
"Louisiana Tech",-0.7135
"Colorado State",-0.7527
"South Florida",-0.8075
"Georgia State",-0.8153
"Middle Tennessee",-0.8388
"Utah State",-0.8701
"Northern Illinois",-0.9405
"Charlotte",-0.9483
"Hawai'i",-0.9483
"South Alabama",-0.964
"Ball State",-1.0031
"Arizona",-1.0501
"Arkansas State",-1.0657
"Old Dominion",-1.1675
"Southern Mississippi",-1.1675
"Navy",-1.2457
"Georgia Southern",-1.2692
"North Texas",-1.2849
"Temple",-1.3083
"Florida International",-1.3475
"Texas State",-1.4727
"Ohio",-1.4805
"Vanderbilt",-1.4884
"Rice",-1.4962
"Bowling Green",-1.504
"UTEP",-1.5823
"New Mexico",-1.5823
"Louisiana Monroe",-1.6214
"Kansas",-1.7779
"UNLV",-1.8405
"Akron",-2.2006
"UMass",-2.2554
"Connecticut",-2.2867
"New Mexico State",-2.4745
