"team","tr"
"Georgia",2.6993
"Alabama",2.3783
"Ohio State",1.8459
"Michigan",1.7832
"Oklahoma",1.5875
"Iowa",1.564
"Clemson",1.4857
"Cincinnati",1.4779
"Texas",1.4466
"Florida",1.3683
"Ole Miss",1.3526
"Penn State",1.2587
"Pittsburgh",1.1647
"Notre Dame",1.0864
"Auburn",1.0786
"Iowa State",1.0551
"Nebraska",1.0316
"Oregon",0.9925
"Arkansas",0.9846
"North Carolina",0.9533
"Texas A&M",0.8829
"LSU",0.828
"Wake Forest",0.7967
"West Virginia",0.7732
"Michigan State",0.7732
"Arizona State",0.7732
"Tennessee",0.7576
"NC State",0.7341
"Coastal Carolina",0.7184
"Wisconsin",0.7028
"UCLA",0.7028
"USC",0.7028
"Appalachian State",0.6871
"Miami",0.6793
"Liberty",0.6715
"TCU",0.6245
"Mississippi State",0.5697
"Oklahoma State",0.5384
"Boston College",0.5227
"Baylor",0.5227
"Boise State",0.5149
"Washington",0.507
"Oregon State",0.4992
"Houston",0.4992
"Purdue",0.4757
"SMU",0.4757
"Kansas State",0.4757
"UCF",0.4757
"Minnesota",0.4757
"Maryland",0.4679
"Virginia Tech",0.4366
"Virginia",0.4209
"Kentucky",0.4131
"Utah",0.4053
"Indiana",0.3818
"Louisville",0.3739
"BYU",0.3583
"Rutgers",0.3505
"Stanford",0.3426
"Texas Tech",0.2174
"Nevada",0.2174
"Marshall",0.2095
"Georgia Tech",0.186
"Western Michigan",0.1704
"South Carolina",0.1626
"Toledo",0.1469
"Fresno State",0.1234
"Louisiana",0.0764
"UAB",0.0764
"Army",0.0451
"Air Force",0.006
"UT San Antonio",-0.0097
"Florida Atlantic",-0.088
"Syracuse",-0.1036
"East Carolina",-0.1193
"Missouri",-0.1193
"San Diego State",-0.1271
"Memphis",-0.135
"Illinois",-0.1663
"Tulane",-0.1741
"Buffalo",-0.1741
"California",-0.2211
"Florida State",-0.2289
"Washington State",-0.315
"Western Kentucky",-0.3307
"Troy",-0.3464
"Wyoming",-0.3777
"Colorado",-0.4481
"Northwestern",-0.4795
"Miami (OH)",-0.5029
"Tulsa",-0.5343
"Louisiana Tech",-0.5499
"Kent State",-0.5578
"Eastern Michigan",-0.5969
"San Jose State",-0.6126
"Central Michigan",-0.6282
"Duke",-0.6439
"Middle Tennessee",-0.683
"Colorado State",-0.6909
"Ball State",-0.7065
"Hawai'i",-0.824
"South Alabama",-0.8318
"Utah State",-0.8474
"Northern Illinois",-0.8553
"Navy",-0.8866
"South Florida",-0.8944
"Charlotte",-0.9336
"Georgia State",-0.9571
"Georgia Southern",-1.0275
"Arizona",-1.0588
"Temple",-1.1763
"Southern Mississippi",-1.1919
"Old Dominion",-1.2389
"North Texas",-1.2859
"Bowling Green",-1.3172
"Arkansas State",-1.3955
"Rice",-1.4033
"Ohio",-1.4346
"UTEP",-1.5129
"Texas State",-1.5443
"Florida International",-1.5599
"Vanderbilt",-1.5599
"UNLV",-1.5912
"New Mexico",-1.6852
"Louisiana Monroe",-1.8574
"Kansas",-1.9279
"Connecticut",-2.2489
"Akron",-2.2567
"New Mexico State",-2.2724
"UMass",-2.2959
