"team","tr"
"Georgia",2.6202
"Alabama",2.2446
"Ohio State",2.2055
"Michigan",1.5795
"Oklahoma",1.4152
"Cincinnati",1.3995
"Wisconsin",1.3682
"Texas A&M",1.2821
"Notre Dame",1.2274
"Ole Miss",1.2274
"Penn State",1.2195
"Clemson",1.2117
"Iowa State",1.1882
"Auburn",1.1804
"Pittsburgh",1.1256
"Oklahoma State",1.0709
"Utah",1.0552
"Iowa",1.0317
"Texas",1.0161
"Wake Forest",1.0083
"Oregon",0.9926
"NC State",0.9848
"Florida",0.9691
"Nebraska",0.9144
"Baylor",0.8987
"Michigan State",0.8909
"Arkansas",0.8439
"LSU",0.8048
"Purdue",0.797
"North Carolina",0.7579
"Tennessee",0.75
"Miami",0.7344
"Boise State",0.7344
"Minnesota",0.6874
"Arizona State",0.6561
"Mississippi State",0.6561
"Coastal Carolina",0.617
"Appalachian State",0.5935
"Houston",0.5779
"Virginia",0.5779
"Kentucky",0.5701
"UCLA",0.5622
"West Virginia",0.5388
"BYU",0.5231
"Kansas State",0.4918
"Liberty",0.4762
"UCF",0.4683
"SMU",0.4605
"Louisville",0.4605
"UT San Antonio",0.4527
"TCU",0.4449
"Marshall",0.3979
"USC",0.351
"Washington",0.3197
"Oregon State",0.2884
"Louisiana",0.2649
"Army",0.2493
"Florida State",0.2414
"Syracuse",0.2414
"Virginia Tech",0.1945
"Nevada",0.171
"Boston College",0.1162
"Indiana",0.1084
"Fresno State",0.0928
"East Carolina",0.0928
"Washington State",0.0849
"Toledo",0.0771
"Air Force",0.0693
"Georgia Tech",0.0536
"Western Kentucky",0.0458
"Maryland",0.038
"South Carolina",0.0302
"UAB",0.0223
"Illinois",0.0223
"California",0.0223
"San Diego State",-0.0324
"Texas Tech",-0.0637
"Memphis",-0.1029
"Stanford",-0.1263
"Rutgers",-0.1263
"Missouri",-0.2202
"Florida Atlantic",-0.2907
"Tulsa",-0.2985
"Colorado",-0.3063
"Miami (OH)",-0.3376
"Tulane",-0.3454
"Northwestern",-0.3611
"Central Michigan",-0.3846
"Western Michigan",-0.4159
"Eastern Michigan",-0.4706
"Troy",-0.5019
"Ball State",-0.5098
"Colorado State",-0.5254
"Utah State",-0.5958
"Navy",-0.6115
"Georgia State",-0.6428
"Wyoming",-0.6584
"Buffalo",-0.6819
"Middle Tennessee",-0.7132
"San Jose State",-0.721
"Northern Illinois",-0.7523
"South Florida",-0.7836
"Louisiana Tech",-0.8462
"Kent State",-0.8697
"South Alabama",-0.8853
"Arizona",-0.8932
"Hawai'i",-0.9871
"Duke",-0.9871
"Ohio",-1.0184
"Old Dominion",-1.034
"North Texas",-1.1044
"UTEP",-1.1123
"Charlotte",-1.1983
"Georgia Southern",-1.2062
"UNLV",-1.4253
"Rice",-1.48
"Arkansas State",-1.48
"Texas State",-1.5035
"Vanderbilt",-1.5583
"Bowling Green",-1.5818
"New Mexico",-1.6209
"Louisiana Monroe",-1.6522
"Temple",-1.7226
"Southern Mississippi",-1.7539
"Kansas",-1.8165
"Florida International",-1.8243
"Akron",-1.8635
"New Mexico State",-2.1921
"Connecticut",-2.419
"UMass",-2.5442
