"team","tr"
"Georgia",2.7657
"Alabama",2.1777
"Ohio State",2.115
"Michigan",1.7308
"Cincinnati",1.5975
"Oklahoma",1.5897
"Iowa",1.5426
"Clemson",1.4877
"Texas",1.4093
"Florida",1.378
"Penn State",1.3466
"Ole Miss",1.2525
"Pittsburgh",1.1349
"Notre Dame",1.1035
"Iowa State",1.0957
"Auburn",1.0722
"Arkansas",1.0565
"Texas A&M",1.0565
"Nebraska",1.0487
"Oregon",1.0094
"Michigan State",0.9075
"Wisconsin",0.8526
"Tennessee",0.8526
"Arizona State",0.837
"Wake Forest",0.7899
"TCU",0.7821
"Liberty",0.7664
"Baylor",0.7585
"Coastal Carolina",0.7507
"North Carolina",0.7429
"NC State",0.735
"Appalachian State",0.6958
"Miami",0.6723
"UCLA",0.6488
"Utah",0.6409
"Boise State",0.6253
"LSU",0.6096
"Oklahoma State",0.5939
"Houston",0.5939
"Kentucky",0.5704
"Mississippi State",0.5547
"Boston College",0.5233
"West Virginia",0.4998
"USC",0.4841
"Minnesota",0.4684
"Washington",0.4684
"Kansas State",0.4606
"UCF",0.4371
"SMU",0.4371
"Purdue",0.4292
"Virginia",0.4057
"Indiana",0.3979
"Virginia Tech",0.3979
"Louisville",0.3587
"Oregon State",0.3352
"BYU",0.3273
"Rutgers",0.2489
"Stanford",0.2254
"UAB",0.194
"Maryland",0.1862
"Nevada",0.1627
"Georgia Tech",0.1391
"Fresno State",0.1078
"Army",0.0999
"Marshall",0.0999
"Toledo",0.0686
"Louisiana",0.0686
"South Carolina",0.0451
"Air Force",0.0372
"Texas Tech",0.0294
"Florida State",0.0137
"UT San Antonio",-0.0098
"Syracuse",-0.0098
"San Diego State",-0.0647
"East Carolina",-0.1039
"Missouri",-0.1353
"Florida Atlantic",-0.1902
"Washington State",-0.1902
"California",-0.198
"Western Michigan",-0.2058
"Memphis",-0.2215
"Tulane",-0.2686
"Buffalo",-0.3078
"Illinois",-0.3078
"Wyoming",-0.347
"Western Kentucky",-0.3548
"Ball State",-0.3783
"Tulsa",-0.4175
"Northwestern",-0.4489
"Colorado",-0.4489
"Troy",-0.4724
"Miami (OH)",-0.4881
"Kent State",-0.4959
"Eastern Michigan",-0.543
"Louisiana Tech",-0.5508
"Colorado State",-0.5587
"Duke",-0.6214
"Central Michigan",-0.6998
"Northern Illinois",-0.7076
"Middle Tennessee",-0.7625
"Georgia State",-0.7704
"Navy",-0.8096
"Utah State",-0.8174
"San Jose State",-0.8174
"Hawai'i",-0.8723
"Charlotte",-0.888
"South Florida",-0.9037
"South Alabama",-0.9742
"Georgia Southern",-0.9821
"Arizona",-1.0448
"Old Dominion",-1.1075
"North Texas",-1.233
"Temple",-1.2722
"UTEP",-1.3192
"Ohio",-1.3506
"Southern Mississippi",-1.4055
"Rice",-1.4055
"Texas State",-1.4447
"Arkansas State",-1.4603
"Bowling Green",-1.5544
"Vanderbilt",-1.578
"UNLV",-1.5858
"New Mexico",-1.6407
"Florida International",-1.6485
"Kansas",-1.8837
"Akron",-1.9778
"Louisiana Monroe",-2.0876
"UMass",-2.2052
"New Mexico State",-2.213
"Connecticut",-2.3463
