"team","tr"
"Georgia",2.6359
"Ohio State",2.2654
"Alabama",2.2417
"Michigan",1.6032
"Wisconsin",1.4298
"Notre Dame",1.3588
"Cincinnati",1.3431
"Oklahoma",1.3115
"Oklahoma State",1.2958
"Ole Miss",1.28
"Texas A&M",1.2406
"Penn State",1.1933
"Clemson",1.1539
"Iowa State",1.1302
"Pittsburgh",1.1066
"Auburn",1.0829
"Wake Forest",1.0277
"NC State",1.0277
"Oregon",1.012
"Utah",0.9962
"Iowa",0.9883
"Baylor",0.9883
"Michigan State",0.9253
"Nebraska",0.9174
"Arkansas",0.8622
"Florida",0.8386
"Texas",0.7913
"Purdue",0.7834
"LSU",0.7676
"North Carolina",0.7597
"Mississippi State",0.7597
"Tennessee",0.7203
"Boise State",0.7045
"Minnesota",0.6888
"Miami",0.6888
"Arizona State",0.6809
"Louisville",0.6494
"Houston",0.6257
"UCLA",0.6178
"SMU",0.61
"Appalachian State",0.6021
"Kansas State",0.5942
"BYU",0.5469
"Kentucky",0.5154
"Coastal Carolina",0.5075
"Liberty",0.4838
"Virginia",0.4681
"West Virginia",0.4523
"Army",0.3814
"UT San Antonio",0.3656
"USC",0.3498
"Oregon State",0.3498
"UCF",0.3341
"Marshall",0.3262
"Washington",0.3183
"Louisiana",0.2946
"Florida State",0.2868
"Virginia Tech",0.2789
"TCU",0.2395
"Boston College",0.1922
"Nevada",0.1527
"Air Force",0.1449
"Fresno State",0.1291
"Rutgers",0.1054
"UAB",0.1054
"Washington State",0.0976
"East Carolina",0.0818
"Syracuse",0.0739
"Toledo",0.0739
"Western Kentucky",0.066
"Illinois",0.0187
"California",0.0109
"Texas Tech",0.003
"South Carolina",-0.0128
"Maryland",-0.0286
"San Diego State",-0.0286
"Georgia Tech",-0.0364
"Memphis",-0.0995
"Indiana",-0.1389
"Stanford",-0.1941
"Missouri",-0.202
"Tulsa",-0.2256
"Miami (OH)",-0.336
"Colorado",-0.3596
"Northwestern",-0.3675
"Tulane",-0.3991
"Utah State",-0.3991
"Central Michigan",-0.4069
"Florida Atlantic",-0.4306
"Western Michigan",-0.4385
"Eastern Michigan",-0.4858
"Ball State",-0.5015
"Georgia State",-0.5252
"Troy",-0.5488
"Middle Tennessee",-0.5646
"Colorado State",-0.5725
"Navy",-0.5961
"Wyoming",-0.604
"Buffalo",-0.6907
"South Florida",-0.7301
"Northern Illinois",-0.7301
"Louisiana Tech",-0.8011
"Arizona",-0.8247
"Kent State",-0.8878
"South Alabama",-0.8957
"San Jose State",-0.8957
"Old Dominion",-0.9272
"Ohio",-1.0455
"Duke",-1.0691
"Hawai'i",-1.077
"North Texas",-1.077
"UTEP",-1.1164
"Georgia Southern",-1.1873
"Charlotte",-1.2268
"UNLV",-1.345
"Arkansas State",-1.4711
"Rice",-1.5105
"Vanderbilt",-1.5263
"Texas State",-1.5578
"Kansas",-1.5894
"Bowling Green",-1.5973
"Southern Mississippi",-1.6288
"New Mexico",-1.6367
"Louisiana Monroe",-1.6919
"Temple",-1.7313
"Akron",-1.881
"Florida International",-1.9756
"New Mexico State",-2.2042
"Connecticut",-2.3382
"UMass",-2.6851
