"team","pirate"
"Georgia",2.49929746879895
"Alabama",2.39060899317796
"Oklahoma",1.9015108528835
"Cincinnati",1.57544542602053
"Iowa State",1.5443915758431
"Florida",1.49781080057696
"Ohio State",1.48228387548825
"Texas",1.43570310022211
"Clemson",1.39688578750033
"Ole Miss",1.3658319373229
"Texas A&M",1.27267038679063
"Penn State",1.25714346170191
"Arkansas",1.21832614898013
"Auburn",1.17174537371399
"Iowa",1.14845498608092
"Notre Dame",1.07858382318171
"USC",1.05529343554864
"West Virginia",1.05529343554864
"Oregon",1.03200304791557
"North Carolina",1.03200304791557
"LSU",0.977658810105079
"Arizona State",0.946604959927653
"Oregon State",0.93107803483894
"UCLA",0.907787647205871
"Michigan",0.907787647205871
"TCU",0.900024184661514
"Miami",0.861206871939731
"Wisconsin",0.861206871939731
"Wake Forest",0.822389559217949
"BYU",0.791335709040523
"Coastal Carolina",0.77580878395181
"Oklahoma State",0.768045321407454
"Maryland",0.768045321407454
"Utah",0.760281858863097
"NC State",0.729228008685672
"Indiana",0.729228008685672
"Baylor",0.713701083596958
"Michigan State",0.682647233419532
"Washington",0.643829920697749
"Kentucky",0.581722220342898
"Louisiana",0.550668370165471
"Mississippi State",0.519614519988046
"Missouri",0.519614519988046
"Purdue",0.511851057443689
"Nebraska",0.511851057443689
"Virginia Tech",0.488560669810619
"Kansas State",0.480797207266263
"Boise State",0.449743357088837
"Liberty",0.410926044367054
"Minnesota",0.372108731645272
"Stanford",0.364345269100916
"Boston College",0.356581806556559
"Virginia",0.255656793479924
"Army",0.216839480758142
"Louisville",0.209076018213786
"Georgia Tech",0.209076018213786
"Appalachian State",0.209076018213786
"Pittsburgh",0.201312555669429
"Tennessee",0.201312555669429
"UCF",0.193549093125073
"Texas Tech",0.139204855314577
"San Diego State",0.131441392770221
"South Carolina",0.108151005137152
"Rutgers",0.108151005137152
"Northwestern",0.100387542592795
"SMU",0.100387542592795
"Colorado",0.0693336924153692
"Fresno State",0.0693336924153692
"Houston",0.0382798422379427
"California",0.0305163796935867
"Nevada",-0.0704086333830487
"Tulane",-0.0859355584717608
"Tulsa",-0.093699021016118
"Florida State",-0.101462483560474
"Wyoming",-0.163570183915326
"Miami (OH)",-0.163570183915326
"Washington State",-0.171333646459683
"San Jose State",-0.171333646459683
"UAB",-0.179097109004039
"Air Force",-0.186860571548396
"UT San Antonio",-0.210150959181465
"Central Michigan",-0.241204809358891
"Buffalo",-0.256731734447604
"Marshall",-0.280022122080673
"Syracuse",-0.28778558462503
"Illinois",-0.334366359891169
"Toledo",-0.365420210068595
"Western Michigan",-0.380947135157309
"Memphis",-0.388710597701665
"East Carolina",-0.44305483551216
"Eastern Michigan",-0.450818298056516
"Kent State",-0.450818298056516
"Georgia State",-0.489635610778299
"Hawai'i",-0.536216386044439
"Troy",-0.668195249298498
"Duke",-0.668195249298498
"Arizona",-0.675958711842855
"South Alabama",-0.707012562020281
"Ball State",-0.722539487108994
"Colorado State",-0.722539487108994
"Florida Atlantic",-0.722539487108994
"Utah State",-0.784647187463846
"South Florida",-0.800174112552559
"Louisiana Tech",-0.885572200540481
"Western Kentucky",-0.970970288528402
"Arkansas State",-1.04084145142761
"Northern Illinois",-1.07189530160504
"Georgia Southern",-1.08742222669375
"Navy",-1.13400300195989
"Middle Tennessee",-1.13400300195989
"Ohio",-1.16505685213731
"UNLV",-1.19611070231474
"New Mexico",-1.28927225284702
"Southern Mississippi",-1.29703571539138
"Texas State",-1.35914341574623
"Vanderbilt",-1.36690687829058
"Florida International",-1.39796072846801
"Rice",-1.41348765355672
"Charlotte",-1.42901457864544
"Kansas",-1.48335881645593
"Temple",-1.49888574154464
"North Texas",-1.55322997935514
"Louisiana Monroe",-1.66968191752049
"UTEP",-1.70849923024227
"Bowling Green",-1.82495116840762
"Akron",-1.89482233130683
"Old Dominion",-1.94916656911732
"UMass",-2.19759737053673
"Connecticut",-2.24417814580287
"New Mexico State",-2.36063008396822
