"team","pirate"
"Alabama",2.35178744385242
"Georgia",2.18436293821649
"Oklahoma",1.91800577015933
"Iowa State",1.6592588069038
"Cincinnati",1.5451057348793
"Clemson",1.46139348206133
"Florida",1.43856286765643
"Ohio State",1.4309526628548
"Texas A&M",1.37768122924336
"North Carolina",1.37768122924336
"Auburn",1.34724041003683
"Ole Miss",1.3396302052352
"USC",1.33202000043356
"Iowa",1.32440979563193
"Penn State",1.26352815721887
"Texas",1.24069754281397
"Wisconsin",1.11893426598783
"TCU",1.09610365158293
"Oregon",1.0428322179715
"Arkansas",0.989560784360068
"LSU",0.966730169955168
"West Virginia",0.959119965153534
"Michigan",0.921068941145368
"BYU",0.844966893129035
"Arizona State",0.837356688327402
"Indiana",0.837356688327402
"UCLA",0.822136278724135
"Miami",0.768864845112702
"Utah",0.768864845112702
"Notre Dame",0.73842402590617
"Minnesota",0.723203616302903
"Oklahoma State",0.723203616302903
"Washington",0.71559341150127
"Maryland",0.707983206699636
"Michigan State",0.69276279709637
"Coastal Carolina",0.66993218269147
"NC State",0.64710156828657
"Wake Forest",0.631881158683304
"Louisiana",0.616660749080037
"Baylor",0.593830134675137
"Oregon State",0.570999520270238
"Kentucky",0.555779110666971
"Purdue",0.548168905865338
"Virginia Tech",0.540558701063704
"Kansas State",0.525338291460438
"Mississippi State",0.502507677055538
"Missouri",0.502507677055538
"Liberty",0.479677062650638
"Nebraska",0.472066857849005
"Stanford",0.426405629039205
"Virginia",0.395964809832673
"Boston College",0.357913785824506
"Boise State",0.327472966617973
"Texas Tech",0.266591328204907
"Appalachian State",0.22854030419674
"Tennessee",0.220930099395108
"UCF",0.190489280188574
"Colorado",0.182879075386941
"Army",0.175268870585307
"Louisville",0.167658665783674
"Fresno State",0.144828051378775
"Houston",0.129607641775508
"South Carolina",0.121997436973874
"Pittsburgh",0.121997436973874
"San Diego State",0.114387232172241
"Rutgers",0.0535055937591753
"San Jose State",0.0382851841559085
"Wyoming",0.0382851841559085
"Northwestern",0.00784436494937502
"Tulane",0.000234160147742183
"Florida State",-0.0378168638604242
"California",-0.0530372734636909
"Tulsa",-0.0682576830669577
"Central Michigan",-0.0682576830669577
"Nevada",-0.0682576830669577
"Georgia Tech",-0.0910882974718573
"Miami (OH)",-0.129139321480024
"Buffalo",-0.159580140686556
"Washington State",-0.19002095989309
"SMU",-0.228071983901256
"UT San Antonio",-0.235682188702889
"UAB",-0.25851280310779
"Marshall",-0.304174031917589
"Air Force",-0.327004646322488
"Troy",-0.334614851124122
"Memphis",-0.357445465529022
"East Carolina",-0.357445465529022
"Syracuse",-0.357445465529022
"Illinois",-0.403106694338821
"Kent State",-0.441157718346987
"Toledo",-0.456378127950254
"Hawai'i",-0.524869971164954
"Florida Atlantic",-0.56292099517312
"Western Michigan",-0.600972019181287
"Ball State",-0.60858222398292
"Georgia State",-0.631412838387819
"Utah State",-0.661853657594353
"Eastern Michigan",-0.692294476800885
"Arizona",-0.692294476800885
"South Alabama",-0.692294476800885
"Duke",-0.730345500809052
"Colorado State",-0.836888368031918
"Louisiana Tech",-0.836888368031918
"South Florida",-0.890159801643351
"Ohio",-1.01192307846948
"Vanderbilt",-1.01953328327112
"Arkansas State",-1.04236389767602
"Western Kentucky",-1.04997410247765
"Middle Tennessee",-1.06519451208092
"Northern Illinois",-1.06519451208092
"Texas State",-1.08041492168418
"Georgia Southern",-1.12607615049398
"New Mexico",-1.15651696970052
"Navy",-1.17173737930378
"UNLV",-1.27067004172501
"Southern Mississippi",-1.27828024652665
"Kansas",-1.36199249934461
"Rice",-1.36960270414625
"Charlotte",-1.45331495696421
"Temple",-1.48375577617075
"Florida International",-1.52180680017891
"North Texas",-1.54463741458381
"UTEP",-1.78055376343444
"Akron",-1.83382519704588
"Louisiana Monroe",-1.87187622105404
"UMass",-2.06213134109487
"Bowling Green",-2.06974154589651
"Old Dominion",-2.06974154589651
"New Mexico State",-2.31326809954877
"Connecticut",-2.47308240038307
