"team","pirate"
"Georgia",2.62735001765893
"Alabama",2.38570654142667
"Ohio State",2.33284703100086
"Oklahoma",1.60036524367184
"Iowa State",1.56260845051055
"Cincinnati",1.52485165734926
"Texas A&M",1.40402991923313
"Auburn",1.31341361564604
"Ole Miss",1.29831089838152
"Florida",1.29075953974926
"Iowa",1.22279731205894
"Texas",1.21524595342668
"Michigan",1.12462964983959
"Notre Dame",1.11707829120733
"Penn State",1.0868728566783
"Clemson",1.07177013941378
"Arizona State",1.05666742214927
"Utah",1.02646198762023
"Oklahoma State",1.01891062898798
"Arkansas",0.981153835826688
"Kentucky",0.97360247719443
"Oregon",0.93584568403314
"Baylor",0.913191608136365
"USC",0.875434814975076
"Wisconsin",0.860332097710561
"Oregon State",0.852780739078302
"West Virginia",0.852780739078302
"NC State",0.837678021813786
"Coastal Carolina",0.815023945917012
"TCU",0.799921228652496
"Pittsburgh",0.784818511387981
"Michigan State",0.777267152755722
"North Carolina",0.777267152755722
"LSU",0.769715794123465
"Nebraska",0.754613076858949
"Wake Forest",0.754613076858949
"UCLA",0.747061718226691
"Miami",0.739510359594432
"Tennessee",0.663996773271853
"Mississippi State",0.633791338742821
"Minnesota",0.611137262846047
"BYU",0.573380469684757
"Louisiana",0.550726393787983
"Kansas State",0.543175035155726
"Virginia",0.52807231789121
"Washington",0.505418241994436
"Purdue",0.467661448833146
"Stanford",0.369493786613793
"Florida State",0.346839710717018
"Louisville",0.33928835208476
"SMU",0.331736993452503
"Appalachian State",0.316634276187987
"Houston",0.30153155892347
"Boise State",0.271326124394438
"Texas Tech",0.226017972600891
"San Diego State",0.218466613968633
"Virginia Tech",0.180709820807343
"Indiana",0.180709820807343
"Fresno State",0.165607103542827
"Liberty",0.135401669013795
"California",0.135401669013795
"Maryland",0.135401669013795
"Nevada",0.127850310381537
"Boston College",0.127850310381537
"Washington State",0.120298951749279
"UT San Antonio",0.120298951749279
"Air Force",0.0825421585879889
"Missouri",0.029682648162184
"Georgia Tech",0.029682648162184
"Army",0.00702857226540922
"Syracuse",-0.0156255036313645
"UCF",-0.0382795795281382
"East Carolina",-0.10624180721846
"Colorado",-0.10624180721846
"Northwestern",-0.166652676276524
"Miami (OH)",-0.166652676276524
"Toledo",-0.189306752173298
"South Carolina",-0.21951218670233
"Illinois",-0.25726897986362
"UAB",-0.279923055760393
"Ball State",-0.279923055760393
"Rutgers",-0.287474414392651
"Tulsa",-0.340333924818457
"Buffalo",-0.347885283450714
"Florida Atlantic",-0.378090717979747
"Colorado State",-0.393193435244263
"Eastern Michigan",-0.408296152508779
"Western Michigan",-0.415847511141037
"Central Michigan",-0.430950228405553
"Marshall",-0.43850158703781
"San Jose State",-0.453604304302326
"Georgia State",-0.468707021566843
"Memphis",-0.506463814728132
"Tulane",-0.521566531992649
"Hawai'i",-0.544220607889422
"Troy",-0.62728555284426
"Kent State",-0.657490987373292
"South Alabama",-0.687696421902323
"Utah State",-0.702799139166839
"Wyoming",-0.717901856431355
"Northern Illinois",-0.770761366857161
"Western Kentucky",-0.778312725489419
"Arizona",-0.808518160018451
"South Florida",-0.823620877282967
"Navy",-0.853826311811999
"Middle Tennessee",-0.861377670444257
"Duke",-0.944442615399094
"Ohio",-1.03505891898619
"Georgia Southern",-1.04261027761845
"Louisiana Tech",-1.11812386394103
"UNLV",-1.12567522257329
"Arkansas State",-1.14832929847006
"UTEP",-1.24649696068941
"Texas State",-1.25404831932167
"New Mexico",-1.32956190564425
"Rice",-1.3748700574378
"Kansas",-1.40507549196683
"Charlotte",-1.4277295678636
"Temple",-1.4277295678636
"North Texas",-1.48814043692167
"Louisiana Monroe",-1.48814043692167
"Vanderbilt",-1.57120538187651
"Southern Mississippi",-1.64671896819909
"Florida International",-1.69957847862489
"Old Dominion",-1.87325972716682
"Akron",-1.91856787896037
"Bowling Green",-1.99408146528295
"New Mexico State",-2.11490320339908
"UMass",-2.34144396236682
"Connecticut",-2.39430347279262
