"team","pirate"
"Georgia",2.66233778266729
"Alabama",2.21353383548036
"Ohio State",2.00054213173063
"Oklahoma",1.84079835391833
"Cincinnati",1.67344772954355
"Iowa State",1.58216557079366
"Iowa",1.48327656548129
"Texas",1.43002863954386
"Florida",1.40720809985638
"Clemson",1.33113963423148
"Ole Miss",1.28549855485654
"Penn State",1.28549855485654
"Texas A&M",1.2398574754816
"Auburn",1.18660954954416
"Arizona State",1.1561821632942
"Arkansas",1.08772054423179
"Michigan",1.07250685110681
"Notre Dame",1.01925892516938
"TCU",0.988831538919416
"Utah",0.981224692356926
"Oregon",0.973617845794435
"USC",0.943190459544475
"Coastal Carolina",0.927976766419494
"Kentucky",0.897549380169532
"Baylor",0.867121993919571
"Oklahoma State",0.83669460766961
"Nebraska",0.791053528294668
"North Carolina",0.760626142044706
"Oregon State",0.753019295482217
"Miami",0.745412448919726
"UCLA",0.737805602357236
"Wisconsin",0.737805602357236
"Michigan State",0.722591909232255
"LSU",0.707378216107274
"West Virginia",0.684557676419803
"Wake Forest",0.684557676419803
"Tennessee",0.684557676419803
"Washington",0.676950829857313
"Mississippi State",0.661737136732332
"NC State",0.631309750482371
"BYU",0.60088236423241
"Indiana",0.593275517669919
"Liberty",0.562848131419958
"Kansas State",0.555241284857467
"Virginia Tech",0.509600205482526
"Louisiana",0.486779665795055
"Minnesota",0.471565972670074
"Pittsburgh",0.441138586420113
"Boston College",0.441138586420113
"Purdue",0.403104353607661
"Appalachian State",0.403104353607661
"Boise State",0.395497507045171
"Stanford",0.3726769673577
"Virginia",0.357463274232719
"Houston",0.319429041420268
"Maryland",0.228146882670384
"Louisville",0.212933189545403
"SMU",0.167292110170461
"San Diego State",0.15207841704548
"Texas Tech",0.136864723920499
"Washington State",0.121651030795519
"Florida State",0.114044184233029
"Nevada",0.0988304911080478
"Missouri",0.0607962582955962
"Fresno State",0.0455825651706153
"Air Force",0.0379757186081254
"Army",0.0303688720456355
"UCF",0.0151551789206547
"Georgia Tech",-0.0152722073293071
"Colorado",-0.022879053891797
"South Carolina",-0.0533064401417587
"California",-0.121768059204171
"Miami (OH)",-0.144588598891643
"East Carolina",-0.159802292016623
"Wyoming",-0.175015985141604
"Rutgers",-0.182622831704094
"Syracuse",-0.205443371391565
"Northwestern",-0.220657064516546
"UAB",-0.228263911079036
"UT San Antonio",-0.243477604204017
"Ball State",-0.281511837016469
"Central Michigan",-0.31954606982892
"Toledo",-0.334759762953901
"Tulsa",-0.357580302641372
"Tulane",-0.395614535453823
"Kent State",-0.418435075141294
"Hawai'i",-0.471683001078727
"Buffalo",-0.471683001078727
"Georgia State",-0.486896694203708
"San Jose State",-0.486896694203708
"Illinois",-0.494503540766197
"Eastern Michigan",-0.502110387328687
"Western Michigan",-0.517324080453668
"Memphis",-0.524930927016159
"Colorado State",-0.532537773578649
"Florida Atlantic",-0.562965159828611
"Marshall",-0.608606239203552
"Troy",-0.631426778891023
"South Alabama",-0.654247318578494
"Arizona",-0.677067858265966
"Duke",-0.730315784203397
"Utah State",-0.730315784203397
"Louisiana Tech",-0.78356371014083
"Northern Illinois",-0.852025329203243
"South Florida",-0.852025329203243
"Georgia Southern",-0.882452715453204
"Western Kentucky",-0.920486948265655
"Navy",-0.996555413890559
"Middle Tennessee",-1.02698280014052
"Ohio",-1.05741018639048
"UNLV",-1.1182649588904
"Arkansas State",-1.25518819701523
"Texas State",-1.28561558326519
"Charlotte",-1.28561558326519
"Rice",-1.34647035576511
"Temple",-1.40732512826504
"North Texas",-1.41493197482753
"Vanderbilt",-1.45296620763998
"New Mexico",-1.45296620763998
"Southern Mississippi",-1.47578674732745
"UTEP",-1.49860728701492
"Kansas",-1.50621413357741
"Florida International",-1.69638529763967
"Old Dominion",-1.79527430295204
"Akron",-1.81809484263951
"Bowling Green",-1.91698384795189
"Louisiana Monroe",-1.93980438763936
"New Mexico State",-2.20604401732652
"UMass",-2.20604401732652
"Connecticut",-2.27450563638893
