"team","pirate"
"Georgia",2.60329443907859
"Alabama",2.36937522861066
"Ohio State",2.00717774143451
"Oklahoma",1.86380790276061
"Cincinnati",1.75062118801807
"Iowa State",1.58461400639566
"Texas A&M",1.31296589101355
"Penn State",1.29787432904788
"Auburn",1.29032854806504
"Ole Miss",1.27523698609937
"Florida",1.26769120511653
"Clemson",1.22241651921951
"Iowa",1.199779176271
"Texas",1.19223339528816
"Utah",1.10922980447696
"Michigan",1.08659246152845
"Arizona State",1.0337719946486
"Notre Dame",1.0337719946486
"Oklahoma State",0.98849730875158
"Arkansas",0.96585996580307
"USC",0.958314184820234
"Kentucky",0.950768403837397
"TCU",0.943222622854561
"Coastal Carolina",0.943222622854561
"Oregon",0.905493717940379
"Baylor",0.890402155974706
"NC State",0.830035908112014
"LSU",0.799852784180667
"UCLA",0.777215441232158
"Oregon State",0.769669660249322
"Michigan State",0.754578098283649
"North Carolina",0.754578098283649
"Miami",0.739486536317976
"Nebraska",0.73194075533514
"West Virginia",0.701757631403793
"Wake Forest",0.701757631403793
"Wisconsin",0.701757631403793
"Tennessee",0.679120288455284
"Louisiana",0.671574507472448
"Pittsburgh",0.656482945506775
"Washington",0.626299821575428
"Purdue",0.618754040592592
"BYU",0.565933573712737
"Indiana",0.550842011747063
"Virginia",0.550842011747063
"Kansas State",0.53575044978139
"Minnesota",0.520658887815718
"Mississippi State",0.482929982901536
"Stanford",0.347105925210478
"Houston",0.339560144227642
"Virginia Tech",0.324468582261969
"Liberty",0.256556553416441
"Boise State",0.256556553416441
"Boston College",0.249010772433604
"Maryland",0.249010772433604
"Louisville",0.233919210467931
"Texas Tech",0.233919210467931
"Appalachian State",0.211281867519421
"SMU",0.188644524570912
"Fresno State",0.181098743588076
"Washington State",0.143369838673894
"Air Force",0.135824057691057
"Florida State",0.135824057691057
"San Diego State",0.128278276708221
"Colorado",0.120732495725383
"Nevada",0.113186714742547
"Army",0.0528204668798556
"Georgia Tech",0.00754578098283606
"Missouri",0.00754578098283606
"UT San Antonio",-0.0528204668798556
"California",-0.0603662478626917
"UAB",-0.0679120288455288
"UCF",-0.0830035908112009
"Northwestern",-0.128278276708221
"Syracuse",-0.135824057691057
"East Carolina",-0.143369838673894
"South Carolina",-0.15091561965673
"Miami (OH)",-0.218827648502259
"Ball State",-0.226373429485095
"Western Michigan",-0.286739677347786
"Rutgers",-0.309377020296296
"Toledo",-0.324468582261969
"Central Michigan",-0.332014363244806
"Wyoming",-0.339560144227642
"Tulsa",-0.354651706193315
"Colorado State",-0.369743268158988
"Tulane",-0.377289049141824
"San Jose State",-0.460292639953025
"Marshall",-0.460292639953025
"Georgia State",-0.467838420935863
"Memphis",-0.467838420935863
"Illinois",-0.467838420935863
"Hawai'i",-0.482929982901536
"South Alabama",-0.505567325850045
"Eastern Michigan",-0.528204668798554
"Buffalo",-0.528204668798554
"Florida Atlantic",-0.543296230764227
"Troy",-0.641391383541102
"Kent State",-0.694211850420957
"Utah State",-0.716849193369466
"Western Kentucky",-0.807398565163505
"South Florida",-0.867764813026196
"Arizona",-0.867764813026196
"Northern Illinois",-0.890402155974706
"Louisiana Tech",-0.950768403837397
"Duke",-0.96585996580307
"Ohio",-0.98849730875158
"Middle Tennessee",-1.00358887071725
"Navy",-1.04886355661427
"Georgia Southern",-1.05640933759711
"UNLV",-1.1167755854598
"Arkansas State",-1.22996230020235
"Texas State",-1.25259964315086
"UTEP",-1.26014542413369
"Charlotte",-1.26014542413369
"Vanderbilt",-1.38087791985908
"Temple",-1.38087791985908
"Rice",-1.56197666344715
"North Texas",-1.56952244442999
"Kansas",-1.5921597873785
"New Mexico",-1.5921597873785
"Southern Mississippi",-1.66007181622403
"Florida International",-1.66761759720686
"Louisiana Monroe",-1.69780072113821
"Akron",-1.73552962605239
"Bowling Green",-1.87135368374345
"Old Dominion",-1.88644524570912
"New Mexico State",-2.17318492305691
"UMass",-2.17318492305691
"Connecticut",-2.24864273288527
