"team","pirate"
"Alabama",2.49810745068322
"Georgia",2.20422645415114
"Oklahoma",2.04181853501499
"Clemson",1.67833414456742
"Iowa State",1.59326332978181
"Ohio State",1.50819251499621
"Cincinnati",1.48499138369105
"Auburn",1.4076542793405
"Texas A&M",1.37671943760028
"North Carolina",1.36898572716523
"Iowa",1.36125201673017
"Florida",1.29938233324973
"Penn State",1.2375126497693
"USC",1.21431151846413
"Wisconsin",1.13697441411359
"TCU",1.11377328280842
"Ole Miss",1.0828384410682
"Texas",1.0828384410682
"Oregon",1.04416988889293
"Miami",1.03643617845787
"UCLA",1.00550133671765
"West Virginia",0.9977676262826
"Indiana",0.959099074107326
"Arkansas",0.951365363672271
"Arizona State",0.904963101061943
"LSU",0.881761969756779
"Utah",0.812158575841286
"BYU",0.796691154971176
"Maryland",0.742555181925793
"Oklahoma State",0.734821471490739
"Coastal Carolina",0.703886629750519
"Michigan",0.665218077575246
"Purdue",0.665218077575246
"Notre Dame",0.642016946270082
"NC State",0.626549525399972
"Kentucky",0.618815814964918
"Mississippi State",0.618815814964918
"Louisiana",0.533745000179316
"Virginia Tech",0.533745000179316
"Wake Forest",0.526011289744261
"Liberty",0.526011289744261
"Oregon State",0.487342737568987
"Missouri",0.479609027133933
"Colorado",0.479609027133933
"Michigan State",0.471875316698877
"Minnesota",0.464141606263823
"Washington",0.433206764523604
"Virginia",0.433206764523604
"Kansas State",0.417739343653495
"Nebraska",0.41000563321844
"Stanford",0.39453821234833
"Baylor",0.379070791478221
"Boston College",0.371337081043166
"Boise State",0.332668528867892
"UCF",0.309467397562728
"Pittsburgh",0.255331424517345
"Texas Tech",0.224396582777127
"Tulane",0.224396582777127
"Appalachian State",0.216662872342071
"Northwestern",0.193461741036907
"Tennessee",0.185728030601853
"Army",0.162526899296688
"Louisville",0.13159205755647
"South Carolina",0.11612463668636
"Florida State",0.10065721581625
"Houston",0.0929235053811961
"San Diego State",0.0851897949461407
"Nevada",0.0465212427708671
"Rutgers",0.0310538219007585
"San Jose State",0.0310538219007585
"Central Michigan",0.0310538219007585
"Washington State",-0.0308158615796803
"California",-0.0308158615796803
"Fresno State",-0.0540169928848442
"Tulsa",-0.123620386800336
"Toledo",-0.131354097235392
"Miami (OH)",-0.16228893897561
"Buffalo",-0.185490070280775
"Wyoming",-0.200957491150884
"SMU",-0.216424912020993
"Air Force",-0.231892332891103
"UT San Antonio",-0.239626043326157
"Georgia Tech",-0.247359753761213
"Marshall",-0.255093464196267
"Troy",-0.355631699851978
"Ball State",-0.363365410287034
"Syracuse",-0.394300252027252
"East Carolina",-0.417501383332417
"Illinois",-0.425235093767471
"UAB",-0.448436225072635
"Kent State",-0.463903645942745
"Memphis",-0.487104777247909
"Hawai'i",-0.533507039858238
"Florida Atlantic",-0.579909302468566
"Arizona",-0.60311043377373
"Georgia State",-0.641778985949004
"South Alabama",-0.664980117254168
"Eastern Michigan",-0.695914958994387
"Arkansas State",-0.76551835290988
"Utah State",-0.788719484215044
"Western Michigan",-0.796453194650098
"Northern Illinois",-0.858322878130536
"Louisiana Tech",-0.873790299000646
"Duke",-0.889257719870755
"Ohio",-0.904725140740865
"South Florida",-0.912458851175919
"Texas State",-0.943393692916139
"Vanderbilt",-1.00526337639658
"Western Kentucky",-1.06713305987701
"Middle Tennessee",-1.07486677031207
"Georgia Southern",-1.09033419118218
"Colorado State",-1.13673645379251
"Rice",-1.17540500596778
"New Mexico",-1.17540500596778
"UNLV",-1.18313871640283
"Navy",-1.19087242683789
"Kansas",-1.19860613727294
"Southern Mississippi",-1.28367695205855
"North Texas",-1.36101405640909
"Charlotte",-1.47701971293491
"Florida International",-1.50022084424008
"Temple",-1.51568826511019
"UTEP",-1.80956926164227
"Louisiana Monroe",-1.88690636599282
"Akron",-1.91784120773303
"UMass",-2.10345025817435
"Bowling Green",-2.13438509991457
"Old Dominion",-2.14211881034962
"New Mexico State",-2.36639641296621
"Connecticut",-2.49786949036214
