"team","statfox"
"Alabama",2.8004
"Georgia",2.1199
"Ohio State",2.0443
"Oklahoma",1.9687
"Clemson",1.8175
"Iowa",1.7419
"Florida",1.515
"Texas",1.4394
"Texas A&M",1.4394
"Penn State",1.2882
"Cincinnati",1.2882
"Iowa State",1.2882
"North Carolina",1.2126
"Ole Miss",1.2126
"Oregon",1.137
"Notre Dame",1.137
"Wisconsin",1.137
"LSU",1.137
"Michigan",1.137
"Auburn",1.137
"BYU",1.137
"Indiana",0.8346
"USC",0.8346
"TCU",0.8346
"Minnesota",0.759
"Baylor",0.6834
"Oklahoma State",0.6834
"Utah",0.6834
"UCF",0.6834
"Washington",0.6834
"Nebraska",0.6078
"Boise State",0.5322
"Arizona State",0.5322
"Arkansas",0.5322
"Louisville",0.4565
"Michigan State",0.4565
"UCLA",0.4565
"Virginia",0.4565
"Virginia Tech",0.4565
"Tulane",0.3809
"West Virginia",0.3809
"Wake Forest",0.3809
"Stanford",0.3809
"Tennessee",0.3809
"Louisiana",0.3809
"Appalachian State",0.3809
"Boston College",0.3809
"Coastal Carolina",0.3809
"Buffalo",0.3053
"Liberty",0.3053
"Kentucky",0.3053
"Missouri",0.3053
"Northwestern",0.3053
"Pittsburgh",0.3053
"Purdue",0.2297
"Tulsa",0.2297
"NC State",0.2297
"Memphis",0.2297
"Miami",0.2297
"Houston",0.2297
"Fresno State",0.2297
"Air Force",0.1541
"Mississippi State",0.1541
"Rutgers",0.1541
"South Carolina",0.1541
"San Diego State",0.1541
"SMU",0.1541
"Oregon State",0.0785
"Marshall",0.0785
"Maryland",0.0785
"Kansas State",0.0785
"Army",0.0785
"California",0.0029
"Wyoming",0.0029
"UAB",-0.0727
"Texas Tech",-0.0727
"Florida Atlantic",-0.0727
"East Carolina",-0.1483
"UT San Antonio",-0.1483
"Nevada",-0.1483
"Syracuse",-0.1483
"San Jose State",-0.2239
"Troy",-0.2239
"Washington State",-0.2239
"Kent State",-0.2239
"Georgia Tech",-0.2239
"Colorado",-0.2995
"Western Michigan",-0.2995
"Western Kentucky",-0.4507
"Toledo",-0.4507
"Central Michigan",-0.4507
"Ball State",-0.4507
"Duke",-0.5263
"Illinois",-0.5263
"Miami (OH)",-0.5263
"Florida State",-0.6019
"Utah State",-0.6019
"Georgia Southern",-0.6776
"Eastern Michigan",-0.6776
"Hawai'i",-0.6776
"Navy",-0.7532
"Colorado State",-0.7532
"Ohio",-0.7532
"Charlotte",-0.8288
"Georgia State",-0.8288
"Louisiana Tech",-0.9044
"Middle Tennessee",-0.9044
"Arizona",-0.98
"Southern Mississippi",-0.98
"South Florida",-1.1312
"New Mexico",-1.1312
"Vanderbilt",-1.1312
"Arkansas State",-1.1312
"Northern Illinois",-1.2824
"Rice",-1.2824
"South Alabama",-1.2824
"Temple",-1.2824
"Texas State",-1.4336
"Old Dominion",-1.4336
"North Texas",-1.4336
"Florida International",-1.4336
"Kansas",-1.5092
"UTEP",-1.5092
"UNLV",-1.6604
"New Mexico State",-1.8873
"Louisiana Monroe",-2.1897
"Akron",-2.1897
"Bowling Green",-2.3409
"Connecticut",-2.4921
"UMass",-2.4921
