"team","statfox"
"Ohio State",2.629
"Georgia",2.4745
"Alabama",2.32
"Notre Dame",1.7794
"Oklahoma State",1.6249
"Cincinnati",1.5477
"Michigan",1.5477
"Utah",1.3932
"Wisconsin",1.3932
"Oklahoma",1.316
"Texas A&M",1.316
"Penn State",1.2387
"Iowa State",1.2387
"Clemson",1.1615
"Baylor",1.1615
"Iowa",1.007
"Pittsburgh",1.007
"Ole Miss",1.007
"Tennessee",0.9298
"Louisville",0.9298
"Auburn",0.9298
"Arkansas",0.9298
"NC State",0.8526
"UCLA",0.8526
"Nebraska",0.7753
"Mississippi State",0.7753
"LSU",0.7753
"Louisiana",0.7753
"BYU",0.7753
"Boise State",0.6981
"Appalachian State",0.6981
"Minnesota",0.6981
"Wake Forest",0.6981
"Texas",0.6981
"Oregon",0.6981
"Kentucky",0.6209
"Houston",0.6209
"Florida",0.6209
"Arizona State",0.5436
"Purdue",0.5436
"North Carolina",0.5436
"SMU",0.5436
"Oregon State",0.4664
"Kansas State",0.4664
"Michigan State",0.4664
"Miami",0.4664
"Washington",0.3891
"Washington State",0.3891
"West Virginia",0.3891
"Virginia",0.3891
"UCF",0.3119
"Western Kentucky",0.3119
"Air Force",0.3119
"California",0.3119
"Coastal Carolina",0.2347
"Boston College",0.1574
"Marshall",0.1574
"Virginia Tech",0.1574
"San Diego State",0.1574
"South Carolina",0.1574
"UT San Antonio",0.0802
"Tulsa",0.0802
"UAB",0.0802
"Nevada",0.0802
"Florida State",0.0802
"East Carolina",0.0802
"Fresno State",0.003
"Memphis",0.003
"Illinois",0.003
"Texas Tech",0.003
"USC",0.003
"Toledo",-0.0743
"Tulane",-0.0743
"TCU",-0.0743
"Liberty",-0.0743
"Missouri",-0.0743
"Central Michigan",-0.0743
"Army",-0.0743
"Miami (OH)",-0.1515
"Rutgers",-0.1515
"Northwestern",-0.1515
"Wyoming",-0.1515
"Syracuse",-0.2287
"Indiana",-0.2287
"Western Michigan",-0.306
"Georgia State",-0.3832
"Colorado",-0.3832
"Colorado State",-0.4604
"Eastern Michigan",-0.4604
"Kent State",-0.4604
"Maryland",-0.4604
"Utah State",-0.4604
"Navy",-0.4604
"Stanford",-0.5377
"Georgia Tech",-0.5377
"Ball State",-0.5377
"Florida Atlantic",-0.6922
"Middle Tennessee",-0.6922
"Buffalo",-0.7694
"Arizona",-0.7694
"Ohio",-0.7694
"Old Dominion",-0.7694
"North Texas",-0.8466
"Troy",-0.8466
"Hawai'i",-0.8466
"Georgia Southern",-0.9239
"South Florida",-0.9239
"San Jose State",-0.9239
"Northern Illinois",-1.0011
"UTEP",-1.0011
"UNLV",-1.0783
"South Alabama",-1.0783
"Kansas",-1.0783
"Charlotte",-1.2328
"Vanderbilt",-1.2328
"Southern Mississippi",-1.31
"Duke",-1.31
"Arkansas State",-1.31
"Louisiana Tech",-1.31
"Rice",-1.3873
"New Mexico",-1.4645
"Louisiana Monroe",-1.5417
"Texas State",-1.619
"Temple",-1.6962
"New Mexico State",-1.8507
"Akron",-2.0824
"Bowling Green",-2.0824
"Connecticut",-2.3141
"Florida International",-2.4686
"UMass",-2.623
