"team","statfox"
"Alabama",2.7992
"Georgia",2.4882
"Ohio State",2.3327
"Cincinnati",1.7884
"Oklahoma",1.7106
"Iowa",1.3996
"Iowa State",1.3996
"Michigan",1.3219
"Clemson",1.3219
"Florida",1.3219
"Penn State",1.3219
"Texas",1.3219
"Texas A&M",1.3219
"Notre Dame",1.2441
"Ole Miss",1.1664
"Auburn",1.1664
"Pittsburgh",1.0886
"Oklahoma State",0.9331
"Utah",0.9331
"Baylor",0.9331
"LSU",0.9331
"Kentucky",0.8553
"Arizona State",0.8553
"Oregon",0.8553
"Nebraska",0.8553
"Tennessee",0.7776
"TCU",0.7776
"Virginia",0.6998
"Wisconsin",0.6998
"BYU",0.6998
"Coastal Carolina",0.6998
"Michigan State",0.6998
"North Carolina",0.6998
"NC State",0.6221
"Minnesota",0.6221
"Houston",0.6221
"Arkansas",0.6221
"Wake Forest",0.6221
"Washington",0.5443
"USC",0.5443
"UCLA",0.5443
"Indiana",0.5443
"Louisiana",0.4665
"Miami",0.4665
"Air Force",0.4665
"Boise State",0.4665
"Louisville",0.3888
"SMU",0.3888
"Purdue",0.3888
"Oregon State",0.311
"Stanford",0.311
"UCF",0.311
"West Virginia",0.311
"Liberty",0.311
"Mississippi State",0.2333
"Boston College",0.2333
"Appalachian State",0.2333
"UAB",0.2333
"Virginia Tech",0.1555
"San Diego State",0.1555
"Northwestern",0.1555
"Kansas State",0.1555
"Memphis",0.0778
"Fresno State",0.0778
"Nevada",0.0778
"UT San Antonio",0.0778
"Washington State",0.0778
"Western Michigan",0
"Syracuse",0
"Army",0
"Marshall",0
"East Carolina",-0.0778
"Texas Tech",-0.0778
"Tulane",-0.1555
"Rutgers",-0.1555
"California",-0.1555
"Colorado State",-0.1555
"Buffalo",-0.1555
"Ball State",-0.1555
"Missouri",-0.1555
"Maryland",-0.2333
"Georgia Tech",-0.2333
"Florida Atlantic",-0.2333
"South Carolina",-0.2333
"Tulsa",-0.2333
"Western Kentucky",-0.311
"Florida State",-0.311
"Colorado",-0.311
"Toledo",-0.3888
"Wyoming",-0.3888
"Eastern Michigan",-0.5443
"Hawai'i",-0.5443
"Miami (OH)",-0.5443
"Navy",-0.6221
"Georgia State",-0.6221
"Illinois",-0.6221
"Central Michigan",-0.6221
"Troy",-0.6221
"Utah State",-0.6998
"San Jose State",-0.6998
"Kent State",-0.6998
"Charlotte",-0.7776
"Ohio",-0.7776
"South Alabama",-0.8553
"Georgia Southern",-0.8553
"Middle Tennessee",-0.8553
"Louisiana Tech",-0.9331
"Duke",-0.9331
"South Florida",-0.9331
"Northern Illinois",-1.0108
"Temple",-1.0886
"UTEP",-1.0886
"Arizona",-1.1664
"Arkansas State",-1.2441
"Vanderbilt",-1.3219
"UNLV",-1.3219
"Old Dominion",-1.3219
"Southern Mississippi",-1.4774
"Rice",-1.5551
"North Texas",-1.5551
"New Mexico",-1.5551
"Texas State",-1.6329
"Florida International",-1.6329
"Kansas",-1.7106
"Akron",-1.8662
"New Mexico State",-1.8662
"Louisiana Monroe",-2.0217
"Bowling Green",-2.0994
"Connecticut",-2.2549
"UMass",-2.566
