"team","statfox"
"Alabama",2.6479
"Georgia",2.57
"Ohio State",2.3364
"Oklahoma",1.7135
"Iowa",1.7135
"Cincinnati",1.6357
"Texas",1.5578
"Clemson",1.48
"Florida",1.4021
"Iowa State",1.4021
"Michigan",1.3242
"Penn State",1.3242
"Texas A&M",1.2464
"Notre Dame",1.2464
"Ole Miss",1.1685
"Auburn",1.0128
"Arizona State",0.9349
"Oregon",0.9349
"Pittsburgh",0.9349
"Nebraska",0.9349
"Utah",0.8571
"Baylor",0.8571
"LSU",0.8571
"Kentucky",0.7792
"BYU",0.7792
"Arkansas",0.7792
"Wisconsin",0.7792
"Tennessee",0.7792
"TCU",0.7792
"Oklahoma State",0.7013
"Washington",0.7013
"Coastal Carolina",0.7013
"North Carolina",0.7013
"Michigan State",0.6235
"Liberty",0.6235
"Houston",0.6235
"Indiana",0.6235
"Wake Forest",0.6235
"USC",0.5456
"Minnesota",0.5456
"Boise State",0.5456
"Boston College",0.5456
"Appalachian State",0.4678
"Miami",0.4678
"UCF",0.4678
"UCLA",0.3899
"Virginia",0.3899
"SMU",0.3899
"Louisville",0.3899
"Mississippi State",0.3899
"Air Force",0.3899
"NC State",0.312
"Stanford",0.312
"Oregon State",0.312
"Virginia Tech",0.312
"West Virginia",0.312
"Louisiana",0.2342
"Kansas State",0.1563
"San Diego State",0.1563
"Purdue",0.0785
"Nevada",0.0785
"Northwestern",0.0785
"Washington State",0.0785
"UAB",6e-04
"South Carolina",6e-04
"Memphis",6e-04
"Missouri",-0.0773
"Army",-0.0773
"Buffalo",-0.0773
"Fresno State",-0.0773
"East Carolina",-0.0773
"Rutgers",-0.0773
"Syracuse",-0.1551
"Texas Tech",-0.1551
"Tulane",-0.1551
"UT San Antonio",-0.1551
"Ball State",-0.1551
"Marshall",-0.1551
"Maryland",-0.233
"Georgia Tech",-0.233
"Florida Atlantic",-0.233
"California",-0.233
"Tulsa",-0.233
"Wyoming",-0.233
"Western Michigan",-0.3108
"Florida State",-0.3108
"Colorado State",-0.3887
"Kent State",-0.3887
"Toledo",-0.3887
"Western Kentucky",-0.4666
"Miami (OH)",-0.4666
"Navy",-0.5444
"Hawai'i",-0.5444
"Colorado",-0.5444
"Georgia Southern",-0.5444
"Eastern Michigan",-0.5444
"Troy",-0.5444
"Central Michigan",-0.6223
"Georgia State",-0.6223
"Duke",-0.6223
"Illinois",-0.6223
"Utah State",-0.7001
"San Jose State",-0.7001
"Louisiana Tech",-0.778
"Charlotte",-0.778
"Middle Tennessee",-0.8559
"Ohio",-0.8559
"South Florida",-0.9337
"Northern Illinois",-0.9337
"Arizona",-0.9337
"Temple",-1.0895
"South Alabama",-1.1673
"Old Dominion",-1.1673
"Southern Mississippi",-1.2452
"UTEP",-1.2452
"Arkansas State",-1.2452
"UNLV",-1.323
"Rice",-1.323
"New Mexico",-1.323
"North Texas",-1.4009
"Vanderbilt",-1.5566
"Florida International",-1.6345
"Kansas",-1.6345
"Texas State",-1.7123
"New Mexico State",-1.8681
"Akron",-1.9459
"Bowling Green",-2.1795
"Connecticut",-2.3352
"Louisiana Monroe",-2.3352
"UMass",-2.5688
