"team","statfox"
"Alabama",2.95864445332186
"Clemson",2.12579768791827
"Georgia",2.12579768791827
"Ohio State",2.12579768791827
"Oklahoma",2.12579768791827
"Iowa",1.8229443186806
"Texas A&M",1.44437760713351
"Florida",1.36866426482409
"Penn State",1.29295092251467
"Texas",1.21723758020525
"North Carolina",1.21723758020525
"LSU",1.14152423789584
"Iowa State",1.14152423789584
"Cincinnati",1.14152423789584
"Auburn",1.14152423789584
"BYU",1.14152423789584
"Oregon",1.14152423789584
"Notre Dame",1.14152423789584
"Wisconsin",1.14152423789584
"Indiana",0.990097553277
"Michigan",0.914384210967582
"Ole Miss",0.914384210967582
"TCU",0.838670868658165
"UCF",0.762957526348747
"Utah",0.762957526348747
"Tulane",0.687244184039329
"Oklahoma State",0.687244184039329
"UCLA",0.611530841729911
"USC",0.611530841729911
"Kentucky",0.611530841729911
"Miami",0.535817499420494
"Baylor",0.535817499420494
"Boise State",0.535817499420494
"Arizona State",0.535817499420494
"Pittsburgh",0.535817499420494
"Northwestern",0.460104157111076
"Nebraska",0.460104157111076
"Virginia",0.460104157111076
"Virginia Tech",0.460104157111076
"Washington",0.460104157111076
"Minnesota",0.460104157111076
"Louisville",0.384390814801658
"Arkansas",0.384390814801658
"Appalachian State",0.384390814801658
"Air Force",0.384390814801658
"Buffalo",0.384390814801658
"West Virginia",0.384390814801658
"Wake Forest",0.384390814801658
"Stanford",0.384390814801658
"Boston College",0.308677472492241
"Coastal Carolina",0.308677472492241
"Liberty",0.308677472492241
"Missouri",0.308677472492241
"Memphis",0.232964130182823
"Marshall",0.232964130182823
"SMU",0.232964130182823
"Purdue",0.232964130182823
"Tennessee",0.157250787873405
"Rutgers",0.157250787873405
"South Carolina",0.157250787873405
"Tulsa",0.157250787873405
"Michigan State",0.157250787873405
"Mississippi State",0.157250787873405
"NC State",0.157250787873405
"Louisiana",0.157250787873405
"California",0.157250787873405
"Army",0.157250787873405
"Fresno State",0.0815374455639875
"Houston",0.0815374455639875
"Maryland",0.0815374455639875
"San Diego State",0.0815374455639875
"Oregon State",0.00582410325456977
"Nevada",0.00582410325456977
"Washington State",0.00582410325456977
"Colorado",0.00582410325456977
"Florida Atlantic",-0.069889239054848
"Kansas State",-0.069889239054848
"Ball State",-0.145602581364266
"UT San Antonio",-0.145602581364266
"Toledo",-0.145602581364266
"Troy",-0.221315923673683
"Texas Tech",-0.221315923673683
"San Jose State",-0.221315923673683
"Syracuse",-0.221315923673683
"UAB",-0.297029265983101
"Wyoming",-0.297029265983101
"East Carolina",-0.297029265983101
"Kent State",-0.297029265983101
"Central Michigan",-0.448455950601936
"Western Kentucky",-0.448455950601936
"Western Michigan",-0.524169292911354
"Ohio",-0.524169292911354
"Georgia Southern",-0.524169292911354
"Illinois",-0.524169292911354
"Georgia Tech",-0.524169292911354
"Miami (OH)",-0.524169292911354
"Florida State",-0.599882635220772
"Eastern Michigan",-0.67559597753019
"Duke",-0.67559597753019
"Hawai'i",-0.67559597753019
"Navy",-0.751309319839607
"Charlotte",-0.751309319839607
"Arizona",-0.827022662149025
"Utah State",-0.827022662149025
"Arkansas State",-0.902736004458443
"Middle Tennessee",-0.902736004458443
"Georgia State",-0.902736004458443
"Louisiana Tech",-0.97844934676786
"Southern Mississippi",-0.97844934676786
"Rice",-1.05416268907728
"Northern Illinois",-1.05416268907728
"Colorado State",-1.05416268907728
"New Mexico",-1.1298760313867
"Vanderbilt",-1.1298760313867
"North Texas",-1.20558937369611
"Temple",-1.20558937369611
"South Florida",-1.20558937369611
"South Alabama",-1.28130271600553
"Texas State",-1.28130271600553
"Florida International",-1.28130271600553
"Kansas",-1.35701605831495
"Old Dominion",-1.43272940062437
"UNLV",-1.50844274293378
"UTEP",-1.50844274293378
"New Mexico State",-1.88700945448087
"Louisiana Monroe",-2.18986282371854
"Akron",-2.4170028506468
"UMass",-2.49271619295621
"Bowling Green",-2.56842953526563
"Connecticut",-2.56842953526563
