"team","statfox"
"Alabama",2.9054
"Georgia",2.4344
"Ohio State",2.0418
"Oklahoma",1.8063
"Clemson",1.6493
"Florida",1.5708
"Iowa",1.5708
"Texas",1.5708
"Notre Dame",1.4923
"Iowa State",1.3353
"Cincinnati",1.3353
"Texas A&M",1.2568
"Ole Miss",1.2568
"LSU",1.1782
"Michigan",1.0997
"Oregon",1.0997
"Penn State",1.0997
"Auburn",1.0212
"BYU",0.9427
"North Carolina",0.9427
"Wisconsin",0.8642
"Indiana",0.7857
"Arkansas",0.7857
"Baylor",0.7072
"Washington",0.7072
"UCF",0.7072
"Utah",0.7072
"Oklahoma State",0.7072
"Pittsburgh",0.6287
"Nebraska",0.6287
"TCU",0.6287
"West Virginia",0.6287
"Wake Forest",0.6287
"UCLA",0.6287
"Boise State",0.6287
"Arizona State",0.6287
"Miami",0.5502
"USC",0.5502
"NC State",0.4717
"Louisville",0.4717
"Michigan State",0.4717
"Minnesota",0.4717
"Coastal Carolina",0.4717
"Boston College",0.3932
"Kentucky",0.3932
"Louisiana",0.3932
"Northwestern",0.3932
"SMU",0.3932
"Oregon State",0.3932
"Tennessee",0.3932
"Liberty",0.3146
"Missouri",0.3146
"Appalachian State",0.3146
"Air Force",0.3146
"Tulane",0.2361
"Virginia",0.2361
"Virginia Tech",0.2361
"Rutgers",0.2361
"Stanford",0.2361
"San Diego State",0.1576
"Purdue",0.1576
"Buffalo",0.1576
"Mississippi State",0.1576
"Memphis",0.1576
"Marshall",0.1576
"Maryland",0.1576
"Houston",0.1576
"Georgia Tech",0.0791
"Kansas State",0.0791
"Army",0.0791
"South Carolina",0.0791
"Tulsa",0.0791
"UAB",0.0791
"California",6e-04
"Fresno State",6e-04
"UT San Antonio",-0.0779
"Texas Tech",-0.1564
"Western Michigan",-0.1564
"Syracuse",-0.1564
"Nevada",-0.1564
"Washington State",-0.2349
"Wyoming",-0.2349
"Florida Atlantic",-0.2349
"Kent State",-0.3134
"Toledo",-0.3134
"Western Kentucky",-0.3919
"San Jose State",-0.3919
"East Carolina",-0.3919
"Colorado",-0.3919
"Eastern Michigan",-0.4705
"Illinois",-0.4705
"Duke",-0.549
"Miami (OH)",-0.549
"Colorado State",-0.549
"Central Michigan",-0.549
"Troy",-0.549
"Ball State",-0.6275
"Florida State",-0.6275
"Hawai'i",-0.6275
"Georgia State",-0.706
"Navy",-0.706
"Georgia Southern",-0.706
"Utah State",-0.706
"Ohio",-0.863
"Charlotte",-0.863
"Arizona",-0.9415
"Middle Tennessee",-0.9415
"Louisiana Tech",-0.9415
"South Florida",-0.9415
"Southern Mississippi",-1.02
"Arkansas State",-1.02
"Temple",-1.0985
"Northern Illinois",-1.177
"New Mexico",-1.2555
"Old Dominion",-1.3341
"Rice",-1.3341
"South Alabama",-1.3341
"Vanderbilt",-1.4126
"Florida International",-1.4126
"UTEP",-1.4911
"UNLV",-1.4911
"North Texas",-1.4911
"Kansas",-1.5696
"Texas State",-1.7266
"Louisiana Monroe",-1.9621
"New Mexico State",-2.0406
"Bowling Green",-2.1191
"Akron",-2.1977
"Connecticut",-2.3547
"UMass",-2.6687
