"team","statfox"
"Alabama",2.8077
"Ohio State",2.6517
"Georgia",2.4957
"Cincinnati",1.6378
"Iowa",1.4038
"Michigan",1.4038
"Oklahoma",1.4038
"Texas",1.3258
"Texas A&M",1.3258
"Iowa State",1.3258
"Florida",1.3258
"Clemson",1.2479
"Ole Miss",1.2479
"Notre Dame",1.2479
"Pittsburgh",1.1699
"Auburn",1.1699
"Penn State",1.0139
"Oklahoma State",1.0139
"Baylor",0.9359
"Arizona State",0.8579
"Kentucky",0.8579
"LSU",0.8579
"Oregon",0.8579
"Nebraska",0.8579
"Utah",0.8579
"Wisconsin",0.8579
"Tennessee",0.7799
"Wake Forest",0.7019
"Michigan State",0.7019
"North Carolina",0.7019
"BYU",0.7019
"Coastal Carolina",0.7019
"Arkansas",0.6239
"NC State",0.6239
"Minnesota",0.6239
"Houston",0.6239
"Virginia",0.6239
"West Virginia",0.5459
"UCLA",0.5459
"USC",0.5459
"TCU",0.5459
"SMU",0.5459
"Washington",0.4679
"Mississippi State",0.4679
"Louisville",0.4679
"Miami",0.4679
"Boise State",0.4679
"UCF",0.39
"Oregon State",0.39
"San Diego State",0.312
"Stanford",0.312
"Air Force",0.312
"Louisiana",0.312
"Liberty",0.234
"Indiana",0.234
"Appalachian State",0.234
"Purdue",0.234
"UT San Antonio",0.234
"Boston College",0.156
"Kansas State",0.156
"Fresno State",0.078
"Virginia Tech",0.078
"Washington State",0.078
"Nevada",0.078
"Northwestern",0.078
"Syracuse",0.078
"Florida Atlantic",0
"California",0
"Buffalo",0
"Memphis",0
"Marshall",0
"Army",-0.078
"East Carolina",-0.078
"Florida State",-0.078
"Texas Tech",-0.078
"UAB",-0.078
"Western Michigan",-0.156
"Rutgers",-0.156
"Colorado State",-0.156
"Missouri",-0.156
"Georgia Tech",-0.156
"Maryland",-0.234
"South Carolina",-0.234
"Toledo",-0.234
"Tulsa",-0.234
"Tulane",-0.312
"Western Kentucky",-0.312
"Illinois",-0.312
"Ball State",-0.312
"Eastern Michigan",-0.39
"Miami (OH)",-0.39
"Navy",-0.4679
"Colorado",-0.4679
"Hawai'i",-0.6239
"Georgia State",-0.6239
"Kent State",-0.6239
"Troy",-0.6239
"San Jose State",-0.7019
"Utah State",-0.7019
"Wyoming",-0.7019
"Middle Tennessee",-0.7019
"Central Michigan",-0.7019
"South Florida",-0.7799
"Ohio",-0.8579
"Georgia Southern",-0.8579
"Northern Illinois",-0.9359
"Duke",-0.9359
"Charlotte",-1.0139
"Arkansas State",-1.0919
"Arizona",-1.0919
"Louisiana Tech",-1.0919
"South Alabama",-1.0919
"UTEP",-1.0919
"Temple",-1.2479
"New Mexico",-1.2479
"Rice",-1.2479
"Old Dominion",-1.3258
"UNLV",-1.3258
"Kansas",-1.4038
"North Texas",-1.4818
"Southern Mississippi",-1.4818
"Vanderbilt",-1.5598
"Texas State",-1.6378
"Florida International",-1.6378
"Louisiana Monroe",-1.7938
"New Mexico State",-1.7938
"Akron",-2.0278
"Bowling Green",-2.2617
"Connecticut",-2.4177
"UMass",-2.8077
