"team","statfox"
"Alabama",2.587
"Georgia",2.587
"Ohio State",2.4303
"Oklahoma State",1.6467
"Notre Dame",1.49
"Wisconsin",1.4116
"Texas A&M",1.3333
"Oklahoma",1.3333
"Michigan",1.3333
"Cincinnati",1.3333
"Iowa State",1.2549
"Ole Miss",1.2549
"Penn State",1.1766
"Utah",1.1766
"Baylor",1.1766
"Clemson",1.0982
"Iowa",1.0982
"LSU",1.0199
"Auburn",1.0199
"Pittsburgh",1.0199
"Oregon",0.9415
"SMU",0.7848
"Tennessee",0.7848
"Texas",0.7848
"NC State",0.7848
"Nebraska",0.7848
"Wake Forest",0.7848
"BYU",0.7848
"Mississippi State",0.7848
"Michigan State",0.7064
"North Carolina",0.7064
"Louisville",0.7064
"Arizona State",0.7064
"Arkansas",0.7064
"Florida",0.7064
"Boise State",0.6281
"Houston",0.6281
"Kentucky",0.6281
"Minnesota",0.5497
"UCLA",0.5497
"Washington",0.4714
"Purdue",0.4714
"Miami",0.4714
"Louisiana",0.4714
"Kansas State",0.4714
"Appalachian State",0.393
"Coastal Carolina",0.393
"Virginia",0.393
"UCF",0.3146
"Washington State",0.3146
"USC",0.3146
"West Virginia",0.3146
"Oregon State",0.3146
"Air Force",0.3146
"Boston College",0.2363
"Army",0.2363
"Liberty",0.2363
"San Diego State",0.1579
"Virginia Tech",0.1579
"Western Kentucky",0.0796
"UAB",0.0796
"UT San Antonio",0.0796
"South Carolina",0.0796
"TCU",0.0796
"Nevada",0.0796
"Marshall",0.0796
"East Carolina",0.0796
"Florida State",0.0012
"Fresno State",0.0012
"California",0.0012
"Memphis",0.0012
"Tulsa",0.0012
"Texas Tech",0.0012
"Northwestern",-0.0772
"Rutgers",-0.0772
"Illinois",-0.0772
"Indiana",-0.0772
"Miami (OH)",-0.1555
"Missouri",-0.1555
"Syracuse",-0.1555
"Toledo",-0.1555
"Utah State",-0.1555
"Stanford",-0.2339
"Maryland",-0.2339
"Georgia Tech",-0.2339
"Georgia State",-0.3122
"Central Michigan",-0.3122
"Tulane",-0.3122
"Ball State",-0.3906
"Colorado State",-0.3906
"Colorado",-0.4689
"Eastern Michigan",-0.4689
"Florida Atlantic",-0.4689
"Navy",-0.4689
"Wyoming",-0.4689
"Troy",-0.5473
"Western Michigan",-0.5473
"Middle Tennessee",-0.5473
"Buffalo",-0.5473
"Arizona",-0.704
"South Florida",-0.704
"Ohio",-0.704
"Kent State",-0.7824
"Hawai'i",-0.9391
"Northern Illinois",-0.9391
"Georgia Southern",-0.9391
"Old Dominion",-0.9391
"San Jose State",-0.9391
"South Alabama",-0.9391
"UTEP",-1.0174
"UNLV",-1.0958
"Duke",-1.0958
"Louisiana Tech",-1.0958
"Charlotte",-1.1742
"North Texas",-1.1742
"Kansas",-1.2525
"Arkansas State",-1.4092
"New Mexico",-1.4092
"Rice",-1.4092
"Vanderbilt",-1.4876
"Southern Mississippi",-1.566
"Temple",-1.6443
"Texas State",-1.801
"Akron",-1.801
"Louisiana Monroe",-1.801
"New Mexico State",-1.8794
"Bowling Green",-2.1145
"Florida International",-2.1928
"Connecticut",-2.3495
"UMass",-2.9764
