"team","statfox"
"Alabama",2.8934
"Georgia",2.5025
"Ohio State",2.1898
"Iowa",1.7989
"Oklahoma",1.7207
"Texas",1.5643
"Cincinnati",1.4861
"Clemson",1.4861
"Florida",1.4079
"Iowa State",1.4079
"Michigan",1.3297
"Notre Dame",1.3297
"Penn State",1.2516
"Ole Miss",1.2516
"LSU",1.0952
"Auburn",1.0952
"North Carolina",1.017
"Texas A&M",1.017
"Oregon",0.9388
"Pittsburgh",0.9388
"Nebraska",0.9388
"BYU",0.9388
"Arizona State",0.8606
"Arkansas",0.7043
"Baylor",0.7043
"Oklahoma State",0.7043
"Tennessee",0.7043
"USC",0.7043
"Utah",0.7043
"Washington",0.7043
"Wisconsin",0.6261
"Wake Forest",0.6261
"TCU",0.6261
"Coastal Carolina",0.6261
"Indiana",0.6261
"Kentucky",0.5479
"Minnesota",0.5479
"Liberty",0.5479
"Boston College",0.5479
"UCF",0.5479
"West Virginia",0.4697
"Appalachian State",0.4697
"Louisville",0.4697
"Michigan State",0.4697
"Miami",0.4697
"Houston",0.4697
"Mississippi State",0.3915
"Air Force",0.3915
"Boise State",0.3915
"UCLA",0.3915
"SMU",0.3915
"Stanford",0.3915
"Oregon State",0.3915
"NC State",0.3133
"Virginia",0.3133
"Virginia Tech",0.2352
"Louisiana",0.2352
"Kansas State",0.157
"San Diego State",0.157
"South Carolina",0.0788
"Northwestern",0.0788
"Rutgers",0.0788
"Purdue",0.0788
"Nevada",0.0788
"Missouri",6e-04
"Memphis",6e-04
"Marshall",6e-04
"Buffalo",6e-04
"Texas Tech",6e-04
"Western Michigan",6e-04
"Tulane",6e-04
"Washington State",6e-04
"Army",-0.0776
"Florida Atlantic",-0.0776
"Fresno State",-0.0776
"Maryland",-0.0776
"East Carolina",-0.1558
"UAB",-0.1558
"Syracuse",-0.1558
"Toledo",-0.234
"UT San Antonio",-0.234
"Tulsa",-0.234
"Wyoming",-0.234
"California",-0.234
"Georgia Tech",-0.234
"Western Kentucky",-0.3903
"Illinois",-0.4685
"Kent State",-0.4685
"Miami (OH)",-0.4685
"Ball State",-0.4685
"Eastern Michigan",-0.5467
"Colorado",-0.5467
"Colorado State",-0.5467
"Georgia Southern",-0.5467
"Hawai'i",-0.5467
"Troy",-0.5467
"San Jose State",-0.5467
"Navy",-0.5467
"Duke",-0.6249
"Florida State",-0.6249
"Central Michigan",-0.6249
"Utah State",-0.7031
"Middle Tennessee",-0.7812
"Louisiana Tech",-0.7812
"Georgia State",-0.8594
"Charlotte",-0.8594
"Ohio",-0.8594
"South Florida",-0.9376
"Temple",-0.9376
"Arizona",-0.9376
"Southern Mississippi",-1.0158
"Northern Illinois",-1.094
"Arkansas State",-1.1722
"South Alabama",-1.1722
"Rice",-1.3285
"Old Dominion",-1.3285
"UNLV",-1.3285
"New Mexico",-1.3285
"UTEP",-1.4849
"North Texas",-1.4849
"Vanderbilt",-1.5631
"Florida International",-1.5631
"Kansas",-1.6413
"Texas State",-1.7195
"New Mexico State",-1.8758
"Bowling Green",-1.954
"Louisiana Monroe",-2.1104
"Akron",-2.1886
"Connecticut",-2.1886
"UMass",-2.7359
