"team","laz"
"Georgia",2.5446
"Alabama",2.1634
"Michigan",2.0282
"Iowa",1.8842
"Penn State",1.5069
"Ohio State",1.8371
"Texas",1.6069
"Cincinnati",1.3883
"Oklahoma",1.2521
"Florida",1.5441
"Notre Dame",1.259
"Oklahoma State",0.9033
"Michigan State",1.0013
"Pittsburgh",1.1963
"BYU",0.8171
"Wake Forest",0.772
"Arkansas",0.9347
"Iowa State",1.261
"Oregon",0.9699
"Kentucky",0.6329
"Ole Miss",1.1042
"Arizona State",0.9425
"Clemson",1.1404
"Coastal Carolina",0.5937
"Auburn",0.823
"Oregon State",0.7945
"North Carolina",1.0287
"NC State",0.6858
"Kansas State",0.8504
"SMU",0.3948
"UCLA",0.8357
"USC",0.8671
"Texas A&M",0.8582
"Nebraska",0.918
"Baylor",0.4741
"Western Michigan",0.3487
"Appalachian State",0.4398
"LSU",0.6809
"Minnesota",0.6936
"Mississippi State",0.6348
"Stanford",0.5976
"Tennessee",0.673
"Purdue",0.6289
"Rutgers",0.5457
"Liberty",0.3712
"Virginia Tech",0.4898
"Texas Tech",0.2125
"Maryland",0.2301
"San Diego State",0.1557
"Air Force",0.2654
"Utah",0.625
"Virginia",0.4388
"Boston College",0.2311
"Wisconsin",0.819
"TCU",0.5417
"Washington",0.6917
"Houston",0.1253
"UT San Antonio",-0.2196
"Army",0.1057
"Boise State",0.577
"Louisville",0.2732
"South Carolina",0.1939
"West Virginia",0.4937
"Louisiana",-0.0932
"Wyoming",-0.2294
"Fresno State",0.0939
"Indiana",0.3487
"Toledo",0.0969
"Nevada",-0.006
"Miami",0.2703
"Florida Atlantic",-0.0697
"Syracuse",-0.0619
"UCF",0.0812
"Georgia Tech",0.0508
"UAB",-0.2216
"Memphis",-0.2235
"Utah State",-0.3705
"East Carolina",-0.3999
"Duke",-0.4225
"Northwestern",-0.1726
"Missouri",-0.1893
"Washington State",-0.2343
"Illinois",-0.1932
"Northern Illinois",-0.639
"Marshall",-0.2363
"Western Kentucky",-0.2049
"Louisiana Tech",-0.3735
"Buffalo",-0.3225
"Ball State",-0.4685
"San Jose State",-0.6831
"South Alabama",-0.8448
"Kent State",-0.5234
"Eastern Michigan",-0.7321
"Troy",-0.5351
"Florida State",-0.3068
"Miami (OH)",-0.5557
"Colorado State",-0.4813
"Hawai'i",-0.7527
"California",-0.2765
"Tulsa",-0.4528
"Colorado",-0.4146
"Middle Tennessee",-0.7586
"Charlotte",-1.0947
"UTEP",-1.4788
"Temple",-1.3004
"Central Michigan",-0.9692
"Navy",-0.9036
"Vanderbilt",-1.1672
"Georgia Southern",-1.1182
"Tulane",-0.8213
"South Florida",-0.9496
"Bowling Green",-1.2005
"Arizona",-0.8673
"Georgia State",-1.1387
"Rice",-1.563
"Louisiana Monroe",-1.8394
"North Texas",-1.469
"Arkansas State",-1.2985
"Old Dominion",-1.3906
"UNLV",-1.1956
"Southern Mississippi",-1.4366
"Kansas",-1.4993
"Texas State",-1.5807
"New Mexico",-1.7414
"Ohio",-1.5787
"Florida International",-1.8109
"Akron",-2.1941
"UMass",-2.1862
"Connecticut",-2.0745
"New Mexico State",-2.3028
