"team","laz"
"Georgia",2.4528
"Michigan",2.0153
"Ohio State",2.0984
"Alabama",2.0038
"Michigan State",1.4248
"Oklahoma",1.0837
"Wake Forest",1.2289
"Cincinnati",1.2643
"Notre Dame",1.2891
"Oklahoma State",1.1754
"Iowa",1.271
"Baylor",0.9824
"Pittsburgh",1.4047
"Penn State",1.3312
"Wisconsin",1.2557
"Ole Miss",1.0818
"Oregon",0.9089
"Iowa State",1.2146
"UT San Antonio",0.6232
"Minnesota",1.0321
"Auburn",0.9079
"BYU",0.7063
"NC State",0.9844
"Kentucky",0.756
"Texas A&M",0.9089
"Virginia",0.7082
"Utah",0.9786
"Kansas State",0.8248
"Purdue",0.8668
"Coastal Carolina",0.5812
"Florida",1.143
"SMU",0.4426
"Houston",0.3872
"Liberty",0.6289
"Appalachian State",0.5535
"Fresno State",0.4312
"San Diego State",0.2764
"Texas",0.9041
"Air Force",0.5238
"Clemson",0.6939
"Boise State",0.8984
"Mississippi State",0.5869
"Nevada",0.4484
"Arkansas",0.4636
"Oregon State",0.5477
"Arizona State",0.5936
"Utah State",0.1751
"North Carolina",0.7436
"UCLA",0.5257
"Louisville",0.5162
"Tennessee",0.6633
"Nebraska",0.9844
"Louisiana",-0.1402
"Washington State",0.3404
"Miami",0.391
"Syracuse",0.4493
"Western Michigan",0.1417
"LSU",0.3557
"Rutgers",0.3891
"Army",0.3452
"Virginia Tech",0.391
"UCF",0.0815
"Maryland",-0.1364
"West Virginia",0.199
"Western Kentucky",0.3251
"Northern Illinois",-0.4641
"USC",0.1904
"Florida State",0.4015
"Washington",0.2773
"Toledo",0.1321
"UAB",-0.0886
"Florida Atlantic",-0.0542
"Texas Tech",-0.2243
"Marshall",0.0471
"Georgia Tech",0.0748
"TCU",0.0538
"Stanford",0.0929
"Colorado State",0.1168
"Eastern Michigan",-0.3962
"Illinois",0.0299
"California",0.1703
"Ball State",-0.3552
"South Carolina",-0.4115
"East Carolina",-0.2501
"Boston College",-0.3236
"Indiana",-0.0609
"UTEP",-0.7832
"Memphis",-0.3628
"Middle Tennessee",-0.3647
"Northwestern",-0.3017
"Miami (OH)",-0.5778
"Missouri",-0.5539
"Wyoming",-0.702
"South Alabama",-0.8176
"Tulsa",-0.5185
"San Jose State",-0.8224
"Georgia State",-0.8654
"Kent State",-0.8845
"Troy",-0.8032
"Louisiana Monroe",-1.1998
"Hawai'i",-0.8644
"Duke",-0.8548
"Navy",-0.6599
"Buffalo",-0.8004
"Central Michigan",-1.0354
"Louisiana Tech",-0.6714
"Charlotte",-1.1587
"Colorado",-0.6714
"South Florida",-0.8281
"Old Dominion",-0.9609
"New Mexico",-1.5055
"Bowling Green",-1.3679
"Tulane",-1.0717
"UNLV",-0.9217
"Rice",-1.8189
"Vanderbilt",-1.4453
"Texas State",-1.5284
"Kansas",-1.5504
"North Texas",-1.4348
"Temple",-1.8418
"Arizona",-1.1033
"Georgia Southern",-1.644
"Arkansas State",-1.5504
"Akron",-2.0596
"Ohio",-1.6813
"Southern Mississippi",-1.8485
"UMass",-2.0491
"New Mexico State",-2.0042
"Florida International",-1.9708
"Connecticut",-2.1275
