"team","laz"
"Georgia",2.42583755481087
"Iowa",2.11379207864393
"Alabama",2.09717427222083
"Penn State",1.61156504007938
"Michigan",1.63095248090632
"Ohio State",1.77128062403465
"Texas A&M",1.472160108419
"Oregon",1.42230668914973
"UCLA",1.39830319098304
"Oklahoma",1.31706058180348
"Clemson",1.52201352768827
"Cincinnati",1.22196980060468
"Florida",1.13980397995717
"Ole Miss",1.09548982949559
"Virginia Tech",1.0844112918802
"Virginia",1.00963116297629
"Kansas State",0.968086646918555
"Wisconsin",1.21181447445723
"Arkansas",0.950545629027514
"Rutgers",0.946852783155717
"Michigan State",0.916386804713383
"Kentucky",0.82221923498253
"Auburn",0.841606675809471
"BYU",0.793599679476094
"UCF",0.752978374886315
"Notre Dame",0.707741012956787
"Texas",0.923772496456978
"Pittsburgh",0.682814303322152
"USC",0.906231478565937
"Purdue",0.6837375147901
"Iowa State",0.859147693700512
"Mississippi State",0.591416367995147
"TCU",0.618189500565683
"Marshall",0.596032425334894
"Arizona State",0.500018432668142
"Utah",0.6818910918542
"Texas Tech",0.42616151523218
"North Carolina",0.710510647360636
"Boise State",0.668966131302908
"Maryland",0.415082977616787
"Army",0.392002690918048
"NC State",0.629268038181078
"Fresno State",0.464013185418112
"Wake Forest",0.320915407885933
"Minnesota",0.5868003106554
"Missouri",0.528637988174578
"LSU",0.556334332213065
"Miami",0.510173758815589
"Stanford",0.488939895052749
"Indiana",0.488939895052749
"Coastal Carolina",0.226747838155082
"Colorado",0.453857859270666
"SMU",0.202744339988393
"Tennessee",0.422468669360383
"Oklahoma State",0.174124784481959
"Nevada",0.156583766590917
"Appalachian State",0.379077730366755
"Memphis",0.100267867045995
"Nebraska",0.237826375770476
"Liberty",0.0273341610779828
"South Carolina",0.0457983904369737
"Syracuse",0.220285357879435
"Tulane",0.257213816597416
"UT San Antonio",-0.0899136953516074
"West Virginia",0.211976454667889
"Toledo",0.156583766590917
"Utah State",-0.112993982050346
"Baylor",-0.0991458100311035
"Oregon State",0.160276612462715
"UAB",0.0236413152061841
"Washington",0.246135278982021
"San Diego State",-0.220086512332492
"Northwestern",-0.0243656811271912
"Boston College",-0.260707816922272
"Troy",-0.0677566201208191
"Wyoming",-0.346566483441578
"Houston",-0.0566780825054243
"Western Kentucky",-0.118533250858043
"Louisville",-0.124995731133691
"Florida Atlantic",-0.124072519665741
"California",0.0624161968600646
"San Jose State",-0.202545494441452
"Illinois",-0.16469382425552
"Kent State",-0.24501322196713
"Middle Tennessee",-0.299482698576152
"South Alabama",-0.549673006390475
"Air Force",-0.536748045839181
"Western Michigan",-0.311484447659496
"Washington State",-0.28378810362101
"Louisiana Tech",-0.315177293531294
"Central Michigan",-0.286557738024859
"Charlotte",-0.636454884377731
"Arkansas State",-0.402882382986499
"Florida State",-0.16654024719142
"Louisiana",-0.408421651794196
"Georgia Tech",-0.416730555005742
"Ball State",-0.465660762807068
"Northern Illinois",-0.548749794922526
"Buffalo",-0.531208777031484
"Duke",-0.617990655018741
"Tulsa",-0.412114497665995
"Miami (OH)",-0.567214024281516
"Arizona",-0.589371099512305
"Eastern Michigan",-0.840484618794578
"Texas State",-0.863564905493316
"East Carolina",-0.637378095845681
"North Texas",-1.07590354312171
"Kansas",-1.14237476881407
"Hawai'i",-0.985428819262654
"UTEP",-1.36671515552581
"Florida International",-1.31593852478859
"New Mexico",-1.65475713352607
"Ohio",-1.1857657078077
"UNLV",-1.24115839588468
"Old Dominion",-1.50150402984644
"Temple",-1.50612008718619
"Georgia Southern",-1.52920037388493
"Rice",-1.32701706240398
"Southern Mississippi",-1.5845930619619
"South Florida",-1.45534345644897
"Louisiana Monroe",-1.63536969269913
"Vanderbilt",-1.74892470325692
"Bowling Green",-1.61044298306449
"Georgia State",-1.62798400095553
"Colorado State",-1.65014107618632
"Navy",-1.69999449545559
"UMass",-2.10713075282134
"Akron",-2.26684633677661
"Connecticut",-2.50780452991143
"New Mexico State",-2.5687364867961
