"team","laz"
"Georgia",2.4655
"Ohio State",2.1903
"Michigan",1.8512
"Alabama",1.9122
"Oklahoma State",1.4733
"Notre Dame",1.4471
"Michigan State",1.2572
"Cincinnati",1.1167
"Wisconsin",1.5343
"Wake Forest",1.2097
"Ole Miss",1.295
"Oklahoma",0.9752
"Oregon",1.074
"Iowa",1.0304
"Baylor",1.0052
"Pittsburgh",1.2048
"Penn State",1.3395
"UT San Antonio",0.5789
"BYU",0.8056
"NC State",1.1709
"Texas A&M",1.0295
"Utah",1.0953
"Iowa State",1.1806
"Kansas State",0.8415
"Purdue",0.9665
"Appalachian State",0.6893
"Houston",0.4471
"Boise State",1.045
"SMU",0.6535
"San Diego State",0.2591
"Clemson",0.7455
"Kentucky",0.6205
"Arkansas",0.5886
"Auburn",0.8017
"Minnesota",0.8754
"Mississippi State",0.7814
"Utah State",0.2988
"Arizona State",0.6496
"Fresno State",0.3725
"Air Force",0.4868
"Virginia",0.5324
"Louisiana",-0.0684
"Liberty",0.6118
"Coastal Carolina",0.3143
"Nevada",0.3696
"UCLA",0.6128
"North Carolina",0.7717
"Louisville",0.7126
"Florida",0.7572
"Tennessee",0.638
"Oregon State",0.5052
"Army",0.3395
"Western Kentucky",0.4577
"UAB",0.1428
"Miami",0.4122
"Rutgers",0.3628
"Nebraska",0.9151
"Washington State",0.3376
"Texas",0.4636
"Texas Tech",-0.0723
"LSU",0.5149
"Virginia Tech",0.3415
"Syracuse",0.3531
"Marshall",0.2678
"UCF",-0.0132
"East Carolina",0.0091
"Boston College",-0.0306
"Florida State",0.3657
"Illinois",0.2048
"Northern Illinois",-0.581
"Maryland",-0.1963
"West Virginia",0.0643
"Washington",0.2397
"USC",0.0866
"Western Michigan",-0.3892
"Toledo",0.013
"TCU",-0.1033
"Memphis",-0.1372
"South Carolina",-0.2516
"Missouri",-0.3562
"Eastern Michigan",-0.5326
"Wyoming",-0.4221
"California",0.0769
"Central Michigan",-0.6372
"Tulsa",-0.3184
"Middle Tennessee",-0.3572
"Ball State",-0.5801
"Florida Atlantic",-0.3717
"Georgia State",-0.6866
"Georgia Tech",-0.1489
"Miami (OH)",-0.5268
"Northwestern",-0.3262
"UTEP",-0.8058
"Stanford",-0.2622
"Colorado State",-0.1944
"Indiana",-0.2729
"Troy",-0.831
"Kent State",-1.1111
"San Jose State",-0.9473
"South Alabama",-0.9396
"Old Dominion",-0.6799
"Louisiana Tech",-0.5733
"Colorado",-0.6266
"Navy",-0.5994
"Hawai'i",-0.925
"Charlotte",-1.2341
"South Florida",-0.7351
"North Texas",-1.0868
"Duke",-1.0113
"UNLV",-0.8087
"Buffalo",-1.1411
"Louisiana Monroe",-1.487
"Arizona",-0.7516
"Kansas",-1.3989
"Tulane",-0.893
"Ohio",-1.4289
"Vanderbilt",-1.4202
"Bowling Green",-1.5869
"Texas State",-1.5985
"New Mexico",-1.614
"Georgia Southern",-1.5539
"Rice",-1.7303
"Arkansas State",-1.5704
"Temple",-2.0181
"Akron",-1.8369
"New Mexico State",-1.9357
"Southern Mississippi",-1.8485
"Connecticut",-2.0345
"Florida International",-2.1663
"UMass",-2.3931
