"team","laz"
"Georgia",2.6046
"Michigan",2.1826
"Iowa",1.9054
"Ohio State",1.8316
"Alabama",1.752
"Penn State",1.5755
"Michigan State",1.3425
"Cincinnati",1.4911
"Oklahoma",1.0797
"Pittsburgh",1.4978
"Florida",1.4988
"Notre Dame",1.1526
"Wake Forest",0.8936
"Oklahoma State",0.8907
"Texas",1.2897
"Kentucky",0.7334
"Arizona State",0.9579
"Coastal Carolina",0.7334
"Ole Miss",1.0634
"Arkansas",1.0384
"Iowa State",1.2705
"BYU",0.719
"Liberty",0.8773
"SMU",0.5023
"NC State",0.8687
"Baylor",0.6711
"Oregon",0.8802
"Tennessee",0.9627
"Kansas State",0.9195
"Texas A&M",0.8169
"Auburn",0.7277
"Nebraska",1.1535
"Clemson",0.8514
"UCLA",0.7363
"Air Force",0.4399
"UT San Antonio",0.086
"Oregon State",0.6548
"Appalachian State",0.5119
"Boise State",0.7852
"Utah",0.7018
"North Carolina",0.8562
"San Diego State",0.2155
"Rutgers",0.674
"Virginia",0.438
"Mississippi State",0.5867
"Wisconsin",0.7804
"Houston",0.2126
"TCU",0.533
"Purdue",0.557
"Minnesota",0.557
"Western Michigan",0.1935
"Virginia Tech",0.4572
"Army",0.2309
"Boston College",0.158
"Stanford",0.3977
"Nevada",0.1273
"Maryland",0.0496
"USC",0.4361
"Fresno State",0.2165
"Washington",0.579
"Louisville",0.3057
"UAB",0.0525
"Wyoming",-0.1863
"LSU",0.228
"Georgia Tech",0.1887
"Indiana",0.2654
"Texas Tech",-0.1432
"Toledo",0.1196
"Syracuse",0.1867
"South Carolina",0.0688
"Louisiana",-0.2717
"Utah State",-0.0962
"Northern Illinois",-0.4578
"Miami",0.0592
"UCF",-0.0569
"Florida Atlantic",-0.054
"Colorado State",-0.0588
"Ball State",-0.3062
"Washington State",-0.1595
"West Virginia",0.0055
"Louisiana Tech",-0.1547
"Western Kentucky",0.1052
"Florida State",-0.0358
"Kent State",-0.4002
"Memphis",-0.3638
"East Carolina",-0.3436
"Eastern Michigan",-0.6592
"Missouri",-0.4117
"Marshall",-0.2938
"Duke",-0.4348
"Illinois",-0.3158
"Northwestern",-0.5
"Troy",-0.6093
"Tulsa",-0.5048
"Charlotte",-0.9507
"UTEP",-1.2155
"South Alabama",-0.899
"Hawai'i",-0.8213
"California",-0.3676
"Buffalo",-0.5211
"Middle Tennessee",-0.6314
"San Jose State",-0.9805
"Miami (OH)",-0.7091
"South Florida",-0.8059
"Colorado",-0.6822
"Georgia State",-0.9834
"Navy",-0.8184
"Temple",-1.3833
"Bowling Green",-1.0812
"Central Michigan",-1.2672
"Vanderbilt",-1.2864
"Georgia Southern",-1.249
"Texas State",-1.4217
"UNLV",-0.9507
"Tulane",-1.0227
"Arizona",-0.9862
"Old Dominion",-1.1109
"Rice",-1.6835
"North Texas",-1.3795
"Kansas",-1.5569
"Louisiana Monroe",-1.9175
"New Mexico",-1.7621
"Arkansas State",-1.53
"Southern Mississippi",-1.6845
"Akron",-2.0134
"UMass",-1.8465
"Ohio",-1.8456
"Florida International",-1.9693
"New Mexico State",-2.1717
"Connecticut",-2.1688
