"team","laz"
"Georgia",2.4233
"Ohio State",2.3361
"Michigan",1.9091
"Alabama",1.8781
"Oklahoma State",1.4946
"Notre Dame",1.5615
"Cincinnati",1.3252
"Wisconsin",1.5353
"Oklahoma",1.0628
"Michigan State",1.1335
"Ole Miss",1.1858
"Iowa",1.0657
"Baylor",1.0657
"Pittsburgh",1.1722
"Penn State",1.424
"Utah",1.271
"Wake Forest",0.9582
"NC State",1.2555
"Oregon",0.932
"UT San Antonio",0.5515
"Texas A&M",1.0628
"Appalachian State",0.8652
"BYU",0.688
"Houston",0.5534
"Purdue",1.0211
"Clemson",0.9146
"Boise State",1.0124
"Iowa State",1.1257
"San Diego State",0.2165
"Minnesota",0.9795
"Kansas State",0.7577
"Kentucky",0.688
"Louisiana",0.1738
"Mississippi State",0.749
"Arkansas",0.6154
"UCLA",0.7558
"SMU",0.4992
"Air Force",0.4208
"Coastal Carolina",0.3452
"Fresno State",0.3656
"Louisville",0.812
"Oregon State",0.6522
"Tennessee",0.8004
"Auburn",0.69
"Arizona State",0.5263
"Utah State",0.1128
"Western Kentucky",0.5341
"Miami",0.4663
"Virginia",0.444
"Nevada",0.3559
"North Carolina",0.5234
"Liberty",0.3917
"Washington State",0.4334
"Army",0.1477
"Florida",0.6183
"UAB",0.137
"Marshall",0.2716
"East Carolina",0.0518
"UCF",0.047
"LSU",0.4392
"Nebraska",0.9088
"Florida State",0.3559
"Rutgers",0.2213
"Texas Tech",-0.1118
"Northern Illinois",-0.5582
"West Virginia",0.1322
"Texas",0.384
"South Carolina",-0.0721
"Missouri",-0.1612
"Boston College",0.0015
"Virginia Tech",0.1893
"Syracuse",0.1855
"Illinois",0.2
"Toledo",-0.0295
"TCU",-0.1738
"Maryland",-0.2145
"Wyoming",-0.2474
"Central Michigan",-0.443
"California",0.291
"Eastern Michigan",-0.5311
"Tulsa",-0.1854
"Western Michigan",-0.4207
"Washington",0.1613
"Memphis",-0.1941
"USC",-0.0857
"Miami (OH)",-0.4294
"Georgia State",-0.6366
"UTEP",-0.8226
"Kent State",-0.8991
"Northwestern",-0.3307
"Georgia Tech",-0.2977
"Middle Tennessee",-0.4866
"Ball State",-0.7925
"Colorado",-0.5214
"Indiana",-0.2648
"Florida Atlantic",-0.6086
"Colorado State",-0.3016
"Old Dominion",-0.6928
"Stanford",-0.4459
"Hawai'i",-0.8381
"Troy",-0.8845
"San Jose State",-0.9775
"Navy",-0.5243
"North Texas",-0.932
"South Alabama",-1.0066
"Louisiana Tech",-0.7461
"Tulane",-0.6909
"Charlotte",-1.2825
"Louisiana Monroe",-1.3193
"UNLV",-0.8226
"South Florida",-0.8787
"Buffalo",-1.1363
"Duke",-1.208
"Kansas",-1.3484
"Arizona",-0.8293
"Vanderbilt",-1.298
"Ohio",-1.3484
"Georgia Southern",-1.4065
"Texas State",-1.483
"New Mexico",-1.6369
"Rice",-1.6795
"Bowling Green",-1.667
"Arkansas State",-1.4946
"Temple",-2.0814
"Southern Mississippi",-1.7067
"Akron",-2.0078
"New Mexico State",-1.9536
"Connecticut",-2.0533
"UMass",-2.3196
"Florida International",-2.3167
