"team","laz"
"Georgia",2.3082
"Michigan",2.0044
"Iowa",1.9497
"Alabama",1.928
"Ohio State",1.8346
"Penn State",1.5176
"Ole Miss",1.4081
"Oklahoma",1.4157
"Texas A&M",1.2704
"Oregon",1.2421
"Florida",1.4402
"Cincinnati",1.1487
"Texas",1.3647
"Kansas State",1.0571
"Clemson",1.3317
"Michigan State",0.9722
"North Carolina",1.209
"Wisconsin",1.3279
"Notre Dame",0.9043
"BYU",0.8977
"Iowa State",1.1128
"Arkansas",0.8675
"USC",1.0817
"UCLA",0.9977
"Rutgers",0.6703
"Auburn",0.9345
"Minnesota",0.9336
"Virginia Tech",0.826
"LSU",0.8477
"Oklahoma State",0.5647
"TCU",0.71
"Stanford",0.6467
"Virginia",0.692
"Texas Tech",0.4194
"Washington",0.8986
"Kentucky",0.3448
"Mississippi State",0.5892
"Wake Forest",0.3552
"NC State",0.5854
"Baylor",0.3345
"Purdue",0.5666
"West Virginia",0.5666
"Pittsburgh",0.5496
"Arizona State",0.4986
"Fresno State",0.3288
"Maryland",0.2241
"Army",0.2194
"Nebraska",0.6307
"Memphis",0.1646
"UCF",0.4477
"Wyoming",0.1411
"Liberty",0.1505
"Coastal Carolina",0.1571
"San Diego State",0.1345
"Louisville",0.3222
"Utah",0.5892
"Boise State",0.5817
"Oregon State",0.3269
"SMU",0.0212
"Tennessee",0.3109
"Indiana",0.4967
"Appalachian State",0.2722
"Missouri",0.2354
"Western Michigan",0.1609
"Boston College",-0.024
"UT San Antonio",-0.109
"South Carolina",0.1486
"UAB",0.0694
"Miami",0.2345
"Louisiana",0.0514
"Utah State",-0.2816
"Marshall",-0.0533
"Syracuse",-0.0656
"Nevada",-0.124
"Florida Atlantic",-0.124
"Houston",-0.1391
"Northwestern",0.0599
"Troy",-0.2005
"Georgia Tech",-0.0099
"Colorado",-0.0278
"San Jose State",-0.2807
"California",-0.0316
"Western Kentucky",-0.2156
"Duke",-0.3241
"Kent State",-0.1439
"Air Force",-0.3524
"Toledo",-0.2759
"Tulsa",-0.0835
"Illinois",-0.2288
"Buffalo",-0.2873
"Tulane",-0.3373
"Louisiana Tech",-0.4014
"Washington State",-0.4278
"East Carolina",-0.4684
"South Alabama",-0.9911
"Eastern Michigan",-0.7703
"Miami (OH)",-0.5344
"Northern Illinois",-0.6165
"Central Michigan",-0.592
"Middle Tennessee",-0.7165
"Ball State",-0.7618
"Florida State",-0.5354
"Arkansas State",-0.8448
"Colorado State",-0.9392
"Charlotte",-1.1977
"Vanderbilt",-1.026
"Georgia State",-1.109
"Hawai'i",-0.9165
"Arizona",-0.8505
"South Florida",-1.1184
"Texas State",-1.1949
"New Mexico",-1.4883
"Kansas",-1.3354
"UTEP",-1.5581
"Southern Mississippi",-1.3958
"Temple",-1.4647
"Georgia Southern",-1.5081
"Old Dominion",-1.5411
"Florida International",-1.4949
"North Texas",-1.5458
"Bowling Green",-1.6128
"Navy",-1.5524
"Ohio",-1.4336
"UNLV",-1.5137
"Louisiana Monroe",-1.943
"Rice",-1.5666
"Akron",-2.177
"UMass",-2.1053
"New Mexico State",-2.3449
"Connecticut",-2.2912
