"team","laz"
"Georgia",2.562
"Michigan",2.2136
"Iowa",1.7093
"Alabama",1.7763
"Cincinnati",1.6213
"Michigan State",1.3887
"Ohio State",1.8624
"Penn State",1.6031
"Pittsburgh",1.6806
"Oklahoma",1.115
"Oklahoma State",1.0413
"Notre Dame",1.1619
"Wake Forest",0.9351
"Kentucky",0.8356
"Iowa State",1.3677
"Ole Miss",1.0815
"NC State",1.0586
"Baylor",0.8241
"Florida",1.3332
"Coastal Carolina",0.7916
"Auburn",0.8796
"Texas",1.0614
"UT San Antonio",0.3475
"Oregon",0.7983
"Texas A&M",0.7734
"Air Force",0.5447
"SMU",0.4375
"Arizona State",0.8145
"Utah",0.8806
"Liberty",0.8413
"Arkansas",0.8021
"Purdue",0.8145
"UCLA",0.7093
"Virginia",0.6021
"BYU",0.538
"Tennessee",0.96
"Clemson",0.7456
"Kansas State",0.8701
"Minnesota",0.7428
"Western Michigan",0.405
"Wisconsin",0.7954
"San Diego State",0.1686
"Nebraska",1.1103
"North Carolina",0.7399
"Oregon State",0.626
"Boise State",0.7581
"Fresno State",0.3772
"Houston",0.1868
"Nevada",0.1992
"LSU",0.3408
"UAB",0.1456
"Appalachian State",0.315
"Army",0.3083
"TCU",0.3753
"Rutgers",0.4519
"Mississippi State",0.3054
"Louisville",0.3456
"Louisiana",-0.1128
"Virginia Tech",0.3676
"Georgia Tech",0.2413
"USC",0.3619
"Maryland",-0.0716
"Utah State",-0.0515
"Texas Tech",-0.2209
"Boston College",-0.0429
"Stanford",0.2471
"Indiana",0.3255
"Northern Illinois",-0.3912
"Wyoming",-0.2515
"South Carolina",-0.0754
"Washington State",-0.0123
"Washington",0.4586
"Syracuse",0.2863
"Colorado State",0.0786
"Ball State",-0.2305
"Western Kentucky",0.3208
"Toledo",-0.0324
"Florida Atlantic",-0.0726
"Miami",0.0547
"Florida State",0.0509
"Memphis",-0.3108
"UCF",-0.2305
"Marshall",-0.2046
"Northwestern",-0.3223
"UTEP",-0.9779
"West Virginia",-0.1778
"East Carolina",-0.3711
"South Alabama",-0.6927
"Eastern Michigan",-0.6601
"Tulsa",-0.5214
"Illinois",-0.2697
"Kent State",-0.6506
"Louisiana Tech",-0.3893
"Missouri",-0.5281
"Troy",-0.7214
"Duke",-0.642
"Charlotte",-0.9357
"Middle Tennessee",-0.5683
"Colorado",-0.5376
"California",-0.2994
"Miami (OH)",-0.7453
"Buffalo",-0.6793
"Hawai'i",-0.8496
"San Jose State",-0.9558
"Georgia State",-0.9587
"Central Michigan",-1.175
"South Florida",-0.8161
"Temple",-1.4056
"Louisiana Monroe",-1.62
"Bowling Green",-1.0716
"Navy",-0.9654
"Vanderbilt",-1.218
"UNLV",-0.7664
"Texas State",-1.2582
"Tulane",-1.0726
"Old Dominion",-1.0956
"Georgia Southern",-1.5118
"Kansas",-1.6142
"Rice",-1.9396
"Arizona",-1.2716
"North Texas",-1.5405
"New Mexico",-1.7855
"Arkansas State",-1.6085
"UMass",-1.7798
"Akron",-1.8975
"Southern Mississippi",-1.7779
"Ohio",-1.7004
"Florida International",-2.0477
"New Mexico State",-2.1291
"Connecticut",-2.0401
