"team","laz"
"Georgia",2.4319
"Ohio State",2.0714
"Michigan",1.9426
"Alabama",1.9195
"Oklahoma State",1.2811
"Michigan State",1.3234
"Notre Dame",1.2859
"Oklahoma",1.1187
"Cincinnati",1.1235
"Wisconsin",1.5205
"Wake Forest",1.2033
"Iowa",1.1398
"Penn State",1.3302
"Ole Miss",1.135
"Pittsburgh",1.2754
"Oregon",0.9504
"Texas A&M",1.0831
"Iowa State",1.3052
"UT San Antonio",0.6706
"BYU",0.7793
"Baylor",0.9283
"NC State",1.0658
"Purdue",1.0446
"Utah",1.1581
"Auburn",0.8389
"Kansas State",0.7908
"Minnesota",0.9475
"Boise State",1.0619
"Houston",0.4139
"Appalachian State",0.6139
"Kentucky",0.7043
"Virginia",0.6783
"Coastal Carolina",0.4639
"Clemson",0.7254
"San Diego State",0.2563
"Arkansas",0.5216
"Nevada",0.4168
"North Carolina",0.7937
"Arizona State",0.6668
"Liberty",0.5639
"SMU",0.3716
"Fresno State",0.3332
"Utah State",0.1746
"Mississippi State",0.6226
"Air Force",0.4572
"Florida",0.935
"Tennessee",0.6764
"Texas",0.7226
"Army",0.4822
"Miami",0.4361
"Louisiana",-0.1533
"UCLA",0.5341
"Washington State",0.4139
"Nebraska",1.0014
"Western Kentucky",0.4851
"Oregon State",0.4418
"Syracuse",0.4582
"Louisville",0.486
"LSU",0.4447
"UCF",0.0803
"Marshall",0.2361
"UAB",-0.0495
"Rutgers",0.2159
"Maryland",-0.1196
"West Virginia",0.1832
"Illinois",0.2072
"Western Michigan",-0.0946
"Virginia Tech",0.2178
"TCU",0.0698
"Eastern Michigan",-0.3398
"Texas Tech",-0.2408
"Washington",0.2274
"Northern Illinois",-0.535
"South Carolina",-0.2446
"USC",0.1188
"Florida State",0.338
"East Carolina",-0.0591
"Memphis",-0.2388
"Boston College",-0.2148
"Toledo",-0.0023
"Florida Atlantic",-0.1783
"Georgia Tech",0.0073
"Ball State",-0.5465
"Wyoming",-0.5311
"California",0.0803
"Stanford",-0.0802
"Colorado State",-0.0706
"Indiana",-0.0764
"UTEP",-0.7811
"Missouri",-0.459
"Northwestern",-0.2523
"Kent State",-0.8157
"Tulsa",-0.4186
"Troy",-0.7695
"Middle Tennessee",-0.5042
"San Jose State",-0.7695
"Georgia State",-0.8167
"Miami (OH)",-0.6628
"Central Michigan",-0.8666
"South Alabama",-0.8974
"Colorado",-0.5628
"Hawai'i",-0.8224
"Charlotte",-1.1858
"Navy",-0.6638
"Buffalo",-0.8388
"Duke",-0.8618
"Louisiana Monroe",-1.3368
"Louisiana Tech",-0.708
"Old Dominion",-0.8522
"South Florida",-0.8426
"UNLV",-0.8945
"Bowling Green",-1.3704
"Tulane",-0.9705
"North Texas",-1.2954
"Texas State",-1.4868
"Arizona",-0.9282
"New Mexico",-1.5637
"Vanderbilt",-1.4752
"Rice",-1.8261
"Kansas",-1.5291
"Georgia Southern",-1.6108
"Ohio",-1.5819
"Temple",-2.0386
"Arkansas State",-1.6108
"Akron",-2.0376
"New Mexico State",-1.9559
"Southern Mississippi",-2.028
"Connecticut",-2.103
"UMass",-2.2213
"Florida International",-2.0126
