"team","laz"
"Georgia",2.4546
"Alabama",2.0585
"Michigan",2.0103
"Iowa",1.6713
"Notre Dame",1.4358
"Texas",1.6546
"Florida",1.6595
"Ohio State",1.6684
"Penn State",1.3206
"Oklahoma",1.3156
"Ole Miss",1.4221
"Arkansas",1.1353
"Oregon",1.1265
"Michigan State",1.0102
"Cincinnati",1.1767
"Oklahoma State",0.9018
"UCLA",1.1087
"BYU",0.7708
"Wake Forest",0.8102
"Texas A&M",1.0122
"Clemson",1.2486
"Kansas State",0.8772
"Rutgers",0.8398
"Auburn",0.8664
"LSU",0.8191
"Pittsburgh",0.8398
"Kentucky",0.5018
"Purdue",0.7659
"Iowa State",1.0358
"NC State",0.7787
"Baylor",0.5107
"Maryland",0.4644
"Oregon State",0.7195
"Arizona State",0.6673
"Army",0.4013
"Boise State",0.8427
"SMU",0.2949
"Coastal Carolina",0.3629
"Wisconsin",0.957
"Washington",0.8132
"North Carolina",0.8407
"Virginia Tech",0.4959
"Boston College",0.1845
"Fresno State",0.288
"Western Michigan",0.3461
"USC",0.6959
"Mississippi State",0.6151
"Louisville",0.352
"West Virginia",0.6407
"San Diego State",0.1097
"Utah",0.556
"UCF",0.4338
"TCU",0.3846
"Minnesota",0.5471
"Nebraska",0.6673
"Stanford",0.4791
"Appalachian State",0.1944
"UT San Antonio",-0.1258
"Indiana",0.4082
"UAB",0.1294
"Memphis",0.0949
"Virginia",0.3816
"Texas Tech",0.0781
"Air Force",0.0811
"Liberty",0.0801
"Georgia Tech",0.3156
"Wyoming",-0.2785
"Miami",0.2318
"Tennessee",0.291
"Syracuse",0.0023
"Louisiana",-0.049
"Missouri",0.1737
"Northwestern",0.1589
"South Carolina",0.1077
"Duke",-0.1623
"Toledo",-0.0431
"Nevada",-0.1583
"Houston",-0.3268
"Utah State",-0.3918
"Marshall",-0.1081
"Western Kentucky",-0.0736
"Tulsa",-0.1012
"Florida Atlantic",-0.3386
"California",-0.0706
"Eastern Michigan",-0.5988
"Louisiana Tech",-0.4362
"Buffalo",-0.3978
"Illinois",-0.1436
"San Jose State",-0.5712
"South Alabama",-0.9988
"Troy",-0.5968
"Northern Illinois",-0.6825
"Colorado",-0.3396
"Kent State",-0.4776
"Tulane",-0.4204
"Central Michigan",-0.7229
"Colorado State",-0.4963
"Charlotte",-1.0195
"East Carolina",-0.7495
"Washington State",-0.5347
"Florida State",-0.3652
"Miami (OH)",-0.6529
"Hawai'i",-0.9032
"Ball State",-0.8766
"South Florida",-0.8786
"Arkansas State",-0.8283
"Middle Tennessee",-0.9416
"Georgia State",-0.9909
"UTEP",-1.5446
"Vanderbilt",-1.1003
"Louisiana Monroe",-1.5486
"Bowling Green",-1.3781
"Arizona",-0.8993
"Temple",-1.4707
"Kansas",-1.3949
"Old Dominion",-1.3495
"Georgia Southern",-1.3781
"Southern Mississippi",-1.4776
"North Texas",-1.4599
"New Mexico",-1.719
"Navy",-1.3604
"Texas State",-1.5062
"UNLV",-1.3663
"Florida International",-1.5988
"Rice",-1.722
"Ohio",-1.6776
"Akron",-2.1476
"Connecticut",-2.0284
"UMass",-2.2254
"New Mexico State",-2.4915
