"team","donchess"
"Oklahoma",2.4351
"Alabama",2.3726
"Georgia",2.1883
"Cincinnati",1.9283
"Iowa",1.7475
"Ohio State",1.6708
"Penn State",1.476
"Oklahoma State",1.4289
"Texas",1.3278
"Florida",1.3078
"Michigan",1.2914
"Clemson",1.2899
"Texas A&M",1.2384
"Iowa State",1.228
"Notre Dame",1.2177
"Ole Miss",1.1829
"Kentucky",1.0917
"Arizona State",0.979
"Arkansas",0.9671
"Michigan State",0.9084
"Indiana",0.9029
"Oregon",0.8873
"Wisconsin",0.8355
"Baylor",0.8084
"TCU",0.8079
"Auburn",0.7891
"LSU",0.7322
"Coastal Carolina",0.6793
"NC State",0.6723
"Utah",0.6602
"SMU",0.6238
"Wake Forest",0.619
"Louisiana",0.6139
"Kansas State",0.6058
"Boise State",0.5969
"Pittsburgh",0.5965
"BYU",0.5874
"Maryland",0.5857
"Liberty",0.5446
"North Carolina",0.5224
"Mississippi State",0.5198
"Texas Tech",0.4836
"Nevada",0.4363
"Boston College",0.4125
"USC",0.4016
"Miami",0.4009
"Wyoming",0.3813
"Virginia",0.3789
"Nebraska",0.3775
"UCLA",0.3731
"Appalachian State",0.3614
"Tennessee",0.3234
"Rutgers",0.313
"West Virginia",0.2851
"Air Force",0.2599
"UT San Antonio",0.2555
"Virginia Tech",0.2246
"Missouri",0.1926
"UAB",0.1905
"Minnesota",0.1821
"San Diego State",0.1394
"UCF",0.1354
"Stanford",0.1071
"Purdue",0.0846
"Army",0.0739
"Louisville",0.0604
"Houston",0.0593
"Washington",0.054
"Western Michigan",0.0433
"Georgia Tech",0.0341
"Toledo",0.0323
"Oregon State",0.03
"Northwestern",0.0154
"Ball State",-0.0699
"Fresno State",-0.1111
"South Carolina",-0.1697
"Memphis",-0.1795
"Florida State",-0.1976
"Colorado State",-0.2184
"Utah State",-0.2269
"Syracuse",-0.2293
"San Jose State",-0.2371
"Tulsa",-0.2633
"Illinois",-0.2984
"Kent State",-0.2992
"Washington State",-0.3099
"Northern Illinois",-0.3789
"East Carolina",-0.3941
"Florida Atlantic",-0.4392
"Eastern Michigan",-0.4419
"Marshall",-0.4511
"California",-0.5432
"Duke",-0.5473
"Colorado",-0.5481
"Buffalo",-0.561
"Georgia State",-0.5698
"Tulane",-0.5742
"Hawai'i",-0.5886
"Central Michigan",-0.5938
"Western Kentucky",-0.6341
"Troy",-0.6506
"Louisiana Tech",-0.7117
"Middle Tennessee",-0.713
"Miami (OH)",-0.7536
"UTEP",-0.7969
"Vanderbilt",-0.824
"Georgia Southern",-0.8893
"Charlotte",-0.9066
"Kansas",-0.9908
"Temple",-1.0046
"New Mexico",-1.0176
"Rice",-1.0486
"South Alabama",-1.0487
"Ohio",-1.0648
"Navy",-1.1067
"South Florida",-1.1499
"North Texas",-1.1789
"Texas State",-1.2575
"Arkansas State",-1.3339
"Bowling Green",-1.5488
"Southern Mississippi",-1.5668
"Louisiana Monroe",-1.6387
"Akron",-1.6523
"Florida International",-1.7423
"Old Dominion",-1.8731
"UNLV",-1.893
"Arizona",-1.9611
"UMass",-2.1671
"New Mexico State",-2.9354
"Connecticut",-3.069
