"team","donchess"
"Alabama",2.906
"Georgia",2.1038
"Oklahoma",2.065
"Cincinnati",1.9208
"Ohio State",1.7238
"Iowa",1.5746
"Penn State",1.5311
"Texas",1.3285
"Clemson",1.2935
"Florida",1.286
"Oklahoma State",1.2599
"Michigan",1.236
"Iowa State",1.2297
"Notre Dame",1.2081
"Texas A&M",1.1311
"Ole Miss",1.0973
"Arizona State",1.0255
"Arkansas",0.9985
"Indiana",0.976
"Oregon",0.9322
"Auburn",0.9133
"LSU",0.8659
"Kentucky",0.8254
"Michigan State",0.802
"Wisconsin",0.8002
"BYU",0.7887
"North Carolina",0.7472
"Maryland",0.6806
"NC State",0.6574
"Louisiana",0.6454
"TCU",0.6366
"Texas Tech",0.629
"USC",0.6274
"Coastal Carolina",0.6002
"Utah",0.5998
"Miami",0.5488
"Baylor",0.5314
"Kansas State",0.506
"Mississippi State",0.5056
"Boise State",0.503
"Liberty",0.4885
"Nebraska",0.481
"SMU",0.4797
"Wyoming",0.4707
"Rutgers",0.4538
"Wake Forest",0.4478
"Pittsburgh",0.4404
"Nevada",0.4179
"West Virginia",0.3927
"UCLA",0.3861
"Appalachian State",0.3636
"Minnesota",0.3569
"Boston College",0.3375
"Virginia",0.3201
"Virginia Tech",0.2548
"Washington",0.2363
"UCF",0.2049
"Purdue",0.2028
"UT San Antonio",0.1905
"Missouri",0.1845
"UAB",0.1832
"Oregon State",0.1785
"Tennessee",0.1538
"Western Michigan",0.1396
"Stanford",0.1185
"Army",0.0961
"Air Force",0.095
"Northwestern",0.0935
"Toledo",0.0808
"Memphis",0.0399
"San Diego State",0.0318
"San Jose State",-0.0033
"Houston",-0.0236
"Louisville",-0.0654
"South Carolina",-0.1038
"Fresno State",-0.1044
"Georgia Tech",-0.1353
"Syracuse",-0.1558
"Illinois",-0.1941
"Tulsa",-0.1959
"Ball State",-0.2232
"Marshall",-0.2816
"Florida Atlantic",-0.2968
"Utah State",-0.3199
"East Carolina",-0.3313
"Washington State",-0.3493
"Tulane",-0.3598
"Buffalo",-0.4104
"Colorado State",-0.4341
"Colorado",-0.4607
"Florida State",-0.4922
"Hawai'i",-0.5129
"California",-0.5137
"Duke",-0.5176
"Kent State",-0.5371
"Troy",-0.5646
"Georgia State",-0.5729
"Eastern Michigan",-0.6151
"Northern Illinois",-0.6156
"Western Kentucky",-0.6878
"Middle Tennessee",-0.697
"Central Michigan",-0.7146
"Georgia Southern",-0.7151
"Miami (OH)",-0.7322
"Louisiana Tech",-0.7352
"UTEP",-0.8757
"Ohio",-0.9124
"South Alabama",-0.9189
"Vanderbilt",-0.9485
"New Mexico",-0.9837
"Navy",-0.9943
"Rice",-1.0267
"Charlotte",-1.0339
"Temple",-1.102
"Kansas",-1.1245
"Arkansas State",-1.1467
"North Texas",-1.1828
"Southern Mississippi",-1.3014
"South Florida",-1.3121
"Texas State",-1.3717
"Bowling Green",-1.4587
"Florida International",-1.5912
"Louisiana Monroe",-1.6527
"Akron",-1.7254
"UNLV",-1.901
"Old Dominion",-1.9449
"Arizona",-1.9607
"UMass",-2.3881
"Connecticut",-2.8879
"New Mexico State",-3.1446
