"team","donchess"
"Alabama",2.9277
"Georgia",1.9227
"Oklahoma",1.8943
"Texas A&M",1.8398
"Ohio State",1.7997
"Cincinnati",1.6621
"Iowa",1.4662
"Clemson",1.4321
"Penn State",1.4189
"Iowa State",1.4106
"Florida",1.3162
"Notre Dame",1.1853
"Texas",1.1799
"Indiana",1.1764
"Oklahoma State",1.1334
"Oregon",1.0673
"Ole Miss",1.0212
"North Carolina",1.0075
"Wisconsin",0.9903
"Michigan",0.9588
"LSU",0.9584
"TCU",0.8913
"Arkansas",0.863
"USC",0.8586
"Miami",0.8494
"Auburn",0.8313
"Michigan State",0.7711
"Utah",0.7547
"Maryland",0.7485
"Liberty",0.7073
"Minnesota",0.6995
"Arizona State",0.6493
"Boise State",0.6025
"Washington",0.5859
"Rutgers",0.5777
"Texas Tech",0.5364
"Louisiana",0.5269
"Missouri",0.5088
"UCF",0.4805
"NC State",0.476
"Memphis",0.4731
"West Virginia",0.471
"Coastal Carolina",0.4226
"Mississippi State",0.4211
"Kansas State",0.4136
"BYU",0.4065
"Wyoming",0.3928
"Kentucky",0.3928
"UAB",0.3719
"Nebraska",0.3593
"Northwestern",0.3456
"Nevada",0.3205
"Purdue",0.3088
"UCLA",0.2824
"Baylor",0.2807
"Appalachian State",0.2761
"Virginia",0.2687
"SMU",0.2066
"Army",0.2033
"Virginia Tech",0.161
"Boston College",0.15
"San Jose State",0.1435
"Tulsa",0.1036
"Pittsburgh",0.1008
"Wake Forest",0.0943
"Stanford",0.0795
"Marshall",0.059
"UT San Antonio",0.0118
"San Diego State",-0.0094
"Air Force",-0.0631
"California",-0.0647
"Fresno State",-0.0704
"Illinois",-0.1093
"Tulane",-0.1113
"Colorado",-0.1423
"Tennessee",-0.1446
"Florida Atlantic",-0.1606
"Troy",-0.1653
"Oregon State",-0.1803
"Syracuse",-0.187
"South Carolina",-0.2197
"Louisville",-0.247
"Houston",-0.2732
"Ball State",-0.2886
"Washington State",-0.3096
"Georgia State",-0.3158
"Buffalo",-0.3405
"Toledo",-0.3489
"Utah State",-0.3606
"Florida State",-0.3611
"Georgia Tech",-0.4334
"Western Michigan",-0.4493
"East Carolina",-0.4599
"Kent State",-0.4658
"Colorado State",-0.5664
"Hawai'i",-0.574
"Western Kentucky",-0.5974
"Middle Tennessee",-0.5979
"Duke",-0.5991
"New Mexico",-0.6476
"Eastern Michigan",-0.6973
"Georgia Southern",-0.7284
"Louisiana Tech",-0.7447
"Miami (OH)",-0.7734
"Central Michigan",-0.7856
"Arkansas State",-0.91
"Kansas",-0.9256
"Navy",-0.935
"South Alabama",-0.9694
"Rice",-0.9885
"Southern Mississippi",-0.9942
"UTEP",-0.9983
"North Texas",-1.0151
"Vanderbilt",-1.0174
"Ohio",-1.0387
"Northern Illinois",-1.0845
"Texas State",-1.0925
"Charlotte",-1.1067
"Florida International",-1.2544
"South Florida",-1.4083
"Temple",-1.4927
"Arizona",-1.5977
"Akron",-1.7011
"UNLV",-1.7223
"Old Dominion",-1.7993
"Bowling Green",-1.9477
"Louisiana Monroe",-2.0453
"UMass",-2.1963
"Connecticut",-3.1391
"New Mexico State",-3.2349
