"team","donchess"
"Georgia",2.5748
"Oklahoma",2.2126
"Cincinnati",2.0494
"Alabama",1.9996
"Michigan",1.936
"Oklahoma State",1.5431
"Ohio State",1.4861
"Iowa State",1.4187
"Notre Dame",1.3774
"Baylor",1.3181
"Kentucky",1.3082
"Ole Miss",1.25
"Iowa",1.226
"Michigan State",1.1923
"San Diego State",1.1833
"Wake Forest",1.1764
"Oregon",1.0904
"Texas",1.0818
"Wisconsin",1.0646
"SMU",1.0552
"Penn State",1.0106
"Texas A&M",0.9732
"Auburn",0.9659
"Pittsburgh",0.9234
"Arkansas",0.8705
"Florida",0.8586
"Kansas State",0.8404
"BYU",0.7987
"Utah",0.7819
"Louisiana",0.7698
"Clemson",0.7668
"Arizona State",0.7567
"UT San Antonio",0.7479
"Purdue",0.6656
"Virginia",0.6103
"LSU",0.563
"Air Force",0.5183
"Coastal Carolina",0.5039
"UCLA",0.4892
"Boise State",0.4719
"NC State",0.4569
"North Carolina",0.4558
"Mississippi State",0.4439
"Fresno State",0.4323
"Nevada",0.4137
"TCU",0.4003
"Oregon State",0.3959
"Minnesota",0.3742
"Louisville",0.3718
"Appalachian State",0.3705
"West Virginia",0.3463
"Nebraska",0.3213
"Maryland",0.2911
"USC",0.2809
"Miami",0.2656
"Texas Tech",0.2517
"Tennessee",0.2357
"Houston",0.202
"Stanford",0.1778
"Liberty",0.1547
"Army",0.1305
"Utah State",0.1165
"Western Michigan",0.094
"Georgia Tech",0.0611
"Wyoming",0.0458
"Indiana",0.0263
"UCF",0.0208
"Illinois",0.0183
"Rutgers",0.0029
"Northern Illinois",-0.0326
"Virginia Tech",-0.0453
"Toledo",-0.0541
"Washington State",-0.0866
"Florida State",-0.1285
"Northwestern",-0.1767
"Boston College",-0.1886
"South Carolina",-0.1949
"Colorado State",-0.1973
"Ball State",-0.2036
"UAB",-0.2038
"Syracuse",-0.2629
"Washington",-0.285
"Miami (OH)",-0.3205
"Florida Atlantic",-0.3582
"Kent State",-0.3615
"Eastern Michigan",-0.3666
"Memphis",-0.373
"Tulsa",-0.3844
"Missouri",-0.3981
"California",-0.4552
"Western Kentucky",-0.4557
"Georgia State",-0.4608
"San Jose State",-0.5266
"UTEP",-0.5579
"Duke",-0.5637
"Hawai'i",-0.5753
"Marshall",-0.6069
"Troy",-0.6374
"Central Michigan",-0.6526
"Rice",-0.7173
"New Mexico",-0.7276
"East Carolina",-0.7332
"Buffalo",-0.7374
"Middle Tennessee",-0.8077
"South Alabama",-0.8387
"Louisiana Tech",-0.8705
"Charlotte",-0.8736
"South Florida",-0.8782
"Vanderbilt",-0.9893
"Temple",-1.0587
"Louisiana Monroe",-1.0617
"Colorado",-1.0654
"Kansas",-1.0655
"Navy",-1.1546
"Georgia Southern",-1.1625
"Texas State",-1.3562
"Bowling Green",-1.3695
"Ohio",-1.4335
"Arkansas State",-1.4535
"Tulane",-1.4794
"Southern Mississippi",-1.6483
"North Texas",-1.7211
"Old Dominion",-1.7559
"Akron",-1.7771
"Florida International",-1.8813
"UNLV",-1.9354
"UMass",-2.007
"Connecticut",-2.1973
"Arizona",-2.2718
"New Mexico State",-2.4458
