"team","donchess"
"Cincinnati",2.6763
"Georgia",2.4826
"Alabama",2.1121
"Ohio State",1.9749
"Notre Dame",1.9537
"Michigan",1.701
"Oklahoma",1.6517
"Oklahoma State",1.5585
"Wisconsin",1.3627
"Baylor",1.3479
"Ole Miss",1.193
"Clemson",1.1706
"Texas A&M",1.1269
"UT San Antonio",1.0972
"Michigan State",1.0968
"Iowa State",1.0844
"Iowa",1.0833
"Utah",1.0441
"Penn State",0.9852
"Pittsburgh",0.9587
"Oregon",0.9498
"Wake Forest",0.9102
"BYU",0.901
"Purdue",0.878
"Arkansas",0.8699
"NC State",0.8374
"Kansas State",0.8184
"Louisiana",0.7748
"Auburn",0.7548
"Mississippi State",0.709
"San Diego State",0.681
"Boise State",0.6637
"Houston",0.6603
"Appalachian State",0.6175
"Kentucky",0.6019
"Tennessee",0.5576
"Miami",0.5267
"West Virginia",0.5119
"Arizona State",0.5113
"SMU",0.5051
"Texas",0.5026
"North Carolina",0.4978
"Fresno State",0.4944
"UCLA",0.4888
"Air Force",0.4468
"Virginia",0.4401
"Minnesota",0.4393
"Louisville",0.4294
"Florida",0.4207
"TCU",0.3997
"LSU",0.3712
"Army",0.3448
"Texas Tech",0.3348
"Nevada",0.3336
"Oregon State",0.3194
"Coastal Carolina",0.2571
"South Carolina",0.1682
"Maryland",0.1628
"UCF",0.1433
"Nebraska",0.1423
"Florida State",0.1312
"Missouri",0.0934
"Rutgers",0.0707
"Liberty",0.0546
"USC",0.0445
"Washington State",0.0238
"Western Kentucky",0.0183
"Illinois",0.0156
"Utah State",-0.0304
"Virginia Tech",-0.0463
"Boston College",-0.0471
"East Carolina",-0.0932
"California",-0.1003
"Wyoming",-0.1044
"Syracuse",-0.1304
"Northern Illinois",-0.1357
"Central Michigan",-0.145
"Marshall",-0.1891
"Washington",-0.1928
"Western Michigan",-0.2009
"UAB",-0.2225
"Georgia Tech",-0.2348
"Memphis",-0.25
"Toledo",-0.2526
"Georgia State",-0.2865
"Tulsa",-0.335
"Miami (OH)",-0.3464
"Indiana",-0.3753
"Stanford",-0.414
"Kent State",-0.4309
"Ball State",-0.4344
"Northwestern",-0.4685
"Eastern Michigan",-0.5016
"Colorado State",-0.5294
"Colorado",-0.5334
"San Jose State",-0.58
"Hawai'i",-0.7139
"Florida Atlantic",-0.7679
"Troy",-0.7707
"Navy",-0.8012
"Kansas",-0.8144
"Duke",-0.8817
"UTEP",-0.8945
"Tulane",-0.8953
"UNLV",-0.9757
"South Alabama",-1.0108
"Middle Tennessee",-1.0202
"Buffalo",-1.0592
"Old Dominion",-1.0919
"North Texas",-1.1068
"Ohio",-1.1137
"New Mexico",-1.1668
"South Florida",-1.2174
"Arizona",-1.2214
"Vanderbilt",-1.2456
"Louisiana Tech",-1.2471
"Charlotte",-1.2925
"Louisiana Monroe",-1.2994
"Georgia Southern",-1.3199
"Temple",-1.3595
"Rice",-1.366
"Bowling Green",-1.3989
"Texas State",-1.4248
"Arkansas State",-1.4857
"Southern Mississippi",-1.7915
"Akron",-1.9342
"New Mexico State",-2.1624
"Connecticut",-2.2773
"Florida International",-2.3503
"UMass",-2.4015
