"team","donchess"
"Georgia",2.4881
"Cincinnati",2.4794
"Oklahoma",2.1176
"Michigan State",2.0542
"Alabama",1.8958
"Michigan",1.7864
"Notre Dame",1.7542
"Ohio State",1.6222
"Wake Forest",1.5057
"Oklahoma State",1.4415
"Baylor",1.4003
"Auburn",1.1839
"Wisconsin",1.1723
"Iowa State",1.154
"Oregon",1.1282
"Ole Miss",1.0472
"Iowa",1.0386
"Texas",0.9682
"Texas A&M",0.94
"Penn State",0.9032
"UT San Antonio",0.8958
"BYU",0.8833
"Arkansas",0.8721
"Kansas State",0.8265
"Utah",0.7667
"Kentucky",0.7285
"Pittsburgh",0.7189
"Purdue",0.6976
"Louisiana",0.696
"Clemson",0.6905
"Florida",0.6752
"Fresno State",0.6579
"San Diego State",0.6317
"Virginia",0.583
"NC State",0.5777
"Coastal Carolina",0.5764
"Mississippi State",0.5584
"West Virginia",0.5579
"Boise State",0.5482
"Nevada",0.5344
"Miami",0.5333
"Appalachian State",0.4973
"Minnesota",0.4868
"SMU",0.4713
"Air Force",0.4707
"Arizona State",0.4395
"North Carolina",0.4275
"LSU",0.426
"Houston",0.4003
"Maryland",0.3819
"UCLA",0.3774
"TCU",0.3068
"Texas Tech",0.2988
"Oregon State",0.2878
"USC",0.2744
"Louisville",0.2098
"Army",0.1973
"Utah State",0.188
"Tennessee",0.1825
"UCF",0.1796
"Nebraska",0.1674
"Liberty",0.1423
"Rutgers",0.1339
"Virginia Tech",0.0973
"Washington State",0.0821
"Western Michigan",0.0306
"Washington",0.0257
"Stanford",-0.0248
"Indiana",-0.0288
"Northern Illinois",-0.0769
"Illinois",-0.0815
"California",-0.0878
"Toledo",-0.0986
"Syracuse",-0.1032
"Georgia Tech",-0.1033
"Wyoming",-0.1131
"Florida State",-0.1735
"South Carolina",-0.225
"Western Kentucky",-0.2273
"Colorado State",-0.2654
"Ball State",-0.2691
"Florida Atlantic",-0.3007
"UAB",-0.3166
"Miami (OH)",-0.317
"Marshall",-0.3216
"Missouri",-0.334
"Memphis",-0.3469
"Boston College",-0.3498
"Eastern Michigan",-0.3736
"Northwestern",-0.3852
"Kent State",-0.3913
"Georgia State",-0.3914
"San Jose State",-0.415
"East Carolina",-0.5051
"Tulsa",-0.5474
"Hawai'i",-0.5908
"Duke",-0.6559
"Central Michigan",-0.6694
"UTEP",-0.6926
"Troy",-0.704
"Middle Tennessee",-0.7067
"South Alabama",-0.8091
"Navy",-0.8281
"New Mexico",-0.8621
"Charlotte",-0.9507
"Buffalo",-0.9526
"Colorado",-0.9693
"Louisiana Tech",-0.9974
"Louisiana Monroe",-1.0406
"South Florida",-1.0502
"Kansas",-1.0795
"Rice",-1.0965
"Vanderbilt",-1.1375
"Temple",-1.1557
"Bowling Green",-1.2483
"Georgia Southern",-1.3186
"Texas State",-1.3404
"North Texas",-1.3887
"Old Dominion",-1.4804
"Arkansas State",-1.4955
"Tulane",-1.5529
"Ohio",-1.5538
"Southern Mississippi",-1.8196
"Akron",-1.8478
"UNLV",-1.8626
"Florida International",-1.8716
"UMass",-2.01
"Connecticut",-2.0582
"Arizona",-2.169
"New Mexico State",-2.3338
