"team","donchess"
"Alabama",3.0207
"Georgia",2.029
"Oklahoma",1.9825
"Ohio State",1.7738
"Cincinnati",1.7257
"Iowa",1.5256
"Texas A&M",1.4747
"Florida",1.4385
"Penn State",1.3903
"Notre Dame",1.3586
"Clemson",1.3549
"Iowa State",1.2542
"Texas",1.2493
"Oklahoma State",1.2327
"Indiana",1.1512
"Ole Miss",1.0837
"Oregon",1.0696
"Arkansas",1.0688
"Michigan",1.0624
"LSU",1.0008
"Wisconsin",0.964
"Auburn",0.8837
"Michigan State",0.8398
"Miami",0.7996
"North Carolina",0.7971
"Arizona State",0.766
"Maryland",0.7639
"TCU",0.7538
"BYU",0.6785
"Boise State",0.6639
"Louisiana",0.6546
"NC State",0.589
"Kentucky",0.5712
"Utah",0.5707
"Washington",0.5522
"UCF",0.5402
"West Virginia",0.5075
"SMU",0.5056
"Coastal Carolina",0.5031
"USC",0.4784
"Baylor",0.4759
"Rutgers",0.4627
"Northwestern",0.4349
"Texas Tech",0.4317
"UAB",0.426
"Missouri",0.4216
"Kansas State",0.4101
"UCLA",0.3982
"Mississippi State",0.3782
"Wyoming",0.3541
"Boston College",0.333
"Purdue",0.324
"Wake Forest",0.3032
"Appalachian State",0.301
"Liberty",0.2993
"Pittsburgh",0.2745
"Memphis",0.2652
"Army",0.2519
"Minnesota",0.2487
"Virginia Tech",0.2419
"Nevada",0.2411
"Nebraska",0.2395
"Virginia",0.1751
"UT San Antonio",0.1532
"Tulsa",0.1303
"Toledo",0.0295
"Oregon State",-0.0085
"Air Force",-0.0233
"Louisville",-0.0244
"San Diego State",-0.0421
"Fresno State",-0.0448
"Stanford",-0.0681
"San Jose State",-0.0737
"Syracuse",-0.0746
"Western Michigan",-0.0862
"Tennessee",-0.0986
"Georgia Tech",-0.1213
"Marshall",-0.1412
"Tulane",-0.1684
"California",-0.2059
"South Carolina",-0.2351
"Houston",-0.2595
"Illinois",-0.2893
"Florida Atlantic",-0.3115
"Buffalo",-0.3218
"Ball State",-0.3371
"Utah State",-0.4075
"Colorado",-0.4214
"Georgia State",-0.4232
"Duke",-0.4301
"Kent State",-0.4693
"Colorado State",-0.476
"Troy",-0.4818
"Eastern Michigan",-0.4852
"East Carolina",-0.4855
"Florida State",-0.5155
"Central Michigan",-0.5879
"Washington State",-0.5959
"Hawai'i",-0.6214
"Western Kentucky",-0.6281
"Louisiana Tech",-0.6998
"Georgia Southern",-0.7499
"Northern Illinois",-0.7758
"Middle Tennessee",-0.8253
"UTEP",-0.8594
"Miami (OH)",-0.873
"New Mexico",-0.8773
"Ohio",-0.9091
"South Alabama",-0.923
"Charlotte",-0.9535
"Arkansas State",-0.9837
"Vanderbilt",-1.0482
"Rice",-1.1033
"North Texas",-1.1266
"Navy",-1.1485
"Kansas",-1.1509
"Southern Mississippi",-1.2224
"Texas State",-1.2679
"Temple",-1.3863
"Florida International",-1.4482
"South Florida",-1.4989
"Bowling Green",-1.5356
"Akron",-1.6482
"Louisiana Monroe",-1.6929
"Old Dominion",-1.8794
"UNLV",-1.9013
"Arizona",-1.9689
"UMass",-2.2833
"Connecticut",-2.8239
"New Mexico State",-3.1057
