"team","donchess"
"Oklahoma",2.4708
"Georgia",2.4631
"Alabama",2.2284
"Cincinnati",1.9561
"Oklahoma State",1.8115
"Ohio State",1.5226
"Michigan",1.4784
"Penn State",1.4425
"Iowa",1.3625
"Iowa State",1.263
"Baylor",1.23
"Notre Dame",1.2294
"Clemson",1.2273
"Ole Miss",1.2247
"Texas",1.2128
"Kentucky",1.201
"Texas A&M",1.1225
"Florida",1.0588
"Michigan State",1.0232
"Auburn",0.9808
"Oregon",0.922
"Pittsburgh",0.892
"Utah",0.8474
"NC State",0.84
"Wisconsin",0.8372
"Arkansas",0.8318
"Arizona State",0.7965
"LSU",0.7818
"SMU",0.7811
"Louisiana",0.7755
"TCU",0.771
"Wake Forest",0.714
"Kansas State",0.6653
"Coastal Carolina",0.6569
"BYU",0.6194
"Purdue",0.5984
"UT San Antonio",0.5869
"Mississippi State",0.5506
"San Diego State",0.5241
"Air Force",0.5208
"UCLA",0.4885
"Indiana",0.472
"Nevada",0.4694
"Texas Tech",0.456
"North Carolina",0.4446
"Boise State",0.4425
"Maryland",0.4227
"USC",0.4125
"Virginia",0.393
"Nebraska",0.3344
"Minnesota",0.3034
"Tennessee",0.2921
"Fresno State",0.2836
"Wyoming",0.2454
"Appalachian State",0.2394
"Western Michigan",0.2307
"Liberty",0.2108
"West Virginia",0.1931
"Boston College",0.185
"Oregon State",0.1628
"Louisville",0.1221
"Stanford",0.1088
"Rutgers",0.1049
"Georgia Tech",0.0992
"Houston",0.082
"Virginia Tech",0.0818
"Miami",0.0754
"Army",0.0558
"UAB",0.0438
"Ball State",0.005
"Utah State",-0.0301
"Northwestern",-0.0722
"UCF",-0.0833
"Toledo",-0.0922
"Washington State",-0.1078
"South Carolina",-0.1124
"Missouri",-0.1162
"Colorado State",-0.1935
"Washington",-0.2108
"Northern Illinois",-0.2418
"Memphis",-0.2466
"Florida State",-0.2474
"Illinois",-0.2751
"Syracuse",-0.3724
"Tulsa",-0.3729
"Kent State",-0.3858
"San Jose State",-0.3961
"Eastern Michigan",-0.4702
"East Carolina",-0.4904
"Western Kentucky",-0.5023
"California",-0.5267
"Georgia State",-0.5361
"Florida Atlantic",-0.5381
"Central Michigan",-0.5434
"Marshall",-0.5881
"Troy",-0.5938
"Colorado",-0.595
"Hawai'i",-0.5951
"Duke",-0.6343
"Miami (OH)",-0.6374
"Buffalo",-0.6702
"UTEP",-0.7316
"Middle Tennessee",-0.7709
"South Alabama",-0.8107
"Charlotte",-0.8158
"Tulane",-0.8846
"Temple",-0.9007
"Louisiana Tech",-0.9472
"Vanderbilt",-0.9654
"Kansas",-1.0469
"New Mexico",-1.1241
"Georgia Southern",-1.1282
"South Florida",-1.1373
"Rice",-1.1596
"Ohio",-1.2154
"Louisiana Monroe",-1.25
"Navy",-1.2516
"Texas State",-1.3177
"Bowling Green",-1.419
"Arkansas State",-1.4257
"North Texas",-1.5764
"Southern Mississippi",-1.6314
"Akron",-1.6529
"UNLV",-1.8354
"Florida International",-1.8535
"Old Dominion",-1.9891
"UMass",-1.9984
"Arizona",-2.0782
"Connecticut",-2.3491
"New Mexico State",-2.7381
