"team","argh"
"Georgia",2.1519
"Cincinnati",1.7842
"Ohio State",1.6599
"Michigan",1.6599
"Alabama",1.6236
"Oklahoma",1.5925
"Michigan State",1.5563
"Wake Forest",1.4682
"Notre Dame",1.4527
"Baylor",1.3698
"Oklahoma State",1.3284
"UT San Antonio",1.2973
"Iowa",1.2973
"Auburn",1.2092
"Wisconsin",1.1937
"Texas A&M",1.1263
"Ole Miss",1.0383
"Oregon",1.0331
"Pittsburgh",1.0124
"Minnesota",1.0072
"Penn State",1.002
"NC State",0.9968
"Coastal Carolina",0.9709
"Houston",0.9709
"BYU",0.9347
"Purdue",0.914
"Clemson",0.8829
"Iowa State",0.857
"San Diego State",0.8466
"Air Force",0.8104
"Kentucky",0.8052
"Appalachian State",0.7948
"Texas",0.7793
"Arkansas",0.7741
"Fresno State",0.7689
"SMU",0.7638
"Liberty",0.743
"Louisiana",0.7327
"Boise State",0.7068
"Utah",0.6705
"Florida",0.6343
"Virginia",0.6187
"Kansas State",0.6084
"Miami",0.598
"Nevada",0.5773
"Mississippi State",0.5514
"West Virginia",0.5255
"UCF",0.3701
"Arizona State",0.3701
"Nebraska",0.3701
"Oregon State",0.3701
"Maryland",0.3546
"Tennessee",0.339
"North Carolina",0.3131
"Louisville",0.2924
"Army",0.2872
"LSU",0.282
"Syracuse",0.2717
"Utah State",0.2665
"UCLA",0.2665
"Rutgers",0.2199
"Western Michigan",0.2147
"Marshall",0.1577
"Toledo",0.137
"Washington State",0.1163
"UAB",0.1007
"Northern Illinois",0.1007
"Florida Atlantic",0.0956
"Virginia Tech",0.08
"USC",0.0023
"Texas Tech",-0.008
"Eastern Michigan",-0.0391
"Boston College",-0.0754
"Miami (OH)",-0.1013
"TCU",-0.1064
"Florida State",-0.1116
"East Carolina",-0.1531
"Western Kentucky",-0.1531
"Washington",-0.1945
"UTEP",-0.2359
"South Carolina",-0.2463
"Ball State",-0.2567
"Stanford",-0.3033
"Illinois",-0.3085
"Georgia Tech",-0.3603
"Indiana",-0.3706
"California",-0.3861
"Memphis",-0.4431
"Kent State",-0.4483
"Missouri",-0.4794
"Georgia State",-0.4949
"Middle Tennessee",-0.4949
"Troy",-0.526
"Colorado State",-0.526
"Wyoming",-0.5519
"South Alabama",-0.5674
"San Jose State",-0.583
"Central Michigan",-0.6244
"Buffalo",-0.6762
"Northwestern",-0.7177
"Hawai'i",-0.7384
"Louisiana Monroe",-0.8005
"Tulsa",-0.8264
"Tulane",-0.9041
"Navy",-0.9041
"Charlotte",-0.9456
"Louisiana Tech",-1.0129
"Duke",-1.0284
"Colorado",-1.0802
"Bowling Green",-1.1269
"South Florida",-1.1424
"Old Dominion",-1.1838
"Rice",-1.2046
"New Mexico",-1.2253
"Temple",-1.2978
"North Texas",-1.334
"Georgia Southern",-1.3858
"Texas State",-1.4843
"Kansas",-1.6552
"Akron",-1.6759
"Arkansas State",-1.7122
"Ohio",-1.7329
"Vanderbilt",-1.7484
"New Mexico State",-1.7847
"UNLV",-1.8054
"Florida International",-1.8158
"Arizona",-1.909
"Southern Mississippi",-1.9142
"UMass",-1.9245
"Connecticut",-2.1369
