"team","argh"
"Georgia",2.1998
"Cincinnati",1.7962
"Michigan",1.7693
"Iowa",1.6564
"Oklahoma",1.6402
"Alabama",1.5649
"Penn State",1.4896
"Ohio State",1.4519
"Michigan State",1.4465
"Oklahoma State",1.4035
"Notre Dame",1.2905
"Coastal Carolina",1.269
"Baylor",1.2582
"Wake Forest",1.2475
"UT San Antonio",1.1883
"Auburn",1.1614
"Clemson",1.1237
"Kentucky",1.1183
"Pittsburgh",1.113
"NC State",1.0968
"Ole Miss",1.0592
"Texas A&M",1.0161
"Purdue",0.9946
"Air Force",0.9731
"Texas",0.9462
"Iowa State",0.93
"SMU",0.9139
"San Diego State",0.8816
"Oregon",0.844
"Arizona State",0.7901
"Arkansas",0.7632
"Florida",0.7471
"Houston",0.731
"Utah",0.7256
"Louisiana",0.7148
"Virginia",0.6772
"BYU",0.6772
"Wisconsin",0.6718
"Minnesota",0.661
"UCLA",0.661
"Liberty",0.6503
"Nevada",0.6395
"Boise State",0.5588
"Western Michigan",0.548
"Fresno State",0.5211
"UAB",0.4996
"Tennessee",0.4781
"LSU",0.4673
"Nebraska",0.462
"Oregon State",0.462
"Boston College",0.462
"Appalachian State",0.4189
"Army",0.4189
"Maryland",0.392
"Kansas State",0.3544
"North Carolina",0.3059
"TCU",0.2414
"USC",0.1929
"Texas Tech",0.1876
"Mississippi State",0.1607
"West Virginia",0.1284
"Ball State",0.1176
"Louisville",0.0961
"Wyoming",0.0746
"Miami",0.0692
"Indiana",0.0531
"Northern Illinois",0.0477
"Rutgers",0.0315
"South Carolina",0.0046
"Stanford",-0.033
"Toledo",-0.0492
"Virginia Tech",-0.0653
"UCF",-0.0868
"Utah State",-0.0922
"Georgia Tech",-0.0922
"Washington State",-0.1299
"UTEP",-0.1352
"Marshall",-0.146
"Florida Atlantic",-0.1568
"Syracuse",-0.1944
"Eastern Michigan",-0.2321
"Miami (OH)",-0.3074
"East Carolina",-0.3236
"Memphis",-0.3236
"Colorado State",-0.3774
"South Alabama",-0.3827
"Troy",-0.3989
"Washington",-0.3989
"Kent State",-0.4096
"Missouri",-0.4473
"Western Kentucky",-0.4796
"Florida State",-0.4903
"Central Michigan",-0.4957
"Northwestern",-0.528
"Charlotte",-0.5334
"Buffalo",-0.5388
"Illinois",-0.5388
"Georgia State",-0.6625
"Tulsa",-0.6786
"Hawai'i",-0.6948
"Colorado",-0.7055
"San Jose State",-0.7486
"Louisiana Tech",-0.7593
"Tulane",-0.7755
"Middle Tennessee",-0.8185
"Temple",-0.84
"Duke",-0.9208
"California",-0.9799
"Louisiana Monroe",-1.0122
"Texas State",-1.2597
"Georgia Southern",-1.2866
"Bowling Green",-1.2974
"South Florida",-1.3189
"Rice",-1.3189
"Navy",-1.3243
"Old Dominion",-1.4857
"New Mexico",-1.5072
"North Texas",-1.5556
"Akron",-1.5664
"Vanderbilt",-1.5933
"Florida International",-1.6309
"Arkansas State",-1.6686
"Kansas",-1.6955
"Ohio",-1.717
"UNLV",-1.7601
"UMass",-1.8085
"Southern Mississippi",-1.8408
"New Mexico State",-1.8515
"Arizona",-1.9807
"Connecticut",-2.1044
