"team","argh"
"Georgia",1.9822
"Alabama",1.8629
"Iowa",1.8064
"Texas A&M",1.6746
"Oklahoma",1.6746
"Cincinnati",1.5679
"Penn State",1.549
"Oregon",1.4172
"Clemson",1.3168
"Ohio State",1.254
"Coastal Carolina",1.2477
"BYU",1.1535
"Liberty",1.1535
"Michigan",1.0908
"Wisconsin",1.0657
"North Carolina",1.0468
"USC",1.0405
"Iowa State",1.028
"Notre Dame",1.0092
"Texas",0.9903
"Ole Miss",0.9841
"Maryland",0.9715
"UT San Antonio",0.9276
"Oklahoma State",0.9213
"Kansas State",0.915
"Minnesota",0.8585
"Arkansas",0.8459
"West Virginia",0.8397
"TCU",0.8208
"UCLA",0.802
"Fresno State",0.7769
"Florida",0.7518
"Rutgers",0.6953
"Wake Forest",0.6953
"Auburn",0.6827
"Louisiana",0.6827
"Appalachian State",0.6764
"Army",0.6576
"Boston College",0.6262
"SMU",0.6137
"Michigan State",0.6074
"Baylor",0.576
"Nevada",0.5697
"Wyoming",0.5697
"San Diego State",0.5446
"Arizona State",0.5195
"San Jose State",0.5007
"LSU",0.4944
"Virginia Tech",0.4756
"Nebraska",0.4567
"Stanford",0.4442
"Memphis",0.4442
"UAB",0.4191
"Virginia",0.3877
"Purdue",0.3814
"Indiana",0.3688
"NC State",0.35
"UCF",0.35
"Texas Tech",0.3061
"Florida Atlantic",0.2998
"Mississippi State",0.2998
"Boise State",0.2684
"Miami",0.2621
"Western Michigan",0.2245
"Houston",0.2119
"Oregon State",0.1868
"Pittsburgh",0.1805
"Troy",0.1742
"Marshall",0.1429
"Louisville",0.0738
"Utah",0.055
"Kentucky",0.0361
"Buffalo",0.0361
"Washington",-0.0078
"Missouri",-0.0204
"Miami (OH)",-0.0455
"Tulane",-0.0706
"Colorado",-0.0769
"Ball State",-0.1271
"Kent State",-0.1396
"South Carolina",-0.1396
"Air Force",-0.1522
"Eastern Michigan",-0.1961
"Toledo",-0.2212
"Utah State",-0.2464
"Central Michigan",-0.284
"California",-0.2966
"Syracuse",-0.3154
"East Carolina",-0.3719
"South Alabama",-0.3907
"Tennessee",-0.4159
"Georgia State",-0.4849
"Georgia Tech",-0.5916
"Illinois",-0.5916
"Washington State",-0.6042
"Northwestern",-0.6356
"Louisiana Tech",-0.6607
"Charlotte",-0.6732
"New Mexico",-0.7109
"Tulsa",-0.736
"Duke",-0.7611
"Hawai'i",-0.8113
"Middle Tennessee",-0.8804
"Northern Illinois",-0.8867
"Georgia Southern",-0.9243
"UTEP",-0.9871
"Western Kentucky",-1.0373
"Arkansas State",-1.1001
"Florida State",-1.1817
"North Texas",-1.2068
"Colorado State",-1.2194
"Southern Mississippi",-1.2633
"Texas State",-1.3198
"Florida International",-1.3575
"South Florida",-1.3575
"Rice",-1.4391
"Old Dominion",-1.4454
"Temple",-1.4893
"Kansas",-1.5082
"Ohio",-1.5395
"Navy",-1.596
"Akron",-1.6902
"Arizona",-1.7404
"Vanderbilt",-1.7655
"Bowling Green",-1.7718
"Louisiana Monroe",-1.8848
"UNLV",-1.9539
"New Mexico State",-1.9601
"UMass",-2.1108
"Connecticut",-2.2615
