"team","argh"
"Georgia",2.1178
"Iowa",1.8661
"Alabama",1.7917
"Michigan",1.7631
"Oklahoma",1.6772
"Cincinnati",1.62
"Penn State",1.6028
"Texas",1.3453
"Coastal Carolina",1.3167
"Ohio State",1.2824
"BYU",1.2538
"Oklahoma State",1.1851
"Arkansas",1.1851
"Wake Forest",1.1794
"Notre Dame",1.1737
"Clemson",1.0706
"UT San Antonio",1.042
"Michigan State",1.0363
"SMU",1.0134
"Auburn",0.9905
"Kentucky",0.9791
"Arizona State",0.9448
"Liberty",0.939
"Oregon",0.9333
"NC State",0.899
"Florida",0.8818
"Maryland",0.8761
"Pittsburgh",0.8761
"Western Michigan",0.8646
"Appalachian State",0.8418
"Texas A&M",0.8246
"Oregon State",0.796
"Boston College",0.7788
"Baylor",0.7388
"Ole Miss",0.7044
"Iowa State",0.693
"UCLA",0.6529
"Houston",0.6357
"Kansas State",0.6071
"Nebraska",0.6071
"USC",0.5957
"Louisiana",0.59
"Nevada",0.5728
"North Carolina",0.5614
"Air Force",0.5499
"Rutgers",0.5213
"Purdue",0.5156
"San Diego State",0.5041
"West Virginia",0.5041
"Mississippi State",0.487
"Stanford",0.4812
"Texas Tech",0.4698
"LSU",0.4412
"Army",0.4355
"Minnesota",0.4069
"Wyoming",0.4069
"Virginia Tech",0.3325
"Virginia",0.3153
"Boise State",0.2981
"Toledo",0.2924
"Fresno State",0.2752
"Tennessee",0.2638
"Miami",0.2352
"South Carolina",0.2237
"Wisconsin",0.218
"TCU",0.1665
"UAB",0.1322
"Florida Atlantic",0.1207
"Indiana",0.1036
"Utah",0.1036
"Louisville",0.0864
"East Carolina",-0.0738
"San Jose State",-0.1082
"Buffalo",-0.1253
"Syracuse",-0.131
"Memphis",-0.131
"UCF",-0.131
"Washington",-0.1768
"Marshall",-0.2226
"Miami (OH)",-0.2855
"Utah State",-0.2913
"Northern Illinois",-0.297
"Georgia Tech",-0.3027
"Kent State",-0.3199
"South Alabama",-0.3428
"Illinois",-0.3542
"Eastern Michigan",-0.3599
"Hawai'i",-0.4572
"Ball State",-0.4629
"Missouri",-0.4629
"Troy",-0.4744
"Louisiana Tech",-0.4744
"UTEP",-0.5488
"Charlotte",-0.6232
"Duke",-0.6403
"Temple",-0.6575
"Middle Tennessee",-0.6804
"Tulane",-0.6804
"Washington State",-0.6861
"Central Michigan",-0.7033
"Georgia Southern",-0.8463
"Northwestern",-0.8521
"Western Kentucky",-0.8635
"Florida State",-0.9493
"Colorado State",-0.9951
"Georgia State",-1.0123
"Colorado",-1.018
"California",-1.0237
"Rice",-1.0581
"Bowling Green",-1.0638
"Tulsa",-1.0981
"South Florida",-1.1668
"Navy",-1.2584
"New Mexico",-1.287
"North Texas",-1.2927
"Louisiana Monroe",-1.2927
"Old Dominion",-1.3156
"Texas State",-1.5445
"Vanderbilt",-1.5616
"Southern Mississippi",-1.5788
"Florida International",-1.5902
"Arkansas State",-1.596
"Kansas",-1.6875
"Ohio",-1.6932
"Arizona",-1.7047
"UNLV",-1.842
"Akron",-1.8649
"New Mexico State",-1.9164
"UMass",-2.111
"Connecticut",-2.2941
