"team","argh"
"Georgia",2.115
"Ohio State",1.7904
"Cincinnati",1.7658
"Michigan",1.7461
"Notre Dame",1.6674
"Oklahoma State",1.6625
"Alabama",1.6576
"Wisconsin",1.4756
"Oklahoma",1.4018
"Baylor",1.387
"UT San Antonio",1.3526
"Iowa",1.3034
"Texas A&M",1.2345
"Ole Miss",1.2149
"Penn State",1.1411
"Houston",1.1411
"Clemson",1.1362
"Michigan State",1.1362
"Pittsburgh",1.1214
"NC State",1.1116
"Wake Forest",1.1066
"Appalachian State",1.0476
"Louisiana",1.0083
"Purdue",0.9935
"BYU",0.9837
"Boise State",0.9788
"Utah",0.9738
"San Diego State",0.9542
"Oregon",0.9001
"Arkansas",0.8459
"Iowa State",0.7918
"Minnesota",0.7623
"Auburn",0.7574
"Air Force",0.7574
"Kansas State",0.7279
"Mississippi State",0.7131
"Kentucky",0.6885
"Tennessee",0.6541
"Fresno State",0.6492
"Coastal Carolina",0.6098
"Louisville",0.6098
"SMU",0.6
"Army",0.6
"Miami",0.5213
"UCLA",0.4426
"Virginia",0.418
"Arizona State",0.3983
"Nevada",0.3885
"Liberty",0.3737
"Oregon State",0.3541
"West Virginia",0.3541
"Marshall",0.3541
"North Carolina",0.3393
"Nebraska",0.2999
"UCF",0.2901
"East Carolina",0.2606
"Texas",0.2606
"Western Kentucky",0.2557
"LSU",0.236
"UAB",0.236
"Utah State",0.2163
"South Carolina",0.1868
"Florida",0.1573
"Florida State",0.1425
"Boston College",0.1229
"Northern Illinois",0.1032
"Texas Tech",0.0688
"Toledo",0.0442
"Washington State",0.0294
"Central Michigan",0.0097
"Rutgers",0.0097
"Maryland",-1e-04
"Missouri",-0.0198
"Syracuse",-0.0247
"Miami (OH)",-0.0395
"TCU",-0.0444
"Illinois",-0.069
"Virginia Tech",-0.0837
"Eastern Michigan",-0.1132
"Wyoming",-0.192
"Western Michigan",-0.2116
"Memphis",-0.3198
"Georgia State",-0.3346
"Kent State",-0.3444
"USC",-0.3444
"Tulsa",-0.374
"California",-0.4133
"UTEP",-0.4379
"Ball State",-0.492
"Washington",-0.5412
"Florida Atlantic",-0.5953
"Georgia Tech",-0.6347
"Middle Tennessee",-0.6396
"Old Dominion",-0.6494
"Troy",-0.6937
"North Texas",-0.7675
"Tulane",-0.7921
"Colorado",-0.8019
"Indiana",-0.8117
"San Jose State",-0.8413
"Navy",-0.8462
"Northwestern",-0.8609
"Hawai'i",-0.8609
"Buffalo",-0.8708
"Colorado State",-0.8757
"South Alabama",-0.915
"Stanford",-0.9298
"Louisiana Tech",-1.0331
"Charlotte",-1.0823
"South Florida",-1.1954
"Louisiana Monroe",-1.2348
"Ohio",-1.2594
"Duke",-1.2643
"UNLV",-1.2938
"Kansas",-1.3233
"Georgia Southern",-1.3233
"Bowling Green",-1.3528
"Rice",-1.3627
"Texas State",-1.4364
"New Mexico",-1.4955
"Temple",-1.5201
"Arkansas State",-1.5693
"Arizona",-1.6234
"Vanderbilt",-1.6578
"Southern Mississippi",-1.6922
"Akron",-1.7611
"New Mexico State",-1.8398
"Florida International",-1.9824
"Connecticut",-2.0316
"UMass",-2.0513
