"team","argh"
"Georgia",2.1608
"Michigan",1.7378
"Ohio State",1.7277
"Cincinnati",1.6975
"Alabama",1.6471
"Notre Dame",1.6018
"Oklahoma State",1.5917
"Wisconsin",1.5011
"Michigan State",1.3953
"UT San Antonio",1.3701
"Oklahoma",1.355
"Iowa",1.3097
"Wake Forest",1.3047
"Baylor",1.2896
"Ole Miss",1.2744
"Texas A&M",1.1888
"Oregon",1.1334
"Pittsburgh",1.078
"Houston",1.073
"Penn State",1.0529
"NC State",1.0478
"Clemson",1.0176
"BYU",1.0126
"Arkansas",0.9521
"San Diego State",0.9471
"Purdue",0.937
"Boise State",0.932
"Appalachian State",0.9269
"Auburn",0.9269
"Iowa State",0.8665
"Louisiana",0.8665
"Kansas State",0.8313
"Utah",0.801
"SMU",0.7557
"Air Force",0.7104
"Mississippi State",0.6902
"Army",0.66
"Minnesota",0.66
"Coastal Carolina",0.6449
"Liberty",0.6248
"Fresno State",0.6248
"Kentucky",0.6046
"Arizona State",0.5744
"Virginia",0.5291
"Louisville",0.524
"Tennessee",0.514
"Nevada",0.4838
"Utah State",0.4787
"Miami",0.4485
"North Carolina",0.4132
"Texas",0.3629
"UCLA",0.3125
"UAB",0.3075
"Nebraska",0.3075
"Marshall",0.2974
"Boston College",0.2672
"UCF",0.2622
"Florida",0.2521
"West Virginia",0.237
"LSU",0.2118
"Rutgers",0.2068
"East Carolina",0.1916
"Western Kentucky",0.1614
"Oregon State",0.1463
"Texas Tech",0.1312
"Syracuse",0.1161
"Maryland",0.0909
"Virginia Tech",0.0557
"Northern Illinois",-0.0048
"Florida State",-0.0148
"South Carolina",-0.0199
"Washington State",-0.0249
"Toledo",-0.0299
"Illinois",-0.04
"TCU",-0.0803
"Western Michigan",-0.1256
"Miami (OH)",-0.1659
"USC",-0.176
"Central Michigan",-0.1911
"Missouri",-0.2012
"Eastern Michigan",-0.2364
"Memphis",-0.2767
"Georgia State",-0.312
"Ball State",-0.3674
"Florida Atlantic",-0.3926
"Washington",-0.4026
"Kent State",-0.4681
"Middle Tennessee",-0.4983
"Georgia Tech",-0.5134
"Wyoming",-0.5134
"UTEP",-0.5285
"Troy",-0.5537
"Tulsa",-0.5688
"California",-0.6796
"Indiana",-0.7048
"Stanford",-0.7149
"Old Dominion",-0.7602
"Northwestern",-0.7652
"South Alabama",-0.7804
"Colorado State",-0.8106
"Buffalo",-0.8156
"Louisiana Tech",-0.8257
"San Jose State",-0.8458
"Navy",-0.8861
"North Texas",-0.9516
"Colorado",-0.9566
"Charlotte",-0.9667
"Hawai'i",-1.0019
"South Florida",-1.0573
"Tulane",-1.0674
"Duke",-1.148
"Louisiana Monroe",-1.2084
"Ohio",-1.2437
"Georgia Southern",-1.2991
"Bowling Green",-1.3092
"UNLV",-1.3142
"Kansas",-1.3142
"Rice",-1.3545
"Temple",-1.425
"Texas State",-1.4603
"New Mexico",-1.4955
"Arkansas State",-1.566
"Arizona",-1.6063
"Akron",-1.6617
"Vanderbilt",-1.7423
"New Mexico State",-1.8682
"Florida International",-1.9236
"Southern Mississippi",-1.9488
"Connecticut",-2.0898
"UMass",-2.125
