"team","argh"
"Alabama",2.1592245230777
"Oklahoma",1.83347331941041
"Georgia",1.74704953068235
"Ohio State",1.64732977445767
"Cincinnati",1.57420195322624
"Iowa State",1.51437009949143
"Louisiana",1.4944261482465
"Iowa",1.44789026200831
"Coastal Carolina",1.41465034326675
"USC",1.39470639202182
"UCLA",1.38805840827351
"Clemson",1.37476244077688
"Texas A&M",1.34152252203532
"Texas",1.14873099333427
"Wisconsin",1.07560317210284
"Nevada",1.06230720460622
"BYU",1.0490112371096
"Miami",1.04236325336128
"Oklahoma State",1.04236325336128
"Oregon",1.01577131836804
"Notre Dame",1.01577131836804
"Penn State",0.995827367123099
"Ball State",0.989179383374787
"Liberty",0.962587448381539
"Appalachian State",0.942643497136603
"TCU",0.909403578395043
"Arizona State",0.889459627150107
"Indiana",0.849571724660235
"North Carolina",0.749851968435556
"Utah",0.69666809844906
"Toledo",0.670076163455812
"San Jose State",0.670076163455812
"UT San Antonio",0.650132212210876
"Boise State",0.643484228462564
"Florida",0.636836244714252
"Auburn",0.616892293469316
"Army",0.557060439734508
"UCF",0.557060439734508
"Ole Miss",0.550412455986196
"West Virginia",0.550412455986196
"Wake Forest",0.537116488489572
"Minnesota",0.53046850474126
"Colorado",0.523820520992948
"LSU",0.46398866725814
"Kansas State",0.437396732264893
"Buffalo",0.417452781019957
"Marshall",0.410804797271645
"UAB",0.397508829775021
"Maryland",0.357620927285149
"Boston College",0.344324959788525
"Washington",0.32438100854359
"NC State",0.29114108980203
"SMU",0.264549154808782
"Central Michigan",0.25790117106047
"Miami (OH)",0.25790117106047
"Michigan",0.25790117106047
"Missouri",0.251253187312158
"Rutgers",0.251253187312158
"Mississippi State",0.231309236067222
"California",0.231309236067222
"Pittsburgh",0.218013268570598
"Virginia",0.198069317325662
"Tulane",0.178125366080726
"Baylor",0.178125366080726
"San Diego State",0.171477382332414
"Nebraska",0.164829398584102
"Western Michigan",0.15818141483579
"Memphis",0.151533431087478
"Georgia State",0.104997544849294
"Fresno State",0.098349561100982
"Wyoming",0.0850535936043581
"Florida Atlantic",0.0717576261077341
"Air Force",0.0717576261077341
"Purdue",0.0451656911144862
"Virginia Tech",0.0318697236178622
"Northwestern",0.0119257723729262
"Tulsa",-0.00137019512369773
"Texas Tech",-0.0744980163551296
"Stanford",-0.0877939838517535
"Hawai'i",-0.0944419676000655
"Oregon State",-0.107737935096689
"Arkansas",-0.114385918845001
"Troy",-0.134329870089937
"Washington State",-0.147625837586561
"Houston",-0.160921805083185
"Michigan State",-0.160921805083185
"Eastern Michigan",-0.174217772579809
"Georgia Southern",-0.207457691321369
"Louisville",-0.240697610062929
"Florida State",-0.293881480049425
"East Carolina",-0.313825431294361
"Kent State",-0.367009301280856
"Kentucky",-0.393601236274104
"Illinois",-0.420193171267352
"Louisiana Tech",-0.426841155015664
"Ohio",-0.493320992498784
"Syracuse",-0.539856878736968
"Arkansas State",-0.672816553703207
"New Mexico",-0.739296391186327
"UTEP",-0.845664131159319
"Northern Illinois",-0.845664131159319
"Tennessee",-0.845664131159319
"Georgia Tech",-0.885552033649191
"Colorado State",-0.918791952390751
"North Texas",-0.952031871132311
"Rice",-0.958679854880623
"South Alabama",-0.965327838628935
"Middle Tennessee",-1.0583996111053
"Florida International",-1.10493549734349
"South Carolina",-1.1115834810918
"Charlotte",-1.11823146484011
"Texas State",-1.11823146484011
"Navy",-1.17806331857492
"Utah State",-1.19800726981985
"Western Kentucky",-1.2245992048131
"Kansas",-1.25119113980635
"Arizona",-1.31767097728947
"South Florida",-1.45727863600402
"Duke",-1.51711048973883
"UNLV",-1.54370242473208
"Southern Mississippi",-1.55035040848039
"Akron",-1.66336613220169
"Temple",-1.68995806719494
"Vanderbilt",-1.96917338462404
"Connecticut",-2.06224515710041
"Bowling Green",-2.1087810433386
"Old Dominion",-2.12207701083522
"UMass",-2.12872499458353
"Louisiana Monroe",-2.13537297833184
"New Mexico State",-2.50766006823731
