"team","argh"
"Alabama",1.9652
"Georgia",1.8812
"Iowa",1.6745
"Oklahoma",1.6681
"Texas A&M",1.5583
"Cincinnati",1.4549
"Penn State",1.4226
"Oregon",1.3903
"Clemson",1.3774
"Ohio State",1.3645
"Coastal Carolina",1.2482
"Wisconsin",1.2289
"UCLA",1.1449
"BYU",1.1384
"Liberty",1.119
"Nevada",1.0867
"TCU",1.0351
"North Carolina",1.0351
"USC",0.9769
"Notre Dame",0.964
"Iowa State",0.9446
"Florida",0.9059
"Oklahoma State",0.8671
"Miami",0.8542
"Louisiana",0.8025
"Appalachian State",0.7961
"Arizona State",0.7961
"UT San Antonio",0.7638
"Indiana",0.7638
"Army",0.7315
"Texas",0.7186
"UCF",0.6669
"Minnesota",0.6152
"Boise State",0.6088
"Michigan",0.5894
"Rutgers",0.5829
"Ole Miss",0.5765
"San Jose State",0.57
"Kansas State",0.5635
"Mississippi State",0.5635
"Maryland",0.5571
"Nebraska",0.5506
"Auburn",0.5442
"West Virginia",0.5377
"Colorado",0.5377
"Virginia Tech",0.5248
"Wake Forest",0.5183
"Toledo",0.5183
"Virginia",0.4989
"Arkansas",0.4989
"Ball State",0.486
"Marshall",0.4667
"Fresno State",0.4602
"Utah",0.4408
"SMU",0.4408
"Boston College",0.4085
"Pittsburgh",0.4085
"Purdue",0.3891
"NC State",0.3762
"Baylor",0.3762
"San Diego State",0.3698
"LSU",0.3504
"Air Force",0.3052
"Stanford",0.2987
"Buffalo",0.2793
"Florida Atlantic",0.2729
"Central Michigan",0.2664
"Tulane",0.2277
"Memphis",0.2147
"Wyoming",0.1243
"Kentucky",0.1178
"UAB",0.0985
"Texas Tech",0.0726
"Houston",0.0597
"Michigan State",0.0468
"Missouri",0.0339
"Oregon State",0.0274
"Western Michigan",-0.0501
"Troy",-0.0566
"California",-0.0695
"Miami (OH)",-0.0953
"Kent State",-0.1082
"Northwestern",-0.231
"Washington State",-0.2956
"Eastern Michigan",-0.2956
"Louisville",-0.2956
"Georgia State",-0.3085
"Louisiana Tech",-0.4441
"Washington",-0.4441
"South Carolina",-0.4506
"Tulsa",-0.5023
"Hawai'i",-0.5281
"Syracuse",-0.5604
"Georgia Southern",-0.6056
"South Alabama",-0.625
"Illinois",-0.6573
"New Mexico",-0.6767
"Charlotte",-0.7089
"East Carolina",-0.7089
"Georgia Tech",-0.7283
"Utah State",-0.7477
"Arkansas State",-0.7994
"Tennessee",-0.8381
"Florida State",-0.8511
"Middle Tennessee",-0.8834
"Northern Illinois",-0.9027
"Texas State",-0.9156
"Western Kentucky",-0.9221
"North Texas",-0.9673
"UTEP",-1.019
"Florida International",-1.0448
"Southern Mississippi",-1.1611
"Duke",-1.1676
"Ohio",-1.1676
"Rice",-1.2257
"Kansas",-1.3226
"Temple",-1.4066
"Arizona",-1.4905
"South Florida",-1.5422
"Old Dominion",-1.568
"Navy",-1.568
"Colorado State",-1.5745
"UNLV",-1.7812
"Vanderbilt",-1.8523
"Akron",-1.9879
"Louisiana Monroe",-2.0977
"UMass",-2.1494
"Bowling Green",-2.2334
"Connecticut",-2.2721
"New Mexico State",-2.5046
