"team","argh"
"Georgia",2.1394
"Cincinnati",1.7239
"Ohio State",1.6783
"Michigan",1.658
"Alabama",1.6428
"Oklahoma",1.5617
"Oklahoma State",1.4807
"Notre Dame",1.4705
"Wisconsin",1.4705
"UT San Antonio",1.4097
"Texas A&M",1.3692
"Iowa",1.3388
"Michigan State",1.3337
"Wake Forest",1.202
"Penn State",1.1716
"Baylor",1.1716
"Ole Miss",1.1513
"NC State",1.1158
"Auburn",1.1057
"Purdue",1.0955
"Oregon",1.0753
"Iowa State",1.0499
"Pittsburgh",1.0094
"Coastal Carolina",0.9942
"BYU",0.9942
"Clemson",0.9587
"Houston",0.9435
"Boise State",0.9081
"San Diego State",0.8878
"Arkansas",0.8726
"Appalachian State",0.8625
"Utah",0.8422
"Minnesota",0.7763
"Louisiana",0.7712
"Kansas State",0.7054
"Texas",0.6547
"Air Force",0.6344
"Virginia",0.6243
"Miami",0.6192
"Kentucky",0.599
"Liberty",0.5939
"Nevada",0.5837
"Fresno State",0.5584
"Tennessee",0.5483
"SMU",0.5483
"Arizona State",0.5381
"Army",0.5128
"Mississippi State",0.5027
"North Carolina",0.452
"UCF",0.4469
"Marshall",0.4013
"West Virginia",0.376
"Florida",0.3557
"Nebraska",0.3507
"Utah State",0.3101
"LSU",0.2493
"UCLA",0.2493
"Maryland",0.2392
"Syracuse",0.2341
"Louisville",0.224
"South Carolina",0.1378
"Boston College",0.1125
"East Carolina",0.1125
"Oregon State",0.1024
"UAB",0.0872
"Eastern Michigan",0.0719
"Western Kentucky",0.0567
"TCU",0.0567
"Washington State",0.0517
"Illinois",0.0263
"Texas Tech",-0.0345
"Northern Illinois",-0.0547
"Rutgers",-0.075
"Western Michigan",-0.075
"Virginia Tech",-0.1358
"USC",-0.1409
"Florida Atlantic",-0.151
"Toledo",-0.151
"Florida State",-0.222
"Memphis",-0.227
"Kent State",-0.2422
"Ball State",-0.2777
"Washington",-0.3537
"Miami (OH)",-0.3588
"Missouri",-0.3892
"Georgia Tech",-0.3942
"UTEP",-0.3942
"Troy",-0.3993
"Indiana",-0.4145
"Central Michigan",-0.4297
"Wyoming",-0.4652
"Georgia State",-0.5057
"Stanford",-0.5817
"Buffalo",-0.6375
"California",-0.6527
"San Jose State",-0.6527
"Middle Tennessee",-0.6628
"South Alabama",-0.7084
"Colorado State",-0.7338
"Tulsa",-0.7338
"Northwestern",-0.749
"Hawai'i",-0.825
"Colorado",-0.83
"Charlotte",-0.8402
"Navy",-0.9212
"Tulane",-0.9415
"Old Dominion",-0.977
"Louisiana Monroe",-1.0125
"Louisiana Tech",-1.053
"Duke",-1.0581
"Bowling Green",-1.1138
"South Florida",-1.1239
"North Texas",-1.1797
"Rice",-1.3114
"Texas State",-1.3165
"Temple",-1.4077
"New Mexico",-1.428
"Georgia Southern",-1.4381
"Ohio",-1.4787
"UNLV",-1.4989
"Arizona",-1.656
"Kansas",-1.6864
"Akron",-1.6965
"Arkansas State",-1.732
"Vanderbilt",-1.7523
"New Mexico State",-1.8232
"Florida International",-1.8486
"Southern Mississippi",-2.0209
"UMass",-2.031
"Connecticut",-2.107
