"team","argh"
"Georgia",2.1363
"Michigan",1.8447
"Cincinnati",1.7652
"Alabama",1.6592
"Ohio State",1.585
"Iowa",1.5691
"Oklahoma",1.5585
"Michigan State",1.4154
"Notre Dame",1.4048
"Wake Forest",1.4048
"UT San Antonio",1.3518
"Pittsburgh",1.2564
"Baylor",1.2564
"Ole Miss",1.2245
"Oklahoma State",1.2033
"Texas A&M",1.1556
"San Diego State",1.1556
"Penn State",1.1503
"Iowa State",1.1026
"Auburn",1.0708
"Kentucky",1.0655
"SMU",1.0231
"Oregon",1.0019
"Coastal Carolina",0.986
"Wisconsin",0.9701
"Texas",0.8906
"Virginia",0.8747
"Houston",0.8641
"Arkansas",0.8376
"NC State",0.8376
"Clemson",0.8376
"Minnesota",0.8217
"Air Force",0.8111
"Purdue",0.8058
"BYU",0.7475
"Florida",0.7422
"Arizona State",0.6839
"Liberty",0.6468
"Appalachian State",0.615
"Oregon State",0.6097
"Fresno State",0.6044
"Louisiana",0.5726
"Boise State",0.5567
"Utah",0.5249
"Nebraska",0.4983
"Nevada",0.4877
"UCLA",0.4877
"Kansas State",0.4718
"Louisville",0.4665
"North Carolina",0.3923
"Tennessee",0.3711
"Miami",0.3552
"LSU",0.334
"Mississippi State",0.3181
"West Virginia",0.3022
"Western Michigan",0.2863
"Maryland",0.2704
"Army",0.228
"Toledo",0.1697
"UCF",0.1432
"Northern Illinois",0.1379
"Boston College",0.1273
"UAB",0.1167
"Texas Tech",0.0796
"Florida Atlantic",0.0584
"USC",0.0584
"Utah State",0.0425
"Syracuse",0.0266
"Rutgers",0.0213
"TCU",0.016
"Florida State",-0.0582
"Eastern Michigan",-0.0741
"Stanford",-0.0741
"Marshall",-0.0953
"UTEP",-0.1112
"Miami (OH)",-0.1218
"Illinois",-0.1271
"Georgia Tech",-0.1377
"Virginia Tech",-0.1695
"Washington State",-0.1907
"Ball State",-0.2172
"South Carolina",-0.2279
"Indiana",-0.3233
"Washington",-0.3498
"East Carolina",-0.3604
"Wyoming",-0.3657
"Buffalo",-0.3922
"Western Kentucky",-0.4028
"Kent State",-0.424
"Troy",-0.4293
"Colorado State",-0.4346
"Memphis",-0.4611
"Missouri",-0.4929
"Georgia State",-0.5565
"Northwestern",-0.5724
"Central Michigan",-0.5989
"Hawai'i",-0.6148
"Tulsa",-0.6466
"Middle Tennessee",-0.6466
"San Jose State",-0.6678
"South Alabama",-0.6784
"Charlotte",-0.7208
"California",-0.7367
"Louisiana Monroe",-0.7526
"Louisiana Tech",-0.8798
"Duke",-0.8851
"Tulane",-0.9063
"Rice",-0.97
"South Florida",-1.0336
"Colorado",-1.0601
"Temple",-1.1396
"Navy",-1.1873
"New Mexico",-1.1979
"Georgia Southern",-1.288
"Texas State",-1.3834
"Old Dominion",-1.4258
"Bowling Green",-1.4682
"North Texas",-1.5636
"Kansas",-1.6007
"Arkansas State",-1.6484
"Florida International",-1.728
"Akron",-1.728
"Vanderbilt",-1.7333
"Ohio",-1.7651
"UNLV",-1.7863
"New Mexico State",-1.7969
"Southern Mississippi",-1.8234
"UMass",-1.9082
"Arizona",-1.9983
"Connecticut",-2.1944
