"team","argh"
"Georgia",2.1905
"Iowa",1.9786
"Michigan",1.8448
"Cincinnati",1.75
"Oklahoma",1.6664
"Penn State",1.5325
"Ohio State",1.5102
"Alabama",1.4601
"Michigan State",1.3485
"Wake Forest",1.2928
"Coastal Carolina",1.2872
"Notre Dame",1.2872
"Oklahoma State",1.2649
"Kentucky",1.2036
"Texas",1.1199
"Arizona State",1.1143
"Liberty",1.0976
"SMU",1.0976
"Baylor",1.0642
"Clemson",1.0642
"Florida",1.0307
"BYU",0.9917
"Arkansas",0.9805
"UT San Antonio",0.9526
"Texas A&M",0.9471
"Auburn",0.9136
"Ole Miss",0.8969
"Oregon",0.8857
"NC State",0.8523
"Pittsburgh",0.8244
"Appalachian State",0.8188
"Houston",0.8132
"Air Force",0.8077
"Iowa State",0.7631
"Boston College",0.7575
"San Diego State",0.7463
"Boise State",0.7408
"Nevada",0.6014
"UCLA",0.5958
"Kansas State",0.5735
"Tennessee",0.5623
"Nebraska",0.5512
"Wisconsin",0.54
"Maryland",0.4843
"Utah",0.4564
"Army",0.4397
"Virginia",0.4397
"Louisiana",0.4285
"TCU",0.4229
"Mississippi State",0.4118
"UAB",0.4006
"Oregon State",0.3839
"Rutgers",0.3672
"Purdue",0.3672
"Minnesota",0.3281
"Wyoming",0.3003
"Western Michigan",0.2835
"Miami",0.2501
"Stanford",0.211
"LSU",0.2055
"North Carolina",0.1943
"Indiana",0.1776
"Fresno State",0.1776
"Toledo",0.1664
"Virginia Tech",0.1553
"UCF",0.1441
"West Virginia",0.133
"USC",0.1274
"Texas Tech",0.1162
"Louisville",0.0884
"Northern Illinois",0.0661
"South Carolina",-0.0064
"Ball State",-0.0399
"Eastern Michigan",-0.0566
"Florida Atlantic",-0.1068
"Syracuse",-0.1179
"Georgia Tech",-0.1179
"Kent State",-0.1291
"Marshall",-0.1626
"Utah State",-0.1626
"Washington",-0.2295
"East Carolina",-0.2406
"Missouri",-0.3131
"UTEP",-0.3243
"Washington State",-0.3633
"Memphis",-0.4525
"Troy",-0.4525
"Miami (OH)",-0.4637
"Buffalo",-0.4637
"Louisiana Tech",-0.4915
"Florida State",-0.5027
"Charlotte",-0.525
"Colorado State",-0.6198
"Hawai'i",-0.6254
"Illinois",-0.6644
"San Jose State",-0.6811
"South Alabama",-0.709
"Georgia State",-0.7369
"Central Michigan",-0.7425
"Duke",-0.7592
"Western Kentucky",-0.7759
"Middle Tennessee",-0.7759
"Tulane",-0.7871
"Temple",-0.7982
"Tulsa",-0.8094
"Northwestern",-0.8261
"California",-0.9488
"Colorado",-1.0324
"Georgia Southern",-1.0826
"Rice",-1.1216
"Navy",-1.1272
"South Florida",-1.1495
"Texas State",-1.2276
"Old Dominion",-1.3112
"North Texas",-1.3224
"New Mexico",-1.3335
"Bowling Green",-1.3502
"Louisiana Monroe",-1.4562
"Akron",-1.551
"Vanderbilt",-1.6067
"Kansas",-1.629
"Arkansas State",-1.6904
"Florida International",-1.6904
"Arizona",-1.7461
"Southern Mississippi",-1.7573
"Ohio",-1.7852
"UNLV",-1.7963
"UMass",-1.8521
"New Mexico State",-1.8967
"Connecticut",-2.3706
