"","team","pp","time"
"1","Connecticut",-1.0746876521833,2.0695733404414
"2","Old Dominion",-0.837203570249698,2.0695733404414
"3","New Mexico State",-1.2447970817261,2.0695733404414
"4","Alabama",1.28650372717328,2.61033591731266
"5","Oklahoma",0.986323044655063,2.39298245614035
"6","Louisiana",0.395022730866053,1.78879781420765
"7","Iowa State",0.733841831842228,2.45889724310777
"8","Clemson",1.02862147079391,2.24635761589404
"9","Ohio State",1.06285730795151,2.60800865800866
"10","Georgia",0.898270472004686,2.5573717948718
"11","Coastal Carolina",0.263410625247967,2.61056910569106
"12","Cincinnati",0.607733178979156,2.41125730994152
"13","Wisconsin",0.602148525259798,2.64004329004329
"14","USC",0.480885161255306,2.10705128205128
"15","Iowa",0.59656273921662,2.14342948717949
"16","Texas A&M",0.731627006567711,3.01683501683502
"17","Miami",0.502074022544463,1.96824146981627
"18","Oklahoma State",0.509787368508259,2.01772300469484
"19","Ball State",0.0369658420841132,2.38828828828829
"20","Indiana",0.469536930161812,2.29927536231884
"21","BYU",0.362520196507909,2.56451612903226
"22","Liberty",0.114758862483166,2.54173913043478
"23","North Carolina",0.49816386190407,2.38381642512077
"24","Oregon",0.517934131557762,2.32558685446009
"25","UCLA",0.311119932964924,2.05019157088123
"26","TCU",0.437619834952754,2.09365671641791
"27","Arizona State",0.329841523101973,1.71733333333333
"28","Notre Dame",0.652790982804777,2.90807291666667
"29","Nevada",-0.0150302315806568,2.17368421052632
"30","San Jose State",0.0301442521263573,1.95352941176471
"31","Texas",0.608920846875156,1.94663978494624
"32","Washington",0.415890723344555,2.75119047619048
"33","Appalachian State",0.306072927982548,2.3684
"34","Boise State",0.271304102813315,2.18035714285714
"35","Utah",0.398701721097287,2.28769230769231
"36","Penn State",0.516868349113919,2.17485875706215
"37","West Virginia",0.287956308904683,2.13720238095238
"38","Toledo",-0.0338987278516072,1.95705128205128
"39","Minnesota",0.255962228333805,2.69279835390947
"40","LSU",0.576141680650843,2.22729468599034
"41","Auburn",0.512968682413097,2.46834862385321
"42","UT San Antonio",-0.224786450699889,1.99127604166667
"43","Colorado",0.0587077684883072,1.7981220657277
"44","Wake Forest",0.146318212650111,1.87932692307692
"45","Central Michigan",-0.162897860931549,1.91244979919679
"46","Florida",0.67791518912818,2.55025062656642
"47","Buffalo",0.135523796346673,2.25087719298246
"48","Tulsa",0.0595433895795136,1.99142857142857
"49","Western Michigan",-0.113183048408338,2.14018264840183
"50","UCF",0.308402942404393,1.70564102564103
"51","Miami (OH)",-0.173613567674482,3.01212121212121
"52","Ole Miss",0.358919608681321,1.88191823899371
"53","UAB",0.0024642575728417,2.08516949152542
"54","Georgia State",-0.138968321817688,1.58611111111111
"55","California",0.00823157089046388,1.834
"56","Boston College",0.110894949730043,2.40884057971014
"57","Army",-0.00302179906634821,3.00431034482759
"58","Northwestern",0.261597775777855,2.18910891089109
"59","Marshall",-0.0191605353764958,2.09238095238095
"60","SMU",0.0652248928298764,1.94061728395062
"61","Florida Atlantic",-0.1607795323717,1.80772357723577
"62","San Diego State",-0.0145495112901724,2.15412541254125
"63","Kansas State",0.1253510913799,1.70801033591731
"64","NC State",0.178318855052017,1.6755787037037
"65","Pittsburgh",0.167468026823117,2.07863534675615
"66","Rutgers",-0.19360481101728,1.92267759562842
"67","Virginia",0.133271548888514,1.8046511627907
"68","Wyoming",-0.0850834002890265,1.99620253164557
"69","Maryland",0.00435008764329583,1.58510101010101
"70","Tulane",0.036670378057757,1.80867579908676
"71","Mississippi State",0.225693074102821,1.90529100529101
"72","Memphis",0.129418184681287,1.72038461538462
"73","Washington State",0.0264698435459387,2.30882352941176
"74","Stanford",0.0622616137706555,2.71897435897436
"75","Baylor",0.169909053142356,1.87905982905983
"76","Houston",-0.017316993569902,2.22140151515151
"77","Oregon State",-0.0522581608709907,2.08833333333333
"78","Air Force",-0.0250628472922754,2.70862068965517
"79","Missouri",0.185955497719932,2.15811965811966
"80","Nebraska",0.0427150215230702,1.93762886597938
"81","Fresno State",-0.0698440350589134,1.93416666666667
"82","Hawai'i",-0.303650349425775,1.63787878787879
"83","Michigan",0.297322882228804,1.78401826484018
"84","Louisville",0.0872827781768579,2.33611111111111
"85","Purdue",0.0415485269106153,2.05393518518519
"86","Georgia Southern",-0.129232234253305,2.49460431654676
"87","Ohio",-0.184540597515714,1.91491228070175
"88","Troy",-0.131993351260665,1.69411027568922
"89","Eastern Michigan",-0.292681104537542,2.47511415525114
"90","East Carolina",-0.280690642266501,1.63789173789174
"91","Florida State",-0.00351612409459715,2.33869047619048
"92","Virginia Tech",0.183389142689813,2.18296296296296
"93","Arkansas",0.100048140305391,1.78062015503876
"94","Kent State",-0.316134298234115,2.002
"95","Texas Tech",0.0456780783389931,1.62342995169082
"96","Louisiana Tech",-0.359204800730283,2.00610119047619
"97","Michigan State",0.0294565401069273,1.7016835016835
"98","Illinois",-0.0959831368590234,2.01840277777778
"99","Kentucky",0.177988616116303,2.28943452380952
"100","Colorado State",-0.409612019707699,1.4801724137931
"101","Georgia Tech",-0.14636174075795,1.76917293233083
"102","Arkansas State",-0.309450899469599,1.78333333333333
"103","Rice",-0.440268633319766,2.19732142857143
"104","New Mexico",-0.590502007961752,1.7875
"105","Syracuse",-0.272911544577218,1.72641723356009
"106","Tennessee",0.04782360630665,2.28735632183908
"107","Northern Illinois",-0.495694714376228,2.3469696969697
"108","Texas State",-0.547095116186395,1.49671052631579
"109","Navy",-0.276396309110248,1.72715517241379
"110","North Texas",-0.53513348227785,1.34833333333333
"111","UTEP",-0.718539478861035,2.25508771929825
"112","South Alabama",-0.552421435308358,2.201312335958
"113","Charlotte",-0.568576399717048,1.9462962962963
"114","Middle Tennessee",-0.502953010769145,1.89484848484848
"115","Florida International",-0.612296234020118,1.32239583333333
"116","South Carolina",-0.105312932976318,2.37113095238095
"117","Arizona",-0.394719572470085,1.62641025641026
"118","Southern Mississippi",-0.444765975495711,1.77347222222222
"119","South Florida",-0.498853773803084,1.68302752293578
"120","Kansas",-0.566591288750169,1.47441860465116
"121","UNLV",-0.75799328512682,1.95115740740741
"122","Duke",-0.338949646127097,1.51913145539906
"123","Western Kentucky",-0.343377016776581,1.8755376344086
"124","Utah State",-0.559676315711388,1.6552380952381
"125","Akron",-0.961841392213082,2.09295774647887
"126","Temple",-0.553140941034805,1.49322344322344
"127","Vanderbilt",-0.496223025127278,2.39157509157509
"128","Bowling Green",-1.09060034801433,1.45940860215054
"129","Louisiana Monroe",-0.889064578957205,1.65505464480874
"130","UMass",-1.13791707282182,1.72604166666667
